season,team,coach,prior_role,prior_detail,prior_nfl_hc,ambiguous,exclude,exclude_reason
2000,DAL,Dave Campo,DC,Cowboys DC,0,0,0,
2000,GB,Mike Sherman,OC,Seahawks OC,0,0,0,
2000,LA,Mike Martz,OC,Rams OC,0,0,0,
2000,MIA,Dave Wannstedt,DC,Dolphins asst HC/DC,1,0,0,
2000,NE,Bill Belichick,DC,Jets asst HC/DC,1,0,0,
2000,NO,Jim Haslett,DC,Steelers DC,0,0,0,
2000,NYJ,Al Groh,DC,Jets DC/LB,0,0,0,
2001,ARI,Dave McGinnis,OTHER,Cardinals LB coach (in-season promo 2000),0,1,0,
2001,BUF,Gregg Williams,DC,Titans DC,0,0,0,
2001,CIN,Dick LeBeau,DC,Bengals DC (interim HC late 2000),0,0,0,
2001,CLE,Butch Davis,COLLEGE,Miami (FL) HC,0,0,0,
2001,DET,Marty Mornhinweg,OC,49ers OC,0,0,0,
2001,KC,Dick Vermeil,NFL_HC,former Rams HC,1,0,0,
2001,NYJ,Herm Edwards,OTHER,Buccaneers asst HC/DB,0,1,0,
2001,WAS,Marty Schottenheimer,NFL_HC,former Chiefs HC,1,0,0,
2002,CAR,John Fox,DC,Giants DC,0,0,0,
2002,IND,Tony Dungy,NFL_HC,Buccaneers HC,1,0,0,
2002,LAC,Marty Schottenheimer,NFL_HC,Redskins HC,1,0,0,
2002,LV,Bill Callahan,OC,Raiders OC,0,0,0,
2002,MIN,Mike Tice,OTHER,Vikings OL/asst HC (interim 2001),0,1,0,
2002,TB,Jon Gruden,NFL_HC,Raiders HC (traded),1,0,0,
2002,WAS,Steve Spurrier,COLLEGE,Florida HC,0,0,0,
2003,CIN,Marvin Lewis,DC,Redskins DC,0,0,0,
2003,DAL,Bill Parcells,NFL_HC,former Jets HC,1,0,0,
2003,DET,Steve Mariucci,NFL_HC,49ers HC,1,0,0,
2003,JAX,Jack Del Rio,DC,Panthers DC,0,0,0,
2003,SF,Dennis Erickson,COLLEGE,Oregon State HC,1,0,0,
2004,ARI,Dennis Green,NFL_HC,former Vikings HC,1,0,0,
2004,ATL,Jim Mora,DC,49ers DC,0,0,0,
2004,BUF,Mike Mularkey,OC,Steelers OC,0,0,0,
2004,CHI,Lovie Smith,DC,Rams DC,0,0,0,
2004,LV,Norv Turner,OC,Dolphins OC,1,0,0,
2004,NYG,Tom Coughlin,NFL_HC,former Jaguars HC,1,0,0,
2004,WAS,Joe Gibbs,NFL_HC,former Redskins HC,1,0,0,
2005,CLE,Romeo Crennel,DC,Patriots DC,0,0,0,
2005,MIA,Nick Saban,COLLEGE,LSU HC,0,0,0,
2005,SF,Mike Nolan,DC,Ravens DC,0,0,0,
2006,BUF,Dick Jauron,DC,Lions DC (interim HC 2005),1,0,0,
2006,DET,Rod Marinelli,OTHER,Buccaneers DL/asst HC,0,0,0,
2006,GB,Mike McCarthy,OC,49ers OC,0,0,0,
2006,HOU,Gary Kubiak,OC,Broncos OC,0,0,0,
2006,KC,Herm Edwards,NFL_HC,Jets HC (traded),1,0,0,
2006,LA,Scott Linehan,OC,Dolphins OC,0,0,0,
2006,LV,Art Shell,NFL_HC,former Raiders HC,1,0,0,
2006,MIN,Brad Childress,OC,Eagles OC,0,0,0,
2006,NO,Sean Payton,OC,Cowboys asst HC/passing game coord,0,1,0,
2006,NYJ,Eric Mangini,DC,Patriots DC,0,0,0,
2007,ARI,Ken Whisenhunt,OC,Steelers OC,0,0,0,
2007,ATL,Bobby Petrino,COLLEGE,Louisville HC,0,0,0,
2007,DAL,Wade Phillips,DC,Chargers DC,1,0,0,
2007,LAC,Norv Turner,OC,49ers OC,1,0,0,
2007,LV,Lane Kiffin,COLLEGE,USC OC,0,0,0,
2007,MIA,Cam Cameron,OC,Chargers OC,0,0,0,
2007,PIT,Mike Tomlin,DC,Vikings DC,0,0,0,
2008,ATL,Mike Smith,DC,Jaguars DC,0,0,0,
2008,BAL,John Harbaugh,OTHER,Eagles ST coord / DB coach,0,0,0,
2008,MIA,Tony Sparano,OTHER,Cowboys asst HC/OL,0,1,0,
2008,WAS,Jim Zorn,OTHER,Seahawks QB coach,0,1,0,
2009,CLE,Eric Mangini,NFL_HC,Jets HC,1,0,0,
2009,DEN,Josh McDaniels,OC,Patriots OC,0,0,0,
2009,DET,Jim Schwartz,DC,Titans DC,0,0,0,
2009,IND,Jim Caldwell,OTHER,Colts asst HC/QB (HC-in-waiting),0,1,0,
2009,KC,Todd Haley,OC,Cardinals OC,0,0,0,
2009,LA,Steve Spagnuolo,DC,Giants DC,0,0,0,
2009,LV,Tom Cable,OTHER,Raiders OL/interim HC,0,0,0,
2009,NYJ,Rex Ryan,DC,Ravens DC,0,0,0,
2009,SEA,Jim Mora,OTHER,Seahawks asst HC/DB (HC-in-waiting),1,1,0,
2009,SF,Mike Singletary,OTHER,49ers asst HC/LB (interim HC),0,0,0,
2009,TB,Raheem Morris,OTHER,Buccaneers DB coach,0,0,0,
2010,BUF,Chan Gailey,OC,former Chiefs OC,1,1,0,
2010,SEA,Pete Carroll,COLLEGE,USC HC,1,0,0,
2010,WAS,Mike Shanahan,NFL_HC,former Broncos HC,1,0,0,
2011,CAR,Ron Rivera,DC,Chargers DC,0,0,0,
2011,CLE,Pat Shurmur,OC,Rams OC,0,0,0,
2011,DAL,Jason Garrett,OC,Cowboys OC (interim HC 2010),0,0,0,
2011,DEN,John Fox,NFL_HC,Panthers HC,1,0,0,
2011,LV,Hue Jackson,OC,Raiders OC,0,0,0,
2011,MIN,Leslie Frazier,DC,Vikings DC (interim HC 2010),0,0,0,
2011,SF,Jim Harbaugh,COLLEGE,Stanford HC,0,0,0,
2011,TEN,Mike Munchak,OTHER,Titans OL coach,0,0,0,
2012,IND,Chuck Pagano,DC,Ravens DC,0,0,0,
2012,JAX,Mike Mularkey,OC,Falcons OC,1,0,0,
2012,KC,Romeo Crennel,DC,Chiefs DC (interim HC 2011),1,0,0,
2012,LA,Jeff Fisher,NFL_HC,former Titans HC,1,0,0,
2012,LV,Dennis Allen,DC,Broncos DC,0,0,0,
2012,MIA,Joe Philbin,OC,Packers OC,0,0,0,
2012,NO,Aaron Kromer,OTHER,Saints OL coach (Payton suspension),0,0,1,caretaker for suspended HC
2012,TB,Greg Schiano,COLLEGE,Rutgers HC,0,0,0,
2013,ARI,Bruce Arians,OC,Colts OC (interim HC 2012),0,0,0,
2013,BUF,Doug Marrone,COLLEGE,Syracuse HC,0,0,0,
2013,CHI,Marc Trestman,OTHER,Montreal Alouettes HC (CFL),0,1,0,
2013,CLE,Rob Chudzinski,OC,Panthers OC,0,0,0,
2013,JAX,Gus Bradley,DC,Seahawks DC,0,0,0,
2013,KC,Andy Reid,NFL_HC,Eagles HC,1,0,0,
2013,LAC,Mike McCoy,OC,Broncos OC,0,0,0,
2013,NO,Sean Payton,NFL_HC,Saints HC returning from suspension,1,0,1,returning from suspension
2013,PHI,Chip Kelly,COLLEGE,Oregon HC,0,0,0,
2014,CLE,Mike Pettine,DC,Bills DC,0,0,0,
2014,DET,Jim Caldwell,OC,Ravens OC,1,0,0,
2014,HOU,Bill O'Brien,COLLEGE,Penn State HC,0,0,0,
2014,MIN,Mike Zimmer,DC,Bengals DC,0,0,0,
2014,TB,Lovie Smith,NFL_HC,former Bears HC,1,0,0,
2014,TEN,Ken Whisenhunt,OC,Chargers OC,1,0,0,
2014,WAS,Jay Gruden,OC,Bengals OC,0,0,0,
2015,ATL,Dan Quinn,DC,Seahawks DC,0,0,0,
2015,BUF,Rex Ryan,NFL_HC,Jets HC,1,0,0,
2015,CHI,John Fox,NFL_HC,Broncos HC,1,0,0,
2015,DEN,Gary Kubiak,OC,Ravens OC,1,0,0,
2015,LV,Jack Del Rio,DC,Broncos DC,1,0,0,
2015,NYJ,Todd Bowles,DC,Cardinals DC,0,0,0,
2015,SF,Jim Tomsula,OTHER,49ers DL coach,0,0,0,
2016,CLE,Hue Jackson,OC,Bengals OC,1,0,0,
2016,MIA,Adam Gase,OC,Bears OC,0,0,0,
2016,NYG,Ben McAdoo,OC,Giants OC,0,0,0,
2016,PHI,Doug Pederson,OC,Chiefs OC,0,0,0,
2016,SF,Chip Kelly,NFL_HC,Eagles HC,1,0,0,
2016,TB,Dirk Koetter,OC,Buccaneers OC,0,0,0,
2016,TEN,Mike Mularkey,OTHER,Titans TE/asst HC (interim HC 2015),1,1,0,
2017,BUF,Sean McDermott,DC,Panthers DC,0,0,0,
2017,DEN,Vance Joseph,DC,Dolphins DC,0,0,0,
2017,JAX,Doug Marrone,OTHER,Jaguars asst HC/OL (interim HC 2016),1,1,0,
2017,LA,Sean McVay,OC,Redskins OC,0,0,0,
2017,LAC,Anthony Lynn,OC,Bills OC (interim HC),0,0,0,
2017,SF,Kyle Shanahan,OC,Falcons OC,0,0,0,
2018,ARI,Steve Wilks,DC,Panthers DC,0,0,0,
2018,CHI,Matt Nagy,OC,Chiefs OC,0,0,0,
2018,DET,Matt Patricia,DC,Patriots DC,0,0,0,
2018,IND,Frank Reich,OC,Eagles OC,0,0,0,
2018,LV,Jon Gruden,NFL_HC,former Buccaneers HC (broadcaster),1,0,0,
2018,NYG,Pat Shurmur,OC,Vikings OC,1,0,0,
2018,TEN,Mike Vrabel,DC,Texans DC,0,0,0,
2019,ARI,Kliff Kingsbury,COLLEGE,USC OC / former Texas Tech HC,0,0,0,
2019,CIN,Zac Taylor,OTHER,Rams QB coach,0,1,0,
2019,CLE,Freddie Kitchens,OC,Browns OC,0,0,0,
2019,DEN,Vic Fangio,DC,Bears DC,0,0,0,
2019,GB,Matt LaFleur,OC,Titans OC,0,0,0,
2019,MIA,Brian Flores,DC,Patriots LB/de facto DC,0,0,0,
2019,NYJ,Adam Gase,NFL_HC,Dolphins HC,1,0,0,
2019,TB,Bruce Arians,NFL_HC,former Cardinals HC,1,0,0,
2020,CAR,Matt Rhule,COLLEGE,Baylor HC,0,0,0,
2020,CLE,Kevin Stefanski,OC,Vikings OC,0,0,0,
