season,week,sleeper_id,player,position,team,a_pts_ppr,p_pts_ppr,resid,pred_change,verdict,why,snap_share,level,d_targets,d_carries,d_tds,injury_status,injury_part,left_early,cuts
2026,1,4943,Sam Darnold,QB,SEA,0.52,17.11,-16.59,-4.863762654927011,INJURED,2 attempts against 32.6 expected. 10% of the snaps. 0 touchdowns against 1.8 expected.,0.1,17.11,0.0,-2.92,-1.81,Out,Hip,True,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,421,Matthew Stafford,QB,LAR,5.1,18.23,-13.13,-3.8878804998908776,HOLD,25 attempts against 32.6 expected. 84% of the snaps. 0 touchdowns against 2.2 expected.,0.8360655737704918,18.23,0.0,0.69,-2.1799999999999997,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,5859,A.J. Brown,WR,NE,5.6,16.84,-11.24,-4.201685754011097,INJURED,4 targets against 8.0 expected. 44% of the snaps.,0.43661971830985913,16.84,-4.02,-0.04,-0.57,IR,Ankle,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,8121,Romeo Doubs,WR,NE,0.0,10.57,-10.57,-2.0882223474278807,HOLD,3 targets against 5.8 expected. 56% of the snaps.,0.5633802816901409,10.57,-2.7800000000000002,0.0,-0.32,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,9493,Puka Nacua,WR,LAR,12.4,20.96,-8.56,-4.612968963341307,HOLD,"9 targets, about what was expected. 70% of the snaps. 0 touchdowns against 0.6 expected.",0.7049180327868853,20.96,-0.6600000000000001,-0.45,-0.61,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,8676,Rashid Shaheed,WR,SEA,1.4,9.07,-7.67,-1.247199208862749,BUY LOW,3 targets against 4.7 expected. 66% of the snaps.,0.66,9.07,-1.7199999999999998,-0.62,-0.27,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,2133,Davante Adams,WR,LAR,5.6,12.62,-7.02,-2.239191774210338,HOLD,"6 targets, about what was expected. 54% of the snaps.",0.5409836065573771,12.62,-0.79,0.0,-0.55,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,4217,George Kittle,TE,SF,3.2,10.09,-6.89,-1.4438374432635759,BUY LOW,"5 targets, about what was expected. 46% of the snaps.",0.46153846153846156,10.09,0.5,0.0,-0.37,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,13417,De'Zhaun Stribling,WR,SF,0.0,6.88,-6.88,-1.0871638663152652,INJURED,0 targets against 3.8 expected. 32% of the snaps.,0.3230769230769231,6.88,-3.82,-0.17,-0.24,Out,Ankle,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
2026,1,11564,Drake Maye,QB,NE,12.82,19.67,-6.850000000000001,-3.941152359081282,HOLD,"7 carries against 5.3 expected. 33 attempts, about what was expected. 100% of the snaps. 1 touchdown against 1.9 expected.",1.0,19.67,0.0,1.6500000000000004,-0.8599999999999999,,,False,"{""resid_lo"": -5.550000000000001, ""resid_hi"": 5.849999999999998, ""sell_cut"": 0.8203429152366721, ""buy_cut"": -1.6236237306997519}"
