Rank,Tier,Player,Position,Team,Flag,Note
1,Choose Your Fighter (They All Rock),Josh Allen,QB,BUF,,
2,Choose Your Fighter (They All Rock),Joe Burrow,QB,CIN,,
3,Choose Your Fighter (They All Rock),Lamar Jackson,QB,BAL,,
4,Choose Your Fighter (They All Rock),Drake Maye,QB,NE,,
5,Big Money Moves,Trevor Lawrence,QB,JAX,Target,
6,Big Money Moves,Jalen Hurts,QB,PHI,,
7,Big Money Moves,Baker Mayfield,QB,TB,Target,
8,Big Money Moves,Jayden Daniels,QB,WAS,,
9,Big Money Moves,Bo Nix,QB,DEN,Riser,
10,Big Money Moves,Justin Herbert,QB,LAC,Faller,
11,Big Money Moves,Caleb Williams,QB,CHI,,
12,Solid Dudes,Patrick Mahomes,QB,KC,Faller,
13,Solid Dudes,Brock Purdy,QB,SF,,
14,Solid Dudes,Jaxson Dart,QB,NYG,,
15,Solid Dudes,Dak Prescott,QB,DAL,,
16,Solid Dudes,Tyler Shough,QB,NO,,
17,Feels Boring. Scores Points.,Matthew Stafford,QB,LAR,,
18,Feels Boring. Scores Points.,Sam Darnold,QB,SEA,Riser,
19,Feels Boring. Scores Points.,Daniel Jones,QB,IND,,
20,Feels Boring. Scores Points.,Jared Goff,QB,DET,,
21,Feels Boring. Scores Points.,Jordan Love,QB,GB,,
22,Upside City,Kyler Murray,QB,MIN,,
23,Upside City,Fernando Mendoza,QB,LV,,
24,Upside City,Kirk Cousins,QB,LV,,
25,Upside City,Malik Willis,QB,MIA,,
26,Aghhhhhh,Cam Ward,QB,TEN,,
27,Aghhhhhh,C.J. Stroud,QB,HOU,,
28,Aghhhhhh,Bryce Young,QB,CAR,,
29,Aghhhhhh,Shedeur Sanders,QB,CLE,,
30,Aghhhhhh,Tua Tagovailoa,QB,ATL,,
31,Aghhhhhh,Aaron Rodgers,QB,PIT,,
32,Aghhhhhh,Geno Smith,QB,NYJ,,
33,Aghhhhhh,Jacoby Brissett,QB,ARI,,
34,The Colts Have The Best QB Room,Riley Leonard,QB,IND,,
35,The Colts Have The Best QB Room,Anthony Richardson,QB,IND,,
36,Everyone Loves ‘em,Jameis Winston,QB,NYG,,
37,Everyone Loves ‘em,Joe Flacco,QB,CIN,,
38,Backup Kings,Tyler Huntley,QB,BAL,,
39,Backup Kings,Tyson Bagent,QB,CHI,,
40,Backup Kings,Mac Jones,QB,SF,,
