Rank,Tier,Player,Position,Team,Flag,Note
1,A League of His Own,Brock Bowers,TE,LV,,
2,League Winners,Trey McBride,TE,ARI,,
3,League Winners,Tyler Warren,TE,IND,,
4,League Winners,Sam LaPorta,TE,DET,Target,
5,League Winners,Tucker Kraft,TE,GB,Riser,
6,League Winners,Colston Loveland,TE,CHI,Faller,
7,Solid Starters,George Kittle,TE,SF,,
8,Solid Starters,Brenton Strange,TE,JAX,,
9,Solid Starters,Harold Fannin,TE,CLE,,
10,Can They Be Trusted?,Isaiah Likely,TE,NYG,,
11,Can They Be Trusted?,Kyle Pitts,TE,ATL,,
12,Can They Be Trusted?,Dalton Kincaid,TE,BUF,Injury,
13,Can They Be Trusted?,Mark Andrews,TE,BAL,,
14,Exciting If They Hit,Gunnar Helm,TE,TEN,,
15,Exciting If They Hit,AJ Barner,TE,SEA,,
16,Exciting If They Hit,Chig Okonkwo,TE,WAS,,
17,Exciting If They Hit,Kenyon Sadiq,TE,NYJ,,
18,Exciting If They Hit,David Njoku,TE,LAC,,
19,Exciting If They Hit,Eli Stowers,TE,PHI,,
20,Exciting If They Hit,Oronde Gadsden,TE,LAC,,
21,Exciting If They Hit,Greg Dulcich,TE,MIA,,
22,Trustworthy,Jake Ferguson,TE,DAL,,
23,Trustworthy,T.J. Hockenson,TE,MIN,,
24,Trustworthy,Dallas Goedert,TE,PHI,,
25,He’s Still Here?,Travis Kelce,TE,KC,,
26,Fun Shots Worth Taking,Eli Raridon,TE,NE,Target,
27,Fun Shots Worth Taking,Matthew Hibner,TE,BAL,Riser,
28,Fun Shots Worth Taking,Oscar Delp,TE,NO,,
29,Fun Shots Worth Taking,Marlin Klein,TE,HOU,,
30,Fun Shots Worth Taking,Charlie Kolar,TE,LAC,,
31,Fun Shots Worth Taking,Michael Mayer,TE,LV,Riser,
32,Like It Don’t Love It,Terrance Ferguson,TE,LAR,,
33,Like It Don’t Love It,Dalton Schultz,TE,HOU,,
34,Like It Don’t Love It,Hunter Henry,TE,NE,,
35,Like It Don’t Love It,Juwan Johnson,TE,NO,,
36,Like It Don’t Love It,Cade Otton,TE,TB,,
37,Like It Don’t Love It,Justin Joly,TE,,,
