Rank,Tier,Player,Position,Team,Flag,Note
1,The Elite,Jaxon Smith-Njigba,WR,SEA,,
2,The Elite,Ja'Marr Chase,WR,CIN,,
3,The Elite,Puka Nacua,WR,LAR,,
4,Ol’ Reliable,Amon-Ra St. Brown,WR,DET,,
5,Ol’ Reliable,Justin Jefferson,WR,MIN,,
6,Ol’ Reliable,CeeDee Lamb,WR,DAL,,
7,The Upside Kings,Emeka Egbuka,WR,TB,Target,
8,The Upside Kings,Chris Olave,WR,NO,,
9,The Upside Kings,Drake London,WR,ATL,,
10,The Upside Kings,A.J. Brown,WR,NE,,
11,The Upside Kings,Rome Odunze,WR,CHI,Target,
12,The Upside Kings,Tetairoa McMillan,WR,CAR,,
13,The Upside Kings,George Pickens,WR,DAL,,
14,The Upside Kings,Nico Collins,WR,HOU,,
15,Something To Prove But I’m In,Tee Higgins,WR,CIN,,
16,Something To Prove But I’m In,Garrett Wilson,WR,NYJ,,
17,Something To Prove But I’m In,Brian Thomas Jr.,WR,JAX,Target,
18,Something To Prove But I’m In,Ladd McConkey,WR,LAC,,
19,Something To Prove But I’m In,Zay Flowers,WR,BAL,,
20,Something To Prove But I’m In,Jaylen Waddle,WR,DEN,,
21,Something To Prove But I’m In,DJ Moore,WR,BUF,,
22,Something To Prove But I’m In,Luther Burden III,WR,CHI,Riser,
23,Something To Prove But I’m In,DeVonta Smith,WR,PHI,,
24,Something To Prove But I’m In,Malik Nabers,WR,NYG,Injury,
25,Something To Prove But I’m In,Parker Washington,WR,JAX,Riser,
26,Something To Prove But I’m In,Carnell Tate,WR,TEN,,
27,Something To Prove But I’m In,Jameson Williams,WR,DET,,
28,Risky Rockstars,Davante Adams,WR,LAR,,
29,Risky Rockstars,Terry McLaurin,WR,WAS,,
30,Risky Rockstars,Wan'Dale Robinson,WR,TEN,,
31,Risky Rockstars,Marvin Harrison Jr,WR,ARI,,
32,Risky Rockstars,Michael Pittman,WR,PIT,Riser,
33,Risky Rockstars,Michael Wilson,WR,ARI,,
34,Risky Rockstars,Christian Watson,WR,GB,,
35,Risky Rockstars,Rashee Rice,WR,KC,Avoid,
36,Veterans That (Might) Still Be Kicking,Mike Evans,WR,SF,Injury,
37,Veterans That (Might) Still Be Kicking,Chris Godwin Jr.,WR,TB,,
38,Veterans That (Might) Still Be Kicking,Courtland Sutton,WR,DEN,,
39,Veterans That (Might) Still Be Kicking,Stefon Diggs,WR,WAS,,
40,Veterans That (Might) Still Be Kicking,Romeo Doubs,WR,NE,,
41,Veterans That (Might) Still Be Kicking,DK Metcalf,WR,PIT,,
42,Rookies and Breakouts,Matthew Golden,WR,GB,,
43,Rookies and Breakouts,KC Concepcion,WR,CLE,,
44,Rookies and Breakouts,Makai Lemon,WR,PHI,Injury,
45,Rookies and Breakouts,Quentin Johnston,WR,LAC,,
46,Rookies and Breakouts,Denzel Boston,WR,CLE,,
47,Rookies and Breakouts,Tank Dell,WR,HOU,,
48,Funky and Fun,Josh Downs,WR,IND,,
49,Funky and Fun,De'Zhaun Stribling,WR,SF,,
50,Funky and Fun,Skyler Bell,WR,BUF,,
51,Funky and Fun,Jayden Reed,WR,GB,,
52,Funky and Fun,Xavier Worthy,WR,KC,,
