player,team,position,sleeper_id,ambiguous
Aaron Rodgers,PIT,QB,96,0
Anthony Richardson,IND,QB,9229,0
Baker Mayfield,TB,QB,4892,0
Bo Nix,DEN,QB,11563,0
Brock Purdy,SF,QB,8183,0
Bryce Young,CAR,QB,9228,0
C.J. Stroud,HOU,QB,9758,0
Caleb Williams,CHI,QB,11560,0
Cam Ward,TEN,QB,12522,0
Dak Prescott,DAL,QB,3294,0
Daniel Jones,IND,QB,5870,0
Deshaun Watson,CLE,QB,4017,0
Drake Maye,NE,QB,11564,0
Fernando Mendoza,LV,QB,13269,0
Geno Smith,NYJ,QB,1373,0
Jacoby Brissett,ARI,QB,3257,0
Jalen Hurts,PHI,QB,6904,0
Jared Goff,DET,QB,3163,0
Jaxson Dart,NYG,QB,12508,0
Jayden Daniels,WAS,QB,11566,0
Joe Burrow,CIN,QB,6770,0
Jordan Love,GB,QB,6804,0
Josh Allen,BUF,QB,4984,0
Justin Herbert,LAC,QB,6797,0
Kirk Cousins,LV,QB,1166,0
Kyler Murray,MIN,QB,5849,0
Lamar Jackson,BAL,QB,4881,0
Mac Jones,SF,QB,7527,0
Malik Willis,MIA,QB,8161,0
Matthew Stafford,LA,QB,421,0
Mitchell Trubisky,TEN,QB,3976,0
Patrick Mahomes,KC,QB,4046,0
Sam Darnold,SEA,QB,4943,0
Trevor Lawrence,JAX,QB,7523,0
Tua Tagovailoa,ATL,QB,6768,0
Tyler Shough,NO,QB,12545,0
Aaron Jones,MIN,RB,4199,0
Alvin Kamara,NO,RB,4035,0
Ashton Jeanty,LV,RB,12527,0
Bam Knight,ARI,RB,8122,0
Bhayshul Tuten,JAX,RB,12490,0
Bijan Robinson,ATL,RB,9509,0
Blake Corum,LA,RB,11586,0
Breece Hall,NYJ,RB,8155,0
Bucky Irving,TB,RB,11584,0
Cam Skattebo,NYG,RB,12481,0
Chase Brown,CIN,RB,9224,0
Chris Rodriguez Jr.,JAX,RB,10219,0
Christian McCaffrey,SF,RB,4034,0
Chuba Hubbard,CAR,RB,7594,0
D'Andre Swift,CHI,RB,6790,0
David Montgomery,HOU,RB,5892,0
De'Von Achane,MIA,RB,9226,0
Derrick Henry,BAL,RB,3198,0
Dylan Sampson,CLE,RB,12469,0
Emmett Johnson,KC,RB,13337,0
J.K. Dobbins,DEN,RB,6806,0
Jacory Croskey-Merritt,WAS,RB,12533,0
Jadarian Price,SEA,RB,13286,0
Jahmyr Gibbs,DET,RB,9221,0
James Cook,BUF,RB,8138,0
Javonte Williams,DAL,RB,7588,0
Jaylen Warren,PIT,RB,8228,0
Jaylen Wright,MIA,RB,11643,0
Jeremiyah Love,ARI,RB,13287,0
Jonathan Taylor,IND,RB,6813,0
Jonathon Brooks,CAR,RB,11583,0
Jordan Mason,MIN,RB,8408,0
Josh Jacobs,GB,RB,5850,0
Justice Hill,BAL,RB,5995,0
Kaelon Black,SF,RB,13414,0
Kenneth Walker III,KC,RB,8151,0
Kenny Gainwell,TB,RB,7567,0
Kimani Vidal,LAC,RB,11647,0
Kyle Monangai,CHI,RB,12534,0
Kyren Williams,LA,RB,8150,0
MarShawn Lloyd,GB,RB,11581,0
Max Bredeson,MIN,RB,13516,0
Omarion Hampton,LAC,RB,12507,0
Quinshon Judkins,CLE,RB,12512,0
RJ Harvey,DEN,RB,12489,0
Rachaad White,WAS,RB,8136,0
Ray Davis,BUF,RB,11575,0
Rhamondre Stevenson,NE,RB,7611,0
Rico Dowdle,PIT,RB,7021,0
Robbie Ouzts,SEA,RB,12656,0
Samaje Perine,CIN,RB,4147,0
Saquon Barkley,PHI,RB,4866,0
Tank Bigsby,PHI,RB,9225,0
Tony Pollard,TEN,RB,5967,0
Travis Etienne,NO,RB,7543,0
Tyjae Spears,TEN,RB,9508,0
Tyler Allgeier,ARI,RB,8132,0
Tyrone Tracy Jr.,NYG,RB,11655,0
Woody Marks,HOU,RB,12474,0
AJ Barner,SEA,TE,11603,0
Brenton Strange,JAX,TE,9480,0
Cade Otton,TB,TE,8111,0
Chig Okonkwo,WAS,TE,8210,0
Colby Parkinson,LA,TE,6865,0
Cole Kmet,CHI,TE,6826,0
Colston Loveland,CHI,TE,12517,0
Dallas Goedert,PHI,TE,5022,0
Dalton Kincaid,BUF,TE,10236,0
Dalton Schultz,HOU,TE,5001,0
David Njoku,LAC,TE,4033,0
Evan Engram,DEN,TE,4066,0
George Kittle,SF,TE,4217,0
Greg Dulcich,MIA,TE,8172,0
Gunnar Helm,TEN,TE,12502,0
Harold Fannin Jr.,CLE,TE,12506,0
Hunter Henry,NE,TE,3214,0
Isaiah Likely,NYG,TE,8131,0
Jake Ferguson,DAL,TE,8110,0
Jonnu Smith,GB,TE,4144,0
Juwan Johnson,NO,TE,7002,0
Kyle Pitts,ATL,TE,7553,0
Mark Andrews,BAL,TE,5012,0
Mason Taylor,NYJ,TE,12498,0
Michael Mayer,LV,TE,9482,0
Mike Gesicki,CIN,TE,4993,0
Noah Fant,NO,TE,5857,0
Pat Freiermuth,PIT,TE,7600,0
Sam LaPorta,DET,TE,10859,0
T.J. Hockenson,MIN,TE,5844,0
Theo Johnson,NYG,TE,11597,0
Tommy Tremble,CAR,TE,7694,0
Travis Kelce,KC,TE,1466,0
Trey McBride,ARI,TE,8130,0
Tucker Kraft,GB,TE,9484,0
Tyler Warren,IND,TE,12518,0
A.J. Brown,NE,WR,5859,0
Adonai Mitchell,NYJ,WR,11625,0
Alec Pierce,IND,WR,8142,0
Amon-Ra St. Brown,DET,WR,7547,0
Brian Thomas Jr.,JAX,WR,11631,0
Caleb Douglas,MIA,WR,13296,0
Calvin Ridley,TEN,WR,4981,0
Carnell Tate,TEN,WR,13279,0
CeeDee Lamb,DAL,WR,6786,0
Chris Godwin Jr.,TB,WR,4037,0
Chris Olave,NO,WR,8144,0
Christian Watson,GB,WR,8167,0
Cooper Kupp,SEA,WR,4039,0
Courtland Sutton,DEN,WR,5045,0
DJ Moore,BUF,WR,4983,0
DK Metcalf,PIT,WR,5846,0
Darnell Mooney,NYG,WR,7090,0
Davante Adams,LA,WR,2133,0
De'Zhaun Stribling,SF,WR,13417,0
DeMario Douglas,NE,WR,9501,0
DeVonta Smith,PHI,WR,7525,0
Deebo Samuel Sr.,SF,WR,5872,0
Devaughn Vele,NO,WR,11834,0
Dontayvion Wicks,PHI,WR,9486,0
Drake London,ATL,WR,8112,0
Emeka Egbuka,TB,WR,12514,0
Garrett Wilson,NYJ,WR,8146,0
George Pickens,DAL,WR,8137,0
Ja'Kobi Lane,BAL,WR,13293,0
Ja'Marr Chase,CIN,WR,7564,0
Jakobi Meyers,JAX,WR,5947,0
Jalen Coker,CAR,WR,11646,0
Jalen Nailor,LV,WR,8180,0
Jameson Williams,DET,WR,8148,0
Jauan Jennings,MIN,WR,7049,0
Jaxon Smith-Njigba,SEA,WR,9488,0
Jayden Reed,GB,WR,10222,0
Jaylen Waddle,DEN,WR,7526,0
Jerry Jeudy,CLE,WR,6783,0
Jordan Addison,MIN,WR,9756,0
Josh Downs,IND,WR,9500,0
Justin Jefferson,MIN,WR,6794,0
KC Concepcion,CLE,WR,13298,0
Keenan Allen,IND,WR,1479,0
Keon Coleman,BUF,WR,11637,0
Khalil Shakir,BUF,WR,8134,0
Ladd McConkey,LAC,WR,11635,0
Luther Burden III,CHI,WR,12519,0
Makai Lemon,PHI,WR,13294,0
Malik Nabers,NYG,WR,11632,0
Malik Washington,MIA,WR,11610,0
Marquise Brown,PHI,WR,5848,0
Marvin Harrison Jr.,ARI,WR,11628,0
Matthew Golden,GB,WR,12501,0
Michael Pittman,PIT,WR,6819,0
Michael Wilson,ARI,WR,10232,0
Mike Evans,SF,WR,2216,0
Nico Collins,HOU,WR,7569,0
Omar Cooper Jr.,NYJ,WR,13276,0
Parker Washington,JAX,WR,9487,0
Puka Nacua,LA,WR,9493,0
Quentin Johnston,LAC,WR,9754,0
Rashee Rice,KC,WR,10229,0
Rashid Shaheed,SEA,WR,8676,0
Rashod Bateman,BAL,WR,7571,0
Rome Odunze,CHI,WR,11620,0
Romeo Doubs,NE,WR,8121,0
Stefon Diggs,WAS,WR,2449,0
Tee Higgins,CIN,WR,6801,0
Terry McLaurin,WAS,WR,5927,0
Tetairoa McMillan,CAR,WR,12526,0
Tre Harris,LAC,WR,12509,0
Tre Tucker,LV,WR,10213,0
Troy Franklin,DEN,WR,11627,0
Tyquan Thornton,KC,WR,8188,0
Wan'Dale Robinson,TEN,WR,8126,0
Xavier Legette,CAR,WR,11626,0
Xavier Worthy,KC,WR,11624,0
Zay Flowers,BAL,WR,9997,0
