rank_data,rank_vibes,player,team,opponent,is_home,proj,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Trey McBride,ARI,LAC,0,8.6,3.5,9.0,16.2,0.516,"18.8-point implied total. 9.6 targets. Range 3-16 around a median of 9, 52% shot at a top-12 week.",
2,2,Brock Bowers,LV,MIA,0,7.5,3.0,7.5,13.7,0.438,"22.0-point implied total. 5.2 targets. Range 3-14 around a median of 8, 44% shot at a top-12 week.",
3,7,Kyle Pitts,ATL,PIT,0,7.2,2.8,7.5,13.6,0.358,"19.5-point implied total. 6.9 targets. Range 3-14 around a median of 8, 36% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,15,Juwan Johnson,NO,DET,0,6.7,2.6,6.8,13.9,0.288,"21.2-point implied total. 6.0 targets. Range 3-14 around a median of 7, 29% shot at a top-12 week.",
5,4,Tyler Warren,IND,BAL,0,6.6,2.1,7.1,12.4,0.352,"22.0-point implied total. 6.7 targets. Range 2-12 around a median of 7, 35% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
6,20,Hunter Henry,NE,SEA,0,6.6,2.5,7.1,11.6,0.373,"20.5-point implied total. 5.9 targets. Range 2-12 around a median of 7, 37% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
7,13,Dallas Goedert,PHI,WAS,0,6.4,1.8,6.1,13.1,0.361,"24.5-point implied total. 5.2 targets. Range 2-13 around a median of 6, 36% shot at a top-12 week.",
8,3,Colston Loveland,CHI,CAR,0,6.4,2.3,6.2,13.3,0.282,"24.8-point implied total. 5.0 targets. Range 2-13 around a median of 6, 28% shot at a top-12 week.",
9,9,Travis Kelce,KC,DEN,0,6.1,2.6,7.1,10.3,0.267,"23.2-point implied total. 6.3 targets. Range 3-10 around a median of 7, 27% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
10,10,George Kittle,SF,LA,0,6.1,2.7,5.3,11.5,0.319,"22.5-point implied total. 4.6 targets. Range 3-11 around a median of 5, 32% shot at a top-12 week.",
11,17,Dalton Schultz,HOU,BUF,0,6.1,2.5,6.4,11.7,0.239,"23.0-point implied total. 6.1 targets. Range 2-12 around a median of 6, 24% shot at a top-12 week.",
12,5,Harold Fannin Jr.,CLE,JAX,0,5.9,2.0,6.1,12.8,0.217,"16.0-point implied total. 6.4 targets. Range 2-13 around a median of 6, 22% shot at a top-12 week.",
13,8,Sam LaPorta,DET,NO,0,5.7,2.5,5.3,11.1,0.24,"28.2-point implied total. 3.6 targets. Range 2-11 around a median of 5, 24% shot at a top-12 week.",
14,26,Cade Otton,TB,CIN,0,5.7,2.2,5.3,10.9,0.273,"23.5-point implied total. 5.0 targets. Range 2-11 around a median of 5, 27% shot at a top-12 week.",
15,21,T.J. Hockenson,MIN,GB,0,5.6,2.3,5.2,10.9,0.238,"24.0-point implied total. 4.5 targets. Range 2-11 around a median of 5, 24% shot at a top-12 week.",
16,6,Tucker Kraft,GB,MIN,0,5.6,2.1,5.2,11.2,0.238,"22.5-point implied total. 3.8 targets. Range 2-11 around a median of 5, 24% shot at a top-12 week.",
17,11,Dalton Kincaid,BUF,HOU,0,5.6,1.7,5.3,12.6,0.247,"21.5-point implied total. 4.1 targets. Range 2-13 around a median of 5, 25% shot at a top-12 week.",
18,27,Evan Engram,DEN,KC,0,5.6,1.7,5.6,11.9,0.22,"20.2-point implied total. 4.8 targets. Range 2-12 around a median of 6, 22% shot at a top-12 week.",
19,16,Mark Andrews,BAL,IND,0,5.4,2.0,5.2,11.3,0.212,"25.5-point implied total. 4.9 targets. Range 2-11 around a median of 5, 21% shot at a top-12 week.",
20,14,Jake Ferguson,DAL,NYG,0,5.3,2.5,5.2,10.4,0.175,"25.8-point implied total. 5.5 targets. Range 2-10 around a median of 5, 18% shot at a top-12 week.",
21,32,Theo Johnson,NYG,DAL,0,5.3,1.8,4.3,12.1,0.244,"22.8-point implied total. 4.8 targets. Range 2-12 around a median of 4, 24% shot at a top-12 week.",
22,18,Brenton Strange,JAX,CLE,0,5.1,1.3,4.4,11.9,0.234,"24.5-point implied total. 4.3 targets. Range 1-12 around a median of 4, 23% shot at a top-12 week.",
23,25,Pat Freiermuth,PIT,ATL,0,5.1,2.7,4.8,9.3,0.132,"23.0-point implied total. 3.9 targets. Range 3-9 around a median of 5, 13% shot at a top-12 week.",
24,19,Chig Okonkwo,WAS,PHI,0,4.8,1.8,4.2,10.6,0.17,"20.0-point implied total. 4.9 targets. Range 2-11 around a median of 4, 17% shot at a top-12 week. New team.",
25,22,AJ Barner,SEA,NE,0,4.8,1.8,4.6,9.5,0.152,"24.0-point implied total. 4.6 targets. Range 2-9 around a median of 5, 15% shot at a top-12 week.",
26,30,Mason Taylor,NYJ,TEN,0,4.7,2.1,4.5,9.4,0.138,"19.0-point implied total. 4.4 targets. Range 2-9 around a median of 4, 14% shot at a top-12 week.",
27,28,David Njoku,LAC,ARI,0,4.5,0.0,4.2,10.4,0.144,"28.8-point implied total. 3.9 targets. Range 0-10 around a median of 4, 14% shot at a top-12 week. New team.",
28,12,Isaiah Likely,NYG,DAL,0,4.5,1.9,3.9,9.3,0.171,"22.8-point implied total. 3.9 targets. Range 2-9 around a median of 4, 17% shot at a top-12 week. New team.",
29,34,Noah Fant,NO,DET,0,4.4,1.4,3.2,10.7,0.143,"21.2-point implied total. 3.7 targets. Range 1-11 around a median of 3, 14% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks. New team.",
30,23,Greg Dulcich,MIA,LV,0,4.3,1.5,3.3,9.8,0.152,"18.5-point implied total. 3.6 targets. Range 2-10 around a median of 3, 15% shot at a top-12 week. Ceiling-dependent: his median sits at the low end of that range, so the projection leans on his best weeks.",
31,24,Gunnar Helm,TEN,NYJ,0,4.3,1.4,4.4,8.5,0.076,"20.5-point implied total. 3.9 targets. Range 1-9 around a median of 4, 8% shot at a top-12 week.",
