rank_data,rank_vibes,player,team,opponent,is_home,proj,note_data,note_vibes
1,1,Trey McBride,ARI,LAC,0,12.6,3rd-lowest implied total (18.8) against the 9th-best pass defense by EPA last year. Clear starter's target share.,
2,7,Kyle Pitts,ATL,PIT,0,10.0,5th-lowest implied total (19.5) against a mid-pack pass defense last year. Clear starter's target share.,
3,2,Brock Bowers,LV,MIA,1,10.0,22.0-point implied total against 6th-worst pass defense by EPA last year. Secondary role in the passing game. New HC.,
4,15,Juwan Johnson,NO,DET,0,8.9,21.2-point implied total against a mid-pack pass defense last year. Secondary role in the passing game.,
5,20,Hunter Henry,NE,SEA,0,8.7,20.5-point implied total against the 6th-best pass defense by EPA last year. Secondary role in the passing game.,
6,9,Travis Kelce,KC,DEN,1,8.4,23.2-point implied total against a top-5 pass defense by EPA last year. Secondary role in the passing game.,
7,4,Tyler Warren,IND,BAL,1,8.3,22.0-point implied total against 12th-worst pass defense by EPA last year. Secondary role in the passing game.,
8,10,George Kittle,SF,LA,0,8.3,22.5-point implied total against the 10th-best pass defense by EPA last year. Secondary role in the passing game.,
9,17,Dalton Schultz,HOU,BUF,1,8.3,23.0-point implied total against the 8th-best pass defense by EPA last year. Secondary role in the passing game.,
10,3,Colston Loveland,CHI,CAR,0,8.2,24.8-point implied total against 9th-worst pass defense by EPA last year. Secondary role in the passing game.,
11,8,Sam LaPorta,DET,NO,1,8.0,2nd-highest implied total (28.2) against the 12th-best pass defense by EPA last year. Secondary role in the passing game.,
12,13,Dallas Goedert,PHI,WAS,1,8.0,24.5-point implied total against 3rd-worst pass defense by EPA last year. Secondary role in the passing game.,
13,14,Jake Ferguson,DAL,NYG,0,7.7,5th-highest implied total (25.8) against a mid-pack pass defense last year. Secondary role in the passing game.,
14,21,T.J. Hockenson,MIN,GB,1,7.6,24.0-point implied total against 11th-worst pass defense by EPA last year. Secondary role in the passing game.,
15,26,Cade Otton,TB,CIN,0,7.5,23.5-point implied total against 5th-worst pass defense by EPA last year. Secondary role in the passing game.,
16,5,Harold Fannin Jr.,CLE,JAX,0,7.3,1st-lowest implied total (16.0) against a top-3 pass defense by EPA last year. Secondary role in the passing game. New HC.,
17,6,Tucker Kraft,GB,MIN,0,7.2,22.5-point implied total against a top-2 pass defense by EPA last year. Secondary role in the passing game.,
18,25,Pat Freiermuth,PIT,ATL,1,7.1,23.0-point implied total against a mid-pack pass defense last year. Secondary role in the passing game. New HC.,
19,16,Mark Andrews,BAL,IND,0,7.1,6th-highest implied total (25.5) against a mid-pack pass defense last year. Secondary role in the passing game. New HC.,
20,32,Theo Johnson,NYG,DAL,1,7.1,22.8-point implied total against 2nd-worst pass defense by EPA last year. Secondary role in the passing game. New HC.,
21,11,Dalton Kincaid,BUF,HOU,0,7.0,21.5-point implied total against a top-1 pass defense by EPA last year. Secondary role in the passing game.,
22,27,Evan Engram,DEN,KC,0,6.9,20.2-point implied total against a mid-pack pass defense last year. Secondary role in the passing game.,
23,28,David Njoku,LAC,ARI,1,6.6,Highest implied total (28.8) against 7th-worst pass defense by EPA last year. Secondary role in the passing game. New team.,
24,18,Brenton Strange,JAX,CLE,1,6.2,24.5-point implied total against a top-4 pass defense by EPA last year. Secondary role in the passing game.,
25,22,AJ Barner,SEA,NE,1,6.1,24.0-point implied total against the 11th-best pass defense by EPA last year. Secondary role in the passing game.,
26,30,Mason Taylor,NYJ,TEN,0,6.1,4th-lowest implied total (19.0) against 4th-worst pass defense by EPA last year. Secondary role in the passing game.,
27,19,Chig Okonkwo,WAS,PHI,0,6.0,20.0-point implied total against the 7th-best pass defense by EPA last year. Secondary role in the passing game. New team.,
28,12,Isaiah Likely,NYG,DAL,1,6.0,22.8-point implied total against 2nd-worst pass defense by EPA last year. Secondary role in the passing game. New HC. New team.,
29,33,Cole Kmet,CHI,CAR,0,6.0,24.8-point implied total against 9th-worst pass defense by EPA last year. Secondary role in the passing game.,
30,34,Noah Fant,NO,DET,0,5.9,21.2-point implied total against a mid-pack pass defense last year. Secondary role in the passing game. New team.,
31,31,Mike Gesicki,CIN,TB,1,5.5,3rd-highest implied total (27.0) against a mid-pack pass defense last year. Secondary role in the passing game.,
32,29,Colby Parkinson,LA,SF,1,5.4,4th-highest implied total (26.0) against 8th-worst pass defense by EPA last year. Secondary role in the passing game.,
33,36,Jonnu Smith,GB,MIN,0,5.3,22.5-point implied total against a top-2 pass defense by EPA last year. Secondary role in the passing game. New team.,
34,24,Gunnar Helm,TEN,NYJ,1,5.3,20.5-point implied total against 1st-worst pass defense by EPA last year. Secondary role in the passing game. New HC.,
35,23,Greg Dulcich,MIA,LV,0,5.3,2nd-lowest implied total (18.5) against 10th-worst pass defense by EPA last year. Secondary role in the passing game. New HC.,
36,35,Tommy Tremble,CAR,CHI,1,5.2,21.8-point implied total against a mid-pack pass defense last year. Secondary role in the passing game.,
