rank_data,rank_vibes,player,team,opponent,is_home,proj,floor,median,ceiling,p_top12,note_data,note_vibes
1,2,Puka Nacua,LA,SF,0,14.6,5.8,14.4,25.5,0.45,"26.0-point implied total. 9.6 targets. Range 6-26 around a median of 14, 45% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
2,1,Ja'Marr Chase,CIN,TB,0,14.3,6.7,13.5,23.6,0.445,"27.0-point implied total. 10.3 targets. Range 7-24 around a median of 13, 44% shot at a top-12 week.",
3,4,Amon-Ra St. Brown,DET,NO,0,13.1,7.4,11.8,23.2,0.35,"28.2-point implied total. 9.7 targets. Range 7-23 around a median of 12, 35% shot at a top-12 week.",
4,3,Jaxon Smith-Njigba,SEA,NE,0,12.8,7.6,11.1,22.9,0.282,"24.0-point implied total. 10.8 targets. Range 8-23 around a median of 11, 28% shot at a top-12 week.",
5,5,Justin Jefferson,MIN,GB,0,12.1,5.9,11.9,20.1,0.294,"24.0-point implied total. 9.4 targets. Range 6-20 around a median of 12, 29% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
6,15,Zay Flowers,BAL,IND,0,11.6,5.9,10.7,22.5,0.187,"25.5-point implied total. 8.5 targets. Range 6-23 around a median of 11, 19% shot at a top-12 week.",
7,6,CeeDee Lamb,DAL,NYG,0,11.5,4.3,11.8,20.0,0.297,"25.8-point implied total. 6.6 targets. Range 4-20 around a median of 12, 30% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
8,24,Davante Adams,LA,SF,0,11.3,4.1,11.2,21.0,0.258,"26.0-point implied total. 6.8 targets. Range 4-21 around a median of 11, 26% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
9,18,Ladd McConkey,LAC,ARI,0,11.3,4.1,10.5,22.2,0.252,"28.8-point implied total. 6.6 targets. Range 4-22 around a median of 10, 25% shot at a top-12 week.",
10,10,Chris Olave,NO,DET,0,10.9,6.5,10.5,17.9,0.154,"21.2-point implied total. 9.5 targets. Range 7-18 around a median of 10, 15% shot at a top-12 week.",
11,11,George Pickens,DAL,NYG,0,10.8,5.2,10.3,20.6,0.206,"25.8-point implied total. 7.6 targets. Range 5-21 around a median of 10, 21% shot at a top-12 week.",
12,12,DeVonta Smith,PHI,WAS,0,10.7,5.0,10.4,19.4,0.206,"24.5-point implied total. 7.6 targets. Range 5-19 around a median of 10, 21% shot at a top-12 week.",
13,55,Deebo Samuel Sr.,SF,LA,0,10.7,5.3,8.9,18.9,0.215,"22.5-point implied total. 7.7 targets. Range 5-19 around a median of 9, 22% shot at a top-12 week. New team.",
14,42,Quentin Johnston,LAC,ARI,0,10.5,4.1,9.1,20.4,0.236,"28.8-point implied total. 5.5 targets. Range 4-20 around a median of 9, 24% shot at a top-12 week.",
15,37,Wan'Dale Robinson,TEN,NYJ,0,10.4,5.4,11.3,17.6,0.125,"20.5-point implied total. 8.8 targets. Range 5-18 around a median of 11, 12% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New team.",
16,26,Jameson Williams,DET,NO,0,10.3,5.4,10.0,19.1,0.156,"28.2-point implied total. 6.0 targets. Range 5-19 around a median of 10, 16% shot at a top-12 week.",
17,14,Rashee Rice,KC,DEN,0,10.2,4.2,9.3,18.9,0.19,"23.2-point implied total. 5.3 targets. Range 4-19 around a median of 9, 19% shot at a top-12 week.",
18,21,Emeka Egbuka,TB,CIN,0,10.2,4.8,10.6,18.8,0.166,"23.5-point implied total. 7.9 targets. Range 5-19 around a median of 11, 17% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
19,7,Drake London,ATL,PIT,0,10.2,5.8,9.4,17.1,0.11,"19.5-point implied total. 7.3 targets. Range 6-17 around a median of 9, 11% shot at a top-12 week.",
20,20,Tee Higgins,CIN,TB,0,10.2,4.0,9.3,19.5,0.197,"27.0-point implied total. 5.8 targets. Range 4-19 around a median of 9, 20% shot at a top-12 week.",
21,13,Malik Nabers,NYG,DAL,0,10.1,3.4,9.7,20.4,0.174,"22.8-point implied total. 3.9 targets. Range 3-20 around a median of 10, 17% shot at a top-12 week.",
22,9,Nico Collins,HOU,BUF,0,10.1,4.7,10.2,17.9,0.148,"23.0-point implied total. 7.5 targets. Range 5-18 around a median of 10, 15% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
23,8,A.J. Brown,NE,SEA,0,10.0,5.5,9.9,16.6,0.095,"20.5-point implied total. 8.9 targets. Range 6-17 around a median of 10, 10% shot at a top-12 week. New team.",
24,38,Courtland Sutton,DEN,KC,0,10.0,4.3,9.9,18.7,0.182,"20.2-point implied total. 7.6 targets. Range 4-19 around a median of 10, 18% shot at a top-12 week.",
25,19,Tetairoa McMillan,CAR,CHI,0,9.6,4.6,10.4,18.2,0.129,"21.8-point implied total. 8.2 targets. Range 5-18 around a median of 10, 13% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
26,17,Jaylen Waddle,DEN,KC,0,9.6,3.9,9.1,18.6,0.16,"20.2-point implied total. 7.6 targets. Range 4-19 around a median of 9, 16% shot at a top-12 week. New team.",
27,41,Stefon Diggs,WAS,PHI,0,9.4,3.2,7.4,19.6,0.232,"20.0-point implied total. 7.0 targets. Range 3-20 around a median of 7, 23% shot at a top-12 week. New team.",
28,40,Michael Wilson,ARI,LAC,0,9.2,3.5,7.8,19.6,0.182,"18.8-point implied total. 7.9 targets. Range 3-20 around a median of 8, 18% shot at a top-12 week.",
29,29,Rome Odunze,CHI,CAR,0,9.2,4.0,8.6,18.0,0.128,"24.8-point implied total. 5.9 targets. Range 4-18 around a median of 9, 13% shot at a top-12 week.",
30,36,Michael Pittman,PIT,ATL,0,9.1,3.8,8.0,18.1,0.163,"23.0-point implied total. 6.7 targets. Range 4-18 around a median of 8, 16% shot at a top-12 week. New team.",
31,35,Brian Thomas Jr.,JAX,CLE,0,8.9,3.3,7.5,18.5,0.162,"24.5-point implied total. 6.2 targets. Range 3-18 around a median of 7, 16% shot at a top-12 week.",
32,34,DK Metcalf,PIT,ATL,0,8.6,4.2,7.5,17.3,0.123,"23.0-point implied total. 6.2 targets. Range 4-17 around a median of 8, 12% shot at a top-12 week.",
33,32,Marvin Harrison Jr.,ARI,LAC,0,8.5,3.5,6.7,19.0,0.162,"18.8-point implied total. 5.2 targets. Range 4-19 around a median of 7, 16% shot at a top-12 week.",
