rank_data,rank_vibes,player,team,note_data,note_vibes
1,1,Eddy Pineiro,SF,"91.7% venue rate at home. 89.2% on 158 career kicks, weighted 0.61.",
2,2,Cameron Dicker,LAC,"87.5% venue rate at home. 93.5% on 138 career kicks, weighted 0.58.",
3,3,Brandon Aubrey,DAL,"90.2% venue rate at home. 88.2% on 127 career kicks, weighted 0.56.",
4,4,Dominic Zvada,NYG,"89.9% venue rate at SoFi Stadium. No NFL attempts yet, so his own rate is the league average.",
5,5,Tyler Loop,BAL,"88.6% venue rate at home. 88.9% on 36 career kicks, weighted 0.26.",
6,6,Ryan Fitzgerald,CAR,"91.2% venue rate at Mercedes-Benz Stadium. 83.3% on 30 career kicks, weighted 1.00.",
7,7,Matt Gay,LV,"89.9% venue rate at SoFi Stadium. 84.4% on 218 career kicks, weighted 1.00.",
8,8,Nick Folk,ATL,"89.4% venue rate at home. 84.7% on 511 career kicks, weighted 1.00.",
9,9,Cam Little,JAX,"86.2% venue rate at Empower Field at Mile High. 90.8% on 65 career kicks, weighted 0.39.",
10,10,Harrison Mevis,LA,"87.5% venue rate at home. 92.3% on 13 career kicks, weighted 0.12.",
11,11,Trey Smack,GB,"86.5% venue rate at MetLife Stadium. 100.0% on 3 career kicks, weighted 0.03.",
12,12,Spencer Shrader,IND,"84.7% venue rate at GEHA Field at Arrowhead St. 95.0% on 20 career kicks, weighted 0.17.",
13,13,Daniel Carlson,NO,"85.2% venue rate at M&T Bank Stadium. 86.6% on 261 career kicks, weighted 0.72.",
14,14,Cairo Santos,CHI,"85.7% venue rate at home. 85.3% on 313 career kicks, weighted 0.76.",
15,15,Harrison Butker,KC,"83.3% venue rate at home. 88.4% on 285 career kicks, weighted 0.74.",
16,16,Wil Lutz,DEN,"84.9% venue rate at home. 86.1% on 296 career kicks, weighted 0.75.",
17,17,Jason Myers,SEA,"85.0% venue rate at State Farm Stadium. 85.7% on 349 career kicks, weighted 0.78.",
18,18,Jake Elliott,PHI,"86.6% venue rate at Nissan Stadium. 83.8% on 259 career kicks, weighted 1.00.",
19,19,Ka'imi Fairbairn,HOU,"83.3% venue rate at home. 87.7% on 292 career kicks, weighted 0.74.",
20,20,Joey Slye,TEN,"88.5% venue rate at home. 81.5% on 216 career kicks, weighted 1.00.",
21,21,Riley Patterson,MIA,"83.8% venue rate at Levi's® Stadium. 86.8% on 106 career kicks, weighted 0.51.",
22,22,Evan McPherson,CIN,"86.0% venue rate at NRG Stadium. 83.7% on 147 career kicks, weighted 1.00.",
23,23,Andre Szmyt,CLE,"83.6% venue rate at Raymond James Stadium. 89.3% on 28 career kicks, weighted 0.22.",
24,24,Andy Borregales,NE,"84.7% venue rate at home. 84.8% on 33 career kicks, weighted 1.00.",
25,25,Jake Bates,DET,"84.8% venue rate at Highmark Stadium. 84.4% on 64 career kicks, weighted 1.00.",
26,26,Jason Sanders,NYJ,"84.6% venue rate at home. 84.4% on 225 career kicks, weighted 1.00.",
27,27,Will Reichard,MIN,"82.5% venue rate at Soldier Field. 87.9% on 66 career kicks, weighted 0.40.",
28,28,Chase McLaughlin,TB,"82.5% venue rate at home. 85.1% on 188 career kicks, weighted 1.00.",
29,29,Tyler Bass,BUF,"81.5% venue rate at home. 84.8% on 158 career kicks, weighted 1.00.",
30,30,Chris Boswell,PIT,"79.3% venue rate at Gillette Stadium. 87.5% on 344 career kicks, weighted 0.77.",
31,31,Chad Ryland,ARI,"84.3% venue rate at home. 76.8% on 95 career kicks, weighted 1.00.",
32,32,Drew Stevens,WAS,"88.2% venue rate at AT&T Stadium. 50.0% on 2 career kicks, weighted 1.00.",
