rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,5,Josh Allen,BUF,DET,1,24.077,21.629,15.577,25.159,36.722,0.626,"Highest implied total (29.0) against a mid-pack pass defense last year. They rank 9th of 32 against the pass in week 1. Projected 29 attempts for 223 yards, plus 6.5 carries of his own, 0.6 goal-line rush. Last week he had 29 attempts, 6 carries and 100% of the snaps. Range 16-37 around a median of 25, 63% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
2,7,Caleb Williams,CHI,MIN,1,23.028,20.133,16.566,23.343,36.35,0.548,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. They rank 26th of 32 against the pass in week 1. Projected 31 attempts for 217 yards, plus 7.3 carries of his own. Last week he had 29 attempts, 10 carries and 100% of the snaps. Range 17-36 around a median of 23, 55% shot at a top-12 week.",
3,20,Patrick Mahomes,KC,IND,1,22.654,16.503,15.108,22.073,35.972,0.554,"5th-highest implied total (27.0) against a mid-pack pass defense last year. They rank 31st of 32 against the pass in week 1. Projected 31 attempts for 224 yards, plus 5.8 carries of his own. Last week he had 27 attempts, 7 carries and 100% of the snaps. Range 15-36 around a median of 22, 55% shot at a top-12 week.",
4,1,Lamar Jackson,BAL,NO,1,21.832,24.077,13.428,21.655,33.835,0.507,"4th-highest implied total (27.5) against the 12th-best pass defense by EPA last year. They rank 19th of 32 against the pass in week 1. Projected 24 attempts for 191 yards, plus 6.1 carries of his own. Last week he had 25 attempts, 7 carries and 100% of the snaps. Range 13-34 around a median of 22, 51% shot at a top-12 week. New HC.",
5,15,Brock Purdy,SF,MIA,1,21.629,18.781,14.34,21.465,32.683,0.529,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. They rank 30th of 32 against the pass in week 1. Projected 33 attempts for 242 yards, plus 4.3 carries of his own. Last week he had 34 attempts, 5 carries and 100% of the snaps. Range 14-33 around a median of 21, 53% shot at a top-12 week.",
6,4,Justin Herbert,LAC,LV,1,20.389,21.832,11.956,20.438,34.063,0.433,"25.2-point implied total against 10th-worst pass defense by EPA last year. They rank 23rd of 32 against the pass in week 1. Projected 30 attempts for 213 yards, plus 5.1 carries of his own. Last week he had 27 attempts, 5 carries and 100% of the snaps. Range 12-34 around a median of 20, 43% shot at a top-12 week.",
7,10,Drake Maye,NE,PIT,1,20.133,19.774,13.404,20.676,33.08,0.416,"23.5-point implied total against a mid-pack pass defense last year. They rank 3rd of 32 against the pass in week 1. Projected 31 attempts for 261 yards, plus 6.5 carries of his own. Last week he had 33 attempts, 7 carries and 100% of the snaps. Range 13-33 around a median of 21, 42% shot at a top-12 week.",
8,6,Dak Prescott,DAL,WAS,1,20.079,20.389,11.544,19.418,33.666,0.434,"5th-highest implied total (27.0) against 3rd-worst pass defense by EPA last year. They rank 18th of 32 against the pass in week 1. Projected 35 attempts for 258 yards, 2.6 carries of his own. Last week he had 34 attempts, 2 carries and 100% of the snaps. Range 12-34 around a median of 19, 43% shot at a top-12 week.",
9,3,Jalen Hurts,PHI,TEN,0,19.868,22.654,12.439,19.676,32.092,0.445,"23.2-point implied total against 4th-worst pass defense by EPA last year. They rank 28th of 32 against the pass in week 1. Projected 27 attempts for 189 yards, plus 6.8 carries of his own, 0.5 goal-line rushes. Last week he had 25 attempts, 7 carries and 100% of the snaps. Range 12-32 around a median of 20, 44% shot at a top-12 week.",
10,11,Jayden Daniels,WAS,DAL,0,19.774,19.77,12.324,20.141,30.603,0.434,"23.5-point implied total against 2nd-worst pass defense by EPA last year. They rank 29th of 32 against the pass in week 1. Projected 30 attempts for 209 yards, plus 6.6 carries of his own. Last week he had 34 attempts, 5 carries and 100% of the snaps. Range 12-31 around a median of 20, 43% shot at a top-12 week.",
11,14,Baker Mayfield,TB,CLE,1,19.77,19.013,11.035,20.355,32.125,0.442,"24.5-point implied total against a top-4 pass defense by EPA last year. They rank 32nd of 32 against the pass in week 1. Projected 30 attempts for 205 yards, plus 4.1 carries of his own. Last week he had 28 attempts, 5 carries and 100% of the snaps. Range 11-32 around a median of 20, 44% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
12,13,Matthew Stafford,LA,NYG,1,19.664,19.605,11.167,19.474,33.963,0.403,"3rd-highest implied total (27.8) against a mid-pack pass defense last year. They rank 15th of 32 against the pass in week 1. Projected 30 attempts for 231 yards. Last week he had 25 attempts, 2 carries and 84% of the snaps. Range 11-34 around a median of 19, 40% shot at a top-12 week.",
