rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Jahmyr Gibbs,DET,BUF,0,16.704,16.704,10.588,15.915,27.824,0.494,"24.5-point implied total against 2nd-worst run defense by EPA last year. 21.6 carries, 0.6 of them at the goal line, 5.3 targets out of the backfield, 70% of the snaps. Range 11-28 around a median of 16, 49% shot at a top-12 week.",
2,2,Bijan Robinson,ATL,CAR,1,16.086,16.086,10.003,15.827,26.304,0.496,"20.5-point implied total against 7th-worst run defense by EPA last year. 18.9 carries, 0.6 of them at the goal line, 8.0 targets out of the backfield, 77% of the snaps. Range 10-26 around a median of 16, 50% shot at a top-12 week.",
3,3,Christian McCaffrey,SF,MIA,1,15.755,15.755,8.864,15.898,26.124,0.511,"Highest implied total (29.0) against a mid-pack run defense last year. 14.1 carries, 1.4 of them at the goal line, 7.8 targets out of the backfield, 69% of the snaps. Range 9-26 around a median of 16, 51% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,12,Kenneth Walker III,KC,IND,1,15.157,12.994,7.401,15.068,27.7,0.467,"5th-highest implied total (27.0) against a top-5 run defense by EPA last year. 18.0 carries, 4.1 targets out of the backfield. Range 7-28 around a median of 15, 47% shot at a top-12 week. New team.",
5,13,Ashton Jeanty,LV,LAC,0,15.088,12.829,8.726,14.515,25.168,0.447,"5th-lowest implied total (18.2) against a top-3 run defense by EPA last year. 19.3 carries, 1.0 of them at the goal line, 5.1 targets out of the backfield, 76% of the snaps. Range 9-25 around a median of 15, 45% shot at a top-12 week. New HC.",
6,9,Derrick Henry,BAL,NO,1,14.469,13.81,7.292,15.357,23.737,0.453,"4th-highest implied total (27.5) against the 6th-best run defense by EPA last year. 21.0 carries, 1.4 of them at the goal line. Range 7-24 around a median of 15, 45% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
7,10,James Cook,BUF,DET,1,14.272,13.703,7.52,14.134,24.974,0.41,"Highest implied total (29.0) against a mid-pack run defense last year. 15.6 carries, 0.7 of them at the goal line, 3.2 targets out of the backfield, 64% of the snaps. Range 8-25 around a median of 14, 41% shot at a top-12 week.",
8,4,Jonathan Taylor,IND,KC,0,14.102,15.157,8.723,13.209,23.389,0.349,"20.5-point implied total against the 8th-best run defense by EPA last year. 19.0 carries, 0.9 of them at the goal line, 3.6 targets out of the backfield, 86% of the snaps. Range 9-23 around a median of 13, 35% shot at a top-12 week.",
9,11,Javonte Williams,DAL,WAS,1,13.81,13.208,7.213,12.967,24.161,0.375,"5th-highest implied total (27.0) against 5th-worst run defense by EPA last year. 13.9 carries, 1.2 of them at the goal line, 4.1 targets out of the backfield, 70% of the snaps. Range 7-24 around a median of 13, 38% shot at a top-12 week.",
10,7,Chase Brown,CIN,HOU,0,13.703,14.272,7.675,12.402,24.961,0.348,"22.0-point implied total against a top-2 run defense by EPA last year. 14.8 carries, 0.9 of them at the goal line, 5.6 targets out of the backfield, 62% of the snaps. Range 8-25 around a median of 12, 35% shot at a top-12 week.",
11,17,Breece Hall,NYJ,GB,1,13.208,12.195,6.785,12.724,23.122,0.377,"20.0-point implied total against a mid-pack run defense last year. 18.6 carries, 2.5 targets out of the backfield, 61% of the snaps. Range 7-23 around a median of 13, 38% shot at a top-12 week.",
12,6,Saquon Barkley,PHI,TEN,0,12.994,14.469,7.352,12.004,21.796,0.361,"23.2-point implied total against 11th-worst run defense by EPA last year. 16.2 carries, 0.7 of them at the goal line, 2.6 targets out of the backfield, 74% of the snaps. Range 7-22 around a median of 12, 36% shot at a top-12 week.",
13,19,Bucky Irving,TB,CLE,1,12.829,11.025,6.895,12.475,21.915,0.327,"24.5-point implied total against the 10th-best run defense by EPA last year. 12.7 carries, 0.7 of them at the goal line, 5.2 targets out of the backfield, 61% of the snaps. Range 7-22 around a median of 12, 33% shot at a top-12 week.",
14,5,De'Von Achane,MIA,SF,0,12.643,15.088,7.938,11.284,20.944,0.29,"3rd-lowest implied total (16.5) against 11th-worst run defense by EPA last year. 12.9 carries, 5.2 targets out of the backfield, 80% of the snaps. Range 8-21 around a median of 11, 29% shot at a top-12 week. New HC.",
15,15,Kyren Williams,LA,NYG,1,12.523,12.523,5.274,12.123,23.37,0.338,"3rd-highest implied total (27.8) against the worst run defense in the league by EPA last year. 13.1 carries, 1.0 of them at the goal line, 3.0 targets out of the backfield, 66% of the snaps. Range 5-23 around a median of 12, 34% shot at a top-12 week.",
16,16,D'Andre Swift,CHI,MIN,1,12.354,12.354,6.04,11.889,22.373,0.298,"5th-highest implied total (27.0) against a mid-pack run defense last year. 16.0 carries, 0.9 of them at the goal line, 2.0 targets out of the backfield. Range 6-22 around a median of 12, 30% shot at a top-12 week.",
17,18,Rhamondre Stevenson,NE,PIT,1,12.195,11.843,5.918,12.206,22.091,0.318,"23.5-point implied total against a mid-pack run defense last year. 13.6 carries, 0.6 of them at the goal line, 4.3 targets out of the backfield, 72% of the snaps. Range 6-22 around a median of 12, 32% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
18,14,Travis Etienne,NO,BAL,0,11.843,12.643,5.714,11.406,21.301,0.331,"19.0-point implied total against the 10th-best run defense by EPA last year. 12.1 carries, 6.0 targets out of the backfield. Range 6-21 around a median of 11, 33% shot at a top-12 week. New team.",
19,8,Omarion Hampton,LAC,LV,1,11.025,14.102,4.755,10.317,20.689,0.28,"25.2-point implied total against a mid-pack run defense last year. 12.9 carries, 0.6 of them at the goal line, 60% of the snaps. Range 5-21 around a median of 10, 28% shot at a top-12 week.",
20,24,Quinshon Judkins,CLE,TB,0,10.918,10.154,5.0,10.424,18.819,0.271,"1st-lowest implied total (16.0) against the 9th-best run defense by EPA last year. 14.2 carries, 2.3 targets out of the backfield. Range 5-19 around a median of 10, 27% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
21,21,David Montgomery,HOU,CIN,1,10.867,10.867,5.101,10.949,20.403,0.219,"24.5-point implied total against 3rd-worst run defense by EPA last year. 14.6 carries, 0.9 of them at the goal line, 2.4 targets out of the backfield. Range 5-20 around a median of 11, 22% shot at a top-12 week. New team.",
22,30,MarShawn Lloyd,GB,NYJ,0,10.827,9.204,4.623,10.767,19.618,0.244,"24.5-point implied total against 12th-worst run defense by EPA last year. 13.0 carries. Range 5-20 around a median of 11, 24% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
23,55,Kaelon Black,SF,MIA,1,10.686,4.55,4.276,10.965,20.36,0.25,"Highest implied total (29.0) against a mid-pack run defense last year. 14.0 carries. Range 4-20 around a median of 11, 25% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
24,20,Cam Skattebo,NYG,LA,0,10.154,10.918,4.469,9.776,19.38,0.203,"20.8-point implied total against a mid-pack run defense last year. 15.3 carries, 2.0 targets out of the backfield. Range 4-19 around a median of 10, 20% shot at a top-12 week. New HC.",
25,23,Jaylen Warren,PIT,NE,0,10.114,10.686,4.776,9.072,20.418,0.198,"4th-lowest implied total (18.0) against a mid-pack run defense last year. 11.6 carries, 0.6 of them at the goal line, 4.4 targets out of the backfield. Range 5-20 around a median of 9, 20% shot at a top-12 week. New HC.",
26,25,Jadarian Price,SEA,ARI,0,9.82,10.114,4.327,8.618,19.883,0.196,"23.0-point implied total against 8th-worst run defense by EPA last year. 10.0 carries, 2.0 targets out of the backfield. Range 4-20 around a median of 9, 20% shot at a top-12 week.",
27,29,Chuba Hubbard,CAR,ATL,0,9.716,9.566,4.108,8.306,19.388,0.184,"23.0-point implied total against 6th-worst run defense by EPA last year. 9.5 carries, 2.8 targets out of the backfield. Range 4-19 around a median of 8, 18% shot at a top-12 week.",
28,38,Jacory Croskey-Merritt,WAS,DAL,0,9.715,7.454,3.682,9.287,19.619,0.2,"23.5-point implied total against 4th-worst run defense by EPA last year. 13.1 carries, 0.5 of them at the goal line. Range 4-20 around a median of 9, 20% shot at a top-12 week.",
29,28,Rico Dowdle,PIT,NE,0,9.566,9.715,4.261,8.103,19.324,0.177,"4th-lowest implied total (18.0) against a mid-pack run defense last year. 10.9 carries, 0.8 of them at the goal line, 4.0 targets out of the backfield. Range 4-19 around a median of 8, 18% shot at a top-12 week. New HC. New team.",
30,22,Jeremiyah Love,ARI,SEA,1,9.204,10.827,4.135,8.786,15.634,0.099,"18.5-point implied total against the best run defense in the league by EPA last year. 11.0 carries, 4.0 targets out of the backfield. Range 4-16 around a median of 9, 10% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
31,27,Tony Pollard,TEN,PHI,1,9.056,9.716,3.249,8.275,18.73,0.174,"2nd-lowest implied total (16.2) against the 12th-best run defense by EPA last year. 10.6 carries, 2.2 targets out of the backfield. Range 3-19 around a median of 8, 17% shot at a top-12 week. New HC.",
32,43,Kyle Monangai,CHI,MIN,1,8.69,6.72,3.208,7.239,19.871,0.149,"5th-highest implied total (27.0) against a mid-pack run defense last year. 10.0 carries, 0.7 of them at the goal line. Range 3-20 around a median of 7, 15% shot at a top-12 week.",
33,33,Aaron Jones,MIN,CHI,0,8.599,8.599,4.004,7.506,17.276,0.133,"21.5-point implied total against 9th-worst run defense by EPA last year. 11.5 carries, 2.2 targets out of the backfield. Range 4-17 around a median of 8, 13% shot at a top-12 week.",
34,32,J.K. Dobbins,DEN,JAX,1,8.382,8.69,2.901,7.432,18.01,0.154,"23.0-point implied total against the 7th-best run defense by EPA last year. 11.7 carries. Range 3-18 around a median of 7, 15% shot at a top-12 week.",
35,35,Jordan Mason,MIN,CHI,0,8.364,8.364,2.687,6.925,19.2,0.151,"21.5-point implied total against 9th-worst run defense by EPA last year. 12.5 carries, 0.6 of them at the goal line. Range 3-19 around a median of 7, 15% shot at a top-12 week.",
36,44,Woody Marks,HOU,CIN,1,8.222,6.42,3.055,6.748,18.087,0.139,"24.5-point implied total against 3rd-worst run defense by EPA last year. 10.6 carries, 0.6 of them at the goal line. Range 3-18 around a median of 7, 14% shot at a top-12 week.",
37,40,Tyler Allgeier,ARI,SEA,1,7.832,7.287,2.611,6.804,17.398,0.138,"18.5-point implied total against the best run defense in the league by EPA last year. 12.7 carries, 0.5 of them at the goal line. Range 3-17 around a median of 7, 14% shot at a top-12 week. New team.",
38,51,Emmett Johnson,KC,IND,1,7.454,5.209,2.748,6.691,16.18,0.104,"5th-highest implied total (27.0) against a top-5 run defense by EPA last year. 8.0 carries, 2.0 targets out of the backfield. Range 3-16 around a median of 7, 10% shot at a top-12 week.",
39,31,Kenny Gainwell,TB,CLE,1,7.42,9.056,2.352,6.06,17.08,0.123,"24.5-point implied total against the 10th-best run defense by EPA last year. 5.9 carries, 0.5 of them at the goal line, 3.0 targets out of the backfield. Range 2-17 around a median of 6, 12% shot at a top-12 week. New team.",
40,37,Rachaad White,WAS,DAL,0,7.287,7.832,2.878,6.24,15.538,0.091,"23.5-point implied total against 4th-worst run defense by EPA last year. 7.4 carries, 0.6 of them at the goal line, 2.3 targets out of the backfield. Range 3-16 around a median of 6, 9% shot at a top-12 week. New team.",
41,34,RJ Harvey,DEN,JAX,1,7.256,8.382,2.798,5.899,16.048,0.099,"23.0-point implied total against the 7th-best run defense by EPA last year. 5.8 carries, 0.7 of them at the goal line, 3.7 targets out of the backfield. Range 3-16 around a median of 6, 10% shot at a top-12 week.",
42,39,Blake Corum,LA,NYG,1,6.733,7.42,1.933,5.582,16.138,0.1,"3rd-highest implied total (27.8) against the worst run defense in the league by EPA last year. 9.3 carries, 0.7 of them at the goal line. Range 2-16 around a median of 6, 10% shot at a top-12 week.",
43,26,Bhayshul Tuten,JAX,DEN,0,6.72,9.82,1.772,5.517,16.703,0.119,"20.5-point implied total against a top-4 run defense by EPA last year. 10.3 carries. Range 2-17 around a median of 6, 12% shot at a top-12 week.",
44,41,Tyjae Spears,TEN,PHI,1,6.42,7.256,2.313,5.418,14.864,0.074,"2nd-lowest implied total (16.2) against the 12th-best run defense by EPA last year. 4.3 carries, 3.9 targets out of the backfield. Range 2-15 around a median of 5, 7% shot at a top-12 week. New HC.",
45,48,Justice Hill,BAL,NO,1,5.999,5.419,1.688,5.024,14.897,0.076,"4th-highest implied total (27.5) against the 6th-best run defense by EPA last year. 4.0 carries, 2.0 targets out of the backfield. Range 2-15 around a median of 5, 8% shot at a top-12 week. New HC.",
46,57,Devin Singletary,NYG,LA,0,5.489,3.865,1.588,4.192,14.023,0.061,"20.8-point implied total against a mid-pack run defense last year. 6.5 carries, 2.6 targets out of the backfield. Range 2-14 around a median of 4, 6% shot at a top-12 week. New HC.",
47,52,Chris Brooks,GB,NYJ,0,5.426,5.179,1.464,4.528,13.637,0.052,"24.5-point implied total against 12th-worst run defense by EPA last year. 4.5 carries, 0.7 of them at the goal line. Range 1-14 around a median of 5, 5% shot at a top-12 week.",
48,53,Samaje Perine,CIN,HOU,0,5.419,5.097,1.396,4.381,13.91,0.057,"22.0-point implied total against a top-2 run defense by EPA last year. 5.5 carries, 2.2 targets out of the backfield. Range 1-14 around a median of 4, 6% shot at a top-12 week.",
49,49,Braelon Allen,NYJ,GB,1,5.408,5.408,1.001,4.175,13.897,0.044,"20.0-point implied total against a mid-pack run defense last year. 7.2 carries. Range 1-14 around a median of 4, 4% shot at a top-12 week.",
