rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,2,Bijan Robinson,ATL,CAR,1,19.122,18.496,12.848,18.253,29.685,0.601,"20.5-point implied total against 7th-worst run defense by EPA last year. They rank 28th of 32 against the rush in week 1. Projected 18.9 carries, 0.6 of them at the goal line, a 64% carry share, 8.0 targets out of the backfield, 77% of the snaps. Last week he had 21 carries, a 68% carry share, 10 targets and 77% of the snaps. Range 13-30 around a median of 18, 60% shot at a top-12 week.",
2,3,Christian McCaffrey,SF,MIA,1,18.496,17.924,13.129,18.548,30.249,0.59,"Highest implied total (29.0) against a mid-pack run defense last year. They rank 26th of 32 against the rush in week 1. Projected 14.1 carries, 1.4 of them at the goal line, a 49% carry share, 7.8 targets out of the backfield, 69% of the snaps. Last week he had 10 carries, a 33% carry share, 8 targets and 55% of the snaps. Range 13-30 around a median of 19, 59% shot at a top-12 week.",
3,1,Jahmyr Gibbs,DET,BUF,0,17.924,19.122,10.908,18.311,30.465,0.51,"24.5-point implied total against 2nd-worst run defense by EPA last year. They rank 21st of 32 against the rush in week 1. Projected 21.6 carries, 0.6 of them at the goal line, a 71% carry share, 5.3 targets out of the backfield, 70% of the snaps. Last week he had 29 carries, an 88% carry share, 5 targets and 74% of the snaps. Range 11-30 around a median of 18, 51% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,12,Kenneth Walker III,KC,IND,1,16.667,14.515,8.384,16.321,29.791,0.472,"5th-highest implied total (27.0) against a top-5 run defense by EPA last year. They rank 31st of 32 against the rush in week 1. Projected 18.0 carries, a 52% carry share, 4.1 targets out of the backfield, 57% of the snaps. Last week he had 23 carries, a 60% carry share, 6 targets and 68% of the snaps. Range 8-30 around a median of 16, 47% shot at a top-12 week. New team.",
5,13,Ashton Jeanty,LV,LAC,0,16.665,14.436,9.281,16.201,29.083,0.463,"5th-lowest implied total (18.2) against a top-3 run defense by EPA last year. They rank 23rd of 32 against the rush in week 1. Projected 19.3 carries, 1.0 of them at the goal line, a 67% carry share, 5.1 targets out of the backfield, 76% of the snaps. Last week he had 23 carries, a 62% carry share, 6 targets and 74% of the snaps. Range 9-29 around a median of 16, 46% shot at a top-12 week. New HC.",
6,4,Jonathan Taylor,IND,KC,0,15.911,16.667,10.531,14.966,27.203,0.395,"20.5-point implied total against the 8th-best run defense by EPA last year. They rank 13th of 32 against the rush in week 1. Projected 19.0 carries, 0.9 of them at the goal line, an 84% carry share, 3.6 targets out of the backfield, 86% of the snaps. Last week he had 19 carries, a 95% carry share, 4 targets and 89% of the snaps. Range 11-27 around a median of 15, 40% shot at a top-12 week.",
7,7,Chase Brown,CIN,HOU,0,15.846,15.846,8.886,14.865,27.324,0.409,"22.0-point implied total against a top-2 run defense by EPA last year. They rank 11th of 32 against the rush in week 1. Projected 14.8 carries, 0.9 of them at the goal line, a 60% carry share, 5.6 targets out of the backfield, 62% of the snaps. Last week he had 16 carries, a 59% carry share, 6 targets and 72% of the snaps. Range 9-27 around a median of 15, 41% shot at a top-12 week.",
8,10,James Cook,BUF,DET,1,15.678,15.415,8.906,15.399,25.444,0.422,"Highest implied total (29.0) against a mid-pack run defense last year. They rank 5th of 32 against the rush in week 1. Projected 15.6 carries, 0.7 of them at the goal line, a 59% carry share, 3.2 targets out of the backfield, 64% of the snaps. Last week he had 13 carries, a 62% carry share, 4 targets and 72% of the snaps. Range 9-25 around a median of 15, 42% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
9,11,Javonte Williams,DAL,WAS,1,15.588,14.834,9.027,15.209,25.665,0.414,"5th-highest implied total (27.0) against 5th-worst run defense by EPA last year. They rank 24th of 32 against the rush in week 1. Projected 13.9 carries, 1.2 of them at the goal line, a 60% carry share, 4.1 targets out of the backfield, 70% of the snaps. Last week he had 12 carries, a 67% carry share, 5 targets and 71% of the snaps. Range 9-26 around a median of 15, 41% shot at a top-12 week.",
10,19,Bucky Irving,TB,CLE,1,15.415,12.427,8.509,15.517,26.402,0.412,"24.5-point implied total against the 10th-best run defense by EPA last year. They rank 20th of 32 against the rush in week 1. Projected 12.7 carries, 0.7 of them at the goal line, a 38% carry share, 5.2 targets out of the backfield, 61% of the snaps. Last week he had 8 carries, a 40% carry share, 7 targets and 61% of the snaps. Range 9-26 around a median of 16, 41% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
11,9,Derrick Henry,BAL,NO,1,14.834,15.588,8.295,15.209,25.146,0.388,"4th-highest implied total (27.5) against the 6th-best run defense by EPA last year. They rank 6th of 32 against the rush in week 1. Projected 21.0 carries, 1.4 of them at the goal line, a 62% carry share, 54% of the snaps. Last week he had 24 carries, a 65% carry share, 1 target and 54% of the snaps. Range 8-25 around a median of 15, 39% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
12,5,De'Von Achane,MIA,SF,0,14.515,16.665,8.257,14.536,24.28,0.346,"3rd-lowest implied total (16.5) against 11th-worst run defense by EPA last year. They rank 15th of 32 against the rush in week 1. Projected 12.9 carries, a 58% carry share, 5.2 targets out of the backfield, 80% of the snaps. Last week he had 11 carries, a 61% carry share, 5 targets and 86% of the snaps. Range 8-24 around a median of 15, 35% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
13,6,Saquon Barkley,PHI,TEN,0,14.436,15.911,8.709,14.181,24.185,0.383,"23.2-point implied total against 11th-worst run defense by EPA last year. They rank 19th of 32 against the rush in week 1. Projected 16.2 carries, 0.7 of them at the goal line, a 59% carry share, 2.6 targets out of the backfield, 74% of the snaps. Last week he had 15 carries, a 60% carry share, 2 targets and 71% of the snaps. Range 9-24 around a median of 14, 38% shot at a top-12 week.",
14,17,Breece Hall,NYJ,GB,1,14.373,13.083,7.087,13.815,26.148,0.384,"20.0-point implied total against a mid-pack run defense last year. They rank 17th of 32 against the rush in week 1. Projected 18.6 carries, a 55% carry share, 2.5 targets out of the backfield, 61% of the snaps. Last week he had 22 carries, a 56% carry share, 2 targets and 58% of the snaps. Range 7-26 around a median of 14, 38% shot at a top-12 week.",
15,15,Kyren Williams,LA,NYG,1,13.617,13.617,6.585,13.095,24.875,0.322,"3rd-highest implied total (27.8) against the worst run defense in the league by EPA last year. They rank 16th of 32 against the rush in week 1. Projected 13.1 carries, 1.0 of them at the goal line, a 47% carry share, 3.0 targets out of the backfield, 66% of the snaps. Last week he had 11 carries, a 38% carry share, 3 targets and 64% of the snaps. Range 7-25 around a median of 13, 32% shot at a top-12 week.",
