rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,1,Trey McBride,ARI,SEA,1,10.659,10.659,5.906,9.767,19.419,0.541,"18.5-point implied total against the 6th-best pass defense by EPA last year. Projected 11.5 targets, a 29% target share, 0.8 red-zone look, 85% of the snaps. Last week he had 13 targets, a 35% target share and 80% of the snaps. Range 6-19 around a median of 10, 54% shot at a top-12 week.",
2,13,Mark Andrews,BAL,NO,1,9.065,6.682,2.831,8.224,18.255,0.454,"4th-highest implied total (27.5) against the 12th-best pass defense by EPA last year. Projected 5.1 targets, a 20% target share, 0.9 red-zone look, 66% of the snaps. Last week he had 6 targets, a 25% target share and 72% of the snaps. Range 3-18 around a median of 8, 45% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom. New HC.",
3,10,Travis Kelce,KC,IND,1,8.513,7.093,3.145,7.971,16.191,0.436,"5th-highest implied total (27.0) against a mid-pack pass defense last year. Projected 5.7 targets, a 19% target share, 0.6 red-zone look, 67% of the snaps. Last week he had 5 targets, a 20% target share and 71% of the snaps. Range 3-16 around a median of 8, 44% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,15,Dalton Schultz,HOU,CIN,1,8.228,6.578,3.575,7.828,15.85,0.406,"24.5-point implied total against 5th-worst pass defense by EPA last year. Projected 7.1 targets, a 19% target share, 68% of the snaps. Last week he had 8 targets, a 22% target share and 66% of the snaps. Range 4-16 around a median of 8, 41% shot at a top-12 week.",
5,5,Sam LaPorta,DET,BUF,0,8.146,8.146,3.632,8.123,14.884,0.391,"24.5-point implied total against the 7th-best pass defense by EPA last year. Projected 6.7 targets, a 16% target share, 84% of the snaps. Last week he had 8 targets, a 20% target share and 81% of the snaps. Range 4-15 around a median of 8, 39% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
6,8,Dallas Goedert,PHI,TEN,0,8.017,7.654,3.133,7.328,16.71,0.4,"23.2-point implied total against 4th-worst pass defense by EPA last year. Projected 5.2 targets, a 19% target share, 0.7 red-zone look, 89% of the snaps. Last week he had 5 targets, a 23% target share and 95% of the snaps. Range 3-17 around a median of 7, 40% shot at a top-12 week.",
7,14,Dalton Kincaid,BUF,DET,1,7.944,6.67,2.828,6.936,16.314,0.392,"Highest implied total (29.0) against a mid-pack pass defense last year. Projected 5.0 targets, a 16% target share, 56% of the snaps. Last week he had 6 targets, a 21% target share and 72% of the snaps. Range 3-16 around a median of 7, 39% shot at a top-12 week.",
8,22,Cade Otton,TB,CLE,1,7.654,5.8,3.146,7.058,16.21,0.338,"24.5-point implied total against a top-4 pass defense by EPA last year. Projected 5.2 targets, a 16% target share, 95% of the snaps. Last week he had 5 targets, a 18% target share and 98% of the snaps. Range 3-16 around a median of 7, 34% shot at a top-12 week.",
9,3,Tyler Warren,IND,KC,0,7.647,8.513,3.622,7.276,14.15,0.347,"20.5-point implied total against a mid-pack pass defense last year. Projected 5.8 targets, an 18% target share, 0.7 red-zone look, 83% of the snaps. Last week he had 5 targets, a 17% target share and 93% of the snaps. Range 4-14 around a median of 7, 35% shot at a top-12 week.",
10,16,George Kittle,SF,MIA,1,7.093,6.493,2.452,5.562,16.159,0.317,"Highest implied total (29.0) against 6th-worst pass defense by EPA last year. Projected 5.6 targets, a 14% target share, 0.6 red-zone look, 55% of the snaps. Last week he had 5 targets, a 15% target share and 46% of the snaps. Range 2-16 around a median of 6, 32% shot at a top-12 week.",
11,7,Tucker Kraft,GB,NYJ,0,6.813,7.944,2.613,6.088,14.129,0.294,"24.5-point implied total against the worst pass defense in the league by EPA last year. Projected 5.8 targets, a 13% target share, 65% of the snaps. Last week he had 6 targets, a 15% target share and 66% of the snaps. Range 3-14 around a median of 6, 29% shot at a top-12 week.",
12,11,Isaiah Likely,NYG,LA,0,6.7,6.813,3.022,6.035,13.638,0.276,"20.8-point implied total against the 10th-best pass defense by EPA last year. Projected 5.6 targets, a 19% target share, 53% of the snaps. Last week he had 8 targets, a 28% target share and 49% of the snaps. Range 3-14 around a median of 6, 28% shot at a top-12 week. New HC. New team.",
13,9,Juwan Johnson,NO,BAL,0,6.682,7.647,2.767,6.246,13.987,0.255,"19.0-point implied total against 12th-worst pass defense by EPA last year. Projected 6.5 targets, a 15% target share, 79% of the snaps. Last week he had 7 targets, a 14% target share and 84% of the snaps. Range 3-14 around a median of 6, 26% shot at a top-12 week.",
14,20,T.J. Hockenson,MIN,CHI,0,6.67,5.986,2.803,6.646,13.204,0.258,"21.5-point implied total against a mid-pack pass defense last year. Projected 4.7 targets, an 18% target share, 64% of the snaps. Last week he had 5 targets, a 22% target share and 66% of the snaps. Range 3-13 around a median of 7, 26% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
15,26,Evan Engram,DEN,JAX,1,6.578,5.568,1.897,5.67,14.753,0.292,"23.0-point implied total against a top-3 pass defense by EPA last year. Projected 4.9 targets, a 16% target share, 60% of the snaps. Last week he had 5 targets, a 18% target share and 63% of the snaps. Range 2-15 around a median of 6, 29% shot at a top-12 week.",
16,17,Michael Mayer,LV,LAC,0,6.493,6.413,3.411,6.134,12.465,0.225,"5th-lowest implied total (18.2) against the 9th-best pass defense by EPA last year. Projected 5.6 targets, an 18% target share, 71% of the snaps. Last week he had 7 targets, a 24% target share and 81% of the snaps. Range 3-12 around a median of 6, 22% shot at a top-12 week. New HC.",
17,6,Harold Fannin Jr.,CLE,TB,0,6.413,8.017,2.586,5.509,13.522,0.251,"1st-lowest implied total (16.0) against a mid-pack pass defense last year. Projected 4.8 targets, a 16% target share, 71% of the snaps. Last week he had 3 targets, a 14% target share and 82% of the snaps. Range 3-14 around a median of 6, 25% shot at a top-12 week. New HC.",
18,29,David Njoku,LAC,LV,1,6.261,5.265,1.844,5.812,13.461,0.26,"25.2-point implied total against 10th-worst pass defense by EPA last year. Projected 4.7 targets, a 15% target share, 59% of the snaps. Last week he had 5 targets, a 18% target share and 55% of the snaps. Range 2-13 around a median of 6, 26% shot at a top-12 week. New team.",
19,12,Jake Ferguson,DAL,WAS,1,6.004,6.7,1.956,5.088,13.344,0.249,"5th-highest implied total (27.0) against 3rd-worst pass defense by EPA last year. Projected 4.0 targets, an 11% target share, 0.9 red-zone look, 68% of the snaps. Last week he had 2 targets, a 7% target share and 76% of the snaps. Range 2-13 around a median of 5, 25% shot at a top-12 week.",
20,2,Colston Loveland,CHI,MIN,1,5.986,9.065,1.914,5.454,13.216,0.236,"5th-highest implied total (27.0) against a top-2 pass defense by EPA last year. Projected 3.6 targets, an 11% target share, 0.8 red-zone look, 74% of the snaps. Last week he had 2 targets, a 8% target share and 87% of the snaps. Range 2-13 around a median of 5, 24% shot at a top-12 week.",
21,30,Mike Gesicki,CIN,HOU,0,5.808,5.222,1.135,4.953,14.426,0.225,"22.0-point implied total against the best pass defense in the league by EPA last year. Projected 5.2 targets, a 15% target share, 37% of the snaps. Last week he had 7 targets, a 21% target share and 33% of the snaps. Range 1-14 around a median of 5, 22% shot at a top-12 week.",
22,31,Mason Taylor,NYJ,GB,1,5.8,5.101,2.228,5.234,12.37,0.209,"20.0-point implied total against 11th-worst pass defense by EPA last year. Projected 4.0 targets, a 13% target share, 73% of the snaps. Last week he had 3 targets, a 13% target share and 66% of the snaps. Range 2-12 around a median of 5, 21% shot at a top-12 week.",
