rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,3,Amon-Ra St. Brown,DET,BUF,0,14.151,14.061,7.581,13.512,26.044,0.406,"24.5-point implied total against the 7th-best pass defense by EPA last year. They rank 17th of 32 against the pass in week 1. Projected 12.1 targets, a 32% target share, 1.3 red-zone look, 80% of the snaps. Last week he had 14 targets, a 36% target share and 90% of the snaps. Range 8-26 around a median of 14, 41% shot at a top-12 week.",
2,4,Jaxon Smith-Njigba,SEA,ARI,0,14.11,12.375,7.184,14.449,24.454,0.431,"23.0-point implied total against 7th-worst pass defense by EPA last year. They rank 21st of 32 against the pass in week 1. Projected 10.3 targets, a 39% target share, 0.8 red-zone look, 81% of the snaps. Last week he had 11 targets, a 46% target share and 90% of the snaps. Range 7-24 around a median of 14, 43% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
3,2,Puka Nacua,LA,NYG,1,14.061,14.11,6.153,13.83,25.205,0.459,"3rd-highest implied total (27.8) against a mid-pack pass defense last year. They rank 15th of 32 against the pass in week 1. Projected 9.7 targets, a 30% target share, 0.6 red-zone look, 68% of the snaps. Last week he had 9 targets, a 33% target share and 70% of the snaps. Range 6-25 around a median of 14, 46% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,7,Justin Jefferson,MIN,CHI,0,12.375,11.199,6.114,11.557,23.76,0.295,"21.5-point implied total against a mid-pack pass defense last year. They rank 22nd of 32 against the pass in week 1. Projected 8.6 targets, a 33% target share, 0.7 red-zone look, 82% of the snaps. Last week he had 9 targets, a 39% target share and 92% of the snaps. Range 6-24 around a median of 12, 30% shot at a top-12 week.",
5,5,CeeDee Lamb,DAL,WAS,1,11.765,11.765,5.151,11.019,22.845,0.306,"5th-highest implied total (27.0) against 3rd-worst pass defense by EPA last year. They rank 18th of 32 against the pass in week 1. Projected 8.5 targets, a 23% target share, 0.6 red-zone look, 73% of the snaps. Last week he had 8 targets, a 27% target share and 81% of the snaps. Range 5-23 around a median of 11, 31% shot at a top-12 week.",
6,28,DJ Moore,BUF,DET,1,11.379,9.237,4.723,10.41,22.428,0.313,"Highest implied total (29.0) against a mid-pack pass defense last year. They rank 9th of 32 against the pass in week 1. Projected 6.5 targets, a 22% target share, 0.6 red-zone look, 78% of the snaps. Last week he had 8 targets, a 29% target share and 76% of the snaps. Range 5-22 around a median of 10, 31% shot at a top-12 week. New team.",
7,8,Nico Collins,HOU,CIN,1,11.199,11.008,5.112,10.637,20.796,0.252,"24.5-point implied total against 5th-worst pass defense by EPA last year. They rank 2nd of 32 against the pass in week 1. Projected 9.0 targets, a 24% target share, 0.8 red-zone look, 69% of the snaps. Last week he had 10 targets, a 27% target share and 72% of the snaps. Range 5-21 around a median of 11, 25% shot at a top-12 week.",
8,9,George Pickens,DAL,WAS,1,11.008,10.935,4.497,10.673,21.509,0.252,"5th-highest implied total (27.0) against 3rd-worst pass defense by EPA last year. They rank 18th of 32 against the pass in week 1. Projected 7.0 targets, a 21% target share, 0.9 red-zone look, 82% of the snaps. Last week he had 6 targets, a 20% target share and 84% of the snaps. Range 4-22 around a median of 11, 25% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
9,16,Tetairoa McMillan,CAR,ATL,0,10.935,10.316,5.023,10.598,20.781,0.243,"23.0-point implied total against a mid-pack pass defense last year. They rank 7th of 32 against the pass in week 1. Projected 7.6 targets, a 24% target share, 0.7 red-zone look, 84% of the snaps. Last week he had 8 targets, a 24% target share and 82% of the snaps. Range 5-21 around a median of 11, 24% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
10,21,Jameson Williams,DET,BUF,0,10.775,9.611,4.456,10.075,21.733,0.24,"24.5-point implied total against the 7th-best pass defense by EPA last year. They rank 17th of 32 against the pass in week 1. Projected 7.5 targets, a 20% target share, 81% of the snaps. Last week he had 9 targets, a 23% target share and 84% of the snaps. Range 4-22 around a median of 10, 24% shot at a top-12 week.",
