rank_data,rank_vibes,player,team,opponent,is_home,proj,proj_vibes,floor,median,ceiling,p_top12,note_data,note_vibes
1,4,Jaxon Smith-Njigba,SEA,ARI,0,18.068,15.14,10.099,18.044,30.343,0.478,"5th-highest implied total (27.2) against 7th-worst pass defense by EPA last year. 10.4 targets, a 33% target share, 1.0 red-zone look, 71% of the snaps. Range 10-30 around a median of 18, 48% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
2,3,Amon-Ra St. Brown,DET,BUF,0,17.855,17.046,9.31,17.563,30.458,0.467,"24.8-point implied total against the 7th-best pass defense by EPA last year. 10.4 targets, a 29% target share, 1.3 red-zone look, 71% of the snaps. Range 9-30 around a median of 18, 47% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
3,2,Puka Nacua,LA,NYG,1,17.046,17.855,8.234,17.327,29.691,0.454,"Highest implied total (28.5) against a mid-pack pass defense last year. 9.3 targets, a 27% target share, 0.6 red-zone look, 66% of the snaps. Range 8-30 around a median of 17, 45% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
4,7,Justin Jefferson,MIN,CHI,0,15.14,13.999,7.689,14.992,26.01,0.326,"21.0-point implied total against a mid-pack pass defense last year. 9.6 targets, a 28% target share, 0.7 red-zone look, 71% of the snaps. Range 8-26 around a median of 15, 33% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
5,5,CeeDee Lamb,DAL,WAS,1,14.492,14.492,6.501,14.39,26.849,0.337,"3rd-highest implied total (28.0) against 3rd-worst pass defense by EPA last year. 6.6 targets, an 18% target share, 0.7 red-zone look, 64% of the snaps. Range 7-27 around a median of 14, 34% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
6,6,Chris Olave,NO,BAL,0,14.347,14.347,7.827,13.433,24.855,0.311,"19.5-point implied total against 12th-worst pass defense by EPA last year. 9.6 targets, a 26% target share, 0.8 red-zone look, 66% of the snaps. Range 8-25 around a median of 13, 31% shot at a top-12 week.",
7,8,Nico Collins,HOU,CIN,1,13.999,13.426,7.592,13.859,24.224,0.263,"24.5-point implied total against 5th-worst pass defense by EPA last year. 7.4 targets, a 20% target share, 0.8 red-zone look, 67% of the snaps. Range 8-24 around a median of 14, 26% shot at a top-12 week.",
8,9,George Pickens,DAL,WAS,1,13.426,13.386,5.27,13.466,24.982,0.264,"3rd-highest implied total (28.0) against 3rd-worst pass defense by EPA last year. 7.6 targets, a 21% target share, 0.9 red-zone look, 80% of the snaps. Range 5-25 around a median of 13, 26% shot at a top-12 week. Safer than his projection reads: more of his weeks land near the top of that range than the bottom.",
9,23,Jameson Williams,DET,BUF,0,13.386,11.901,6.388,12.717,25.78,0.251,"24.8-point implied total against the 7th-best pass defense by EPA last year. 6.4 targets, an 18% target share, 77% of the snaps. Range 6-26 around a median of 13, 25% shot at a top-12 week.",
10,18,Tetairoa McMillan,CAR,ATL,0,13.165,12.471,6.943,12.589,22.99,0.238,"21.5-point implied total against a mid-pack pass defense last year. 8.1 targets, a 23% target share, 0.6 red-zone look, 86% of the snaps. Range 7-23 around a median of 13, 24% shot at a top-12 week.",
11,20,Malik Nabers,NYG,LA,0,13.085,12.348,6.697,12.417,24.457,0.246,"20.0-point implied total against the 10th-best pass defense by EPA last year. 4.0 targets, an 11% target share, 77% of the snaps. Range 7-24 around a median of 12, 25% shot at a top-12 week. New HC.",
12,30,DJ Moore,BUF,DET,1,12.919,10.96,5.036,11.217,24.724,0.295,"4th-highest implied total (27.8) against a mid-pack pass defense last year. 5.5 targets, a 16% target share, 0.6 red-zone look, 79% of the snaps. Range 5-25 around a median of 11, 30% shot at a top-12 week. New team.",
13,10,Drake London,ATL,CAR,1,12.888,13.165,5.999,12.434,23.814,0.235,"23.0-point implied total against 9th-worst pass defense by EPA last year. 7.0 targets, a 20% target share, 0.8 red-zone look, 89% of the snaps. Range 6-24 around a median of 12, 24% shot at a top-12 week.",
14,32,DK Metcalf,PIT,NE,0,12.561,10.839,6.511,11.58,22.866,0.214,"19.5-point implied total against the 11th-best pass defense by EPA last year. 6.5 targets, an 18% target share, 70% of the snaps. Range 7-23 around a median of 12, 21% shot at a top-12 week. New HC.",
15,22,Emeka Egbuka,TB,CLE,1,12.558,11.999,5.478,12.382,23.389,0.208,"24.5-point implied total against a top-4 pass defense by EPA last year. 7.4 targets, a 22% target share, 0.7 red-zone look, 67% of the snaps. Range 5-23 around a median of 12, 21% shot at a top-12 week.",
