position,rank,player,team,note,note_source
QB,1,Josh Allen,BUF,,
QB,2,Jalen Hurts,PHI,,
QB,3,Lamar Jackson,BAL,,
QB,4,Dak Prescott,DAL,,
QB,5,Baker Mayfield,TB,,
QB,6,Brock Purdy,SF,,
QB,7,Joe Burrow,CIN,,
QB,8,Drake Maye,NE,,
QB,9,Patrick Mahomes,KC,,
QB,10,Trevor Lawrence,JAX,,
QB,11,Matthew Stafford,LA,,
QB,12,Kirk Cousins,LV,,
QB,13,Jared Goff,DET,,
QB,14,Tyler Shough,NO,,
QB,15,Bo Nix,DEN,,
QB,16,C.J. Stroud,HOU,,
QB,17,Justin Herbert,LAC,,
QB,18,Bryce Young,CAR,,
QB,19,Geno Smith,NYJ,,
QB,20,Malik Willis,MIA,,
QB,21,Carson Wentz,MIN,,
QB,22,Daniel Jones,IND,,
QB,23,Jordan Love,GB,,
QB,24,Jameis Winston,NYG,,
QB,25,Cam Ward,TEN,,
QB,26,Jacoby Brissett,ARI,,
QB,27,Aaron Rodgers,PIT,,
QB,28,Deshaun Watson,CLE,,
QB,29,Marcus Mariota,WAS,,
QB,30,Drew Lock,SEA,,
QB,31,Cooper Rush,ATL,,
RB,1,Bijan Robinson,ATL,,
RB,2,Jahmyr Gibbs,DET,,
RB,3,Derrick Henry,BAL,,
RB,4,Christian McCaffrey,SF,,
RB,5,David Montgomery,HOU,,
RB,6,Kenneth Walker III,KC,,
RB,7,Jonathan Taylor,IND,,
RB,8,Ashton Jeanty,LV,,
RB,9,James Cook,BUF,,
RB,10,Breece Hall,NYJ,,
RB,11,Javonte Williams,DAL,,
RB,12,De'Von Achane,MIA,,
RB,13,Chuba Hubbard,CAR,,
RB,14,Kyren Williams,LA,,
RB,15,Chase Brown,CIN,,
RB,16,Saquon Barkley,PHI,,
RB,17,Omarion Hampton,LAC,,
RB,18,D'Andre Swift,CHI,,
RB,19,Bucky Irving,TB,,
RB,20,Cam Skattebo,NYG,,
RB,21,Rhamondre Stevenson,NE,,
RB,22,Jeremiyah Love,ARI,,
RB,23,Travis Etienne,NO,,
RB,24,Aaron Jones,MIN,,
RB,25,Jadarian Price,SEA,,
RB,26,Quinshon Judkins,CLE,,
RB,27,Jaylen Warren,PIT,,
RB,28,Bhayshul Tuten,JAX,,
RB,29,Jacory Croskey-Merritt,WAS,,
RB,30,Kyle Monangai,CHI,,
RB,31,Kenny Gainwell,TB,,
RB,32,J.K. Dobbins,DEN,,
RB,33,Tony Pollard,TEN,,
RB,34,Alvin Kamara,NO,,
RB,35,MarShawn Lloyd,GB,,
RB,36,Blake Corum,LA,,
RB,37,Tyler Allgeier,ARI,,
RB,38,Kaelon Black,SF,,
RB,39,Rachaad White,WAS,,
RB,40,TreVeyon Henderson,NE,,
RB,41,Tyjae Spears,TEN,,
RB,42,Woody Marks,HOU,,
RB,43,Chris Rodriguez Jr.,JAX,,
RB,44,George Holani,SEA,,
RB,45,Braelon Allen,NYJ,,
RB,46,Chris Brooks,GB,,
RB,47,Justice Hill,BAL,,
RB,48,Emmett Johnson,KC,,
RB,49,Brian Robinson,ATL,,
RB,50,Samaje Perine,CIN,,
RB,51,Jonathon Brooks,CAR,,
RB,52,Devin Singletary,NYG,,
RB,53,Tank Bigsby,PHI,,
RB,54,Jonah Coleman,DEN,,
RB,55,Kimani Vidal,LAC,,
RB,56,Emanuel Wilson,SEA,,
RB,57,Bam Knight,ARI,,
WR,1,Ja'Marr Chase,CIN,,
WR,2,Amon-Ra St. Brown,DET,,
WR,3,CeeDee Lamb,DAL,,
WR,4,Jaxon Smith-Njigba,SEA,,
WR,5,Chris Olave,NO,,
WR,6,Justin Jefferson,MIN,,
