season,team,head_coach,off_playcaller,off_playcaller_role,def_playcaller,def_playcaller_role,confidence,source,note
2015,ARI,Bruce Arians,,,,,,,
2015,ATL,Dan Quinn,,,,,,,
2015,BAL,John Harbaugh,,,,,,,
2015,BUF,Rex Ryan,,,,,,,
2015,CAR,Ron Rivera,,,,,,,
2015,CHI,John Fox,,,,,,,
2015,CIN,Marvin Lewis,,,,,,,
2015,CLE,Mike Pettine,,,,,,,
2015,DAL,Jason Garrett,,,,,,,
2015,DEN,Gary Kubiak,,,,,,,
2015,DET,Jim Caldwell,,,,,,,
2015,GB,Mike McCarthy,,,,,,,
2015,HOU,Bill O'Brien,,,,,,,
2015,IND,Chuck Pagano,,,,,,,
2015,JAX,Gus Bradley,,,,,,,
2015,KC,Andy Reid,,,,,,,
2015,LA,Jeff Fisher,,,,,,,
2015,LAC,Mike McCoy,,,,,,,
2015,LV,Jack Del Rio,,,,,,,
2015,MIA,Joe Philbin,,,,,,,
2015,MIN,Mike Zimmer,,,,,,,
2015,NE,Bill Belichick,,,,,,,
2015,NO,Sean Payton,,,,,,,
2015,NYG,Tom Coughlin,,,,,,,
2015,NYJ,Todd Bowles,,,,,,,
2015,PHI,Chip Kelly,,,,,,,
2015,PIT,Mike Tomlin,,,,,,,
2015,SEA,Pete Carroll,,,,,,,
2015,SF,Jim Tomsula,,,,,,,
2015,TB,Lovie Smith,,,,,,,
2015,TEN,Ken Whisenhunt,,,,,,,
2015,WAS,Jay Gruden,,,,,,,
2016,ARI,Bruce Arians,,,,,,,
2016,ATL,Dan Quinn,,,,,,,
2016,BAL,John Harbaugh,,,,,,,
2016,BUF,Rex Ryan,,,,,,,
2016,CAR,Ron Rivera,,,,,,,
2016,CHI,John Fox,,,,,,,
2016,CIN,Marvin Lewis,,,,,,,
2016,CLE,Hue Jackson,,,,,,,
2016,DAL,Jason Garrett,,,,,,,
2016,DEN,Gary Kubiak,,,,,,,
2016,DET,Jim Caldwell,,,,,,,
2016,GB,Mike McCarthy,,,,,,,
2016,HOU,Bill O'Brien,,,,,,,
2016,IND,Chuck Pagano,,,,,,,
2016,JAX,Gus Bradley,,,,,,,
2016,KC,Andy Reid,,,,,,,
2016,LA,Jeff Fisher,,,,,,,
2016,LAC,Mike McCoy,,,,,,,
2016,LV,Jack Del Rio,,,,,,,
2016,MIA,Adam Gase,,,,,,,
2016,MIN,Mike Zimmer,,,,,,,
2016,NE,Bill Belichick,,,,,,,
2016,NO,Sean Payton,,,,,,,
2016,NYG,Ben McAdoo,,,,,,,
2016,NYJ,Todd Bowles,,,,,,,
2016,PHI,Doug Pederson,,,,,,,
2016,PIT,Mike Tomlin,,,,,,,
2016,SEA,Pete Carroll,,,,,,,
2016,SF,Chip Kelly,,,,,,,
2016,TB,Dirk Koetter,,,,,,,
2016,TEN,Mike Mularkey,,,,,,,
2016,WAS,Jay Gruden,,,,,,,
2017,ARI,Bruce Arians,,,,,,,
2017,ATL,Dan Quinn,,,,,,,
2017,BAL,John Harbaugh,,,,,,,
2017,BUF,Sean McDermott,,,,,,,
2017,CAR,Ron Rivera,,,,,,,
2017,CHI,John Fox,,,,,,,
2017,CIN,Marvin Lewis,,,,,,,
2017,CLE,Hue Jackson,,,,,,,
2017,DAL,Jason Garrett,,,,,,,
2017,DEN,Vance Joseph,,,,,,,
2017,DET,Jim Caldwell,,,,,,,
2017,GB,Mike McCarthy,,,,,,,
2017,HOU,Bill O'Brien,,,,,,,
2017,IND,Chuck Pagano,,,,,,,
2017,JAX,Doug Marrone,,,,,,,
2017,KC,Andy Reid,,,,,,,
2017,LA,Sean McVay,,,,,,,
2017,LAC,Anthony Lynn,,,,,,,
2017,LV,Jack Del Rio,,,,,,,
2017,MIA,Adam Gase,,,,,,,
2017,MIN,Mike Zimmer,,,,,,,
2017,NE,Bill Belichick,,,,,,,
2017,NO,Sean Payton,,,,,,,
2017,NYG,Ben McAdoo,,,,,,,
2017,NYJ,Todd Bowles,,,,,,,
2017,PHI,Doug Pederson,,,,,,,
2017,PIT,Mike Tomlin,,,,,,,
2017,SEA,Pete Carroll,,,,,,,
2017,SF,Kyle Shanahan,,,,,,,
2017,TB,Dirk Koetter,,,,,,,
2017,TEN,Mike Mularkey,,,,,,,
2017,WAS,Jay Gruden,,,,,,,
2018,ARI,Steve Wilks,,,,,,,
2018,ATL,Dan Quinn,,,,,,,
2018,BAL,John Harbaugh,,,,,,,
2018,BUF,Sean McDermott,,,,,,,
2018,CAR,Ron Rivera,,,,,,,
2018,CHI,Matt Nagy,,,,,,,
2018,CIN,Marvin Lewis,,,,,,,
2018,CLE,Hue Jackson,,,,,,,
2018,DAL,Jason Garrett,,,,,,,
2018,DEN,Vance Joseph,,,,,,,
2018,DET,Matt Patricia,,,,,,,
2018,GB,Mike McCarthy,,,,,,,
2018,HOU,Bill O'Brien,,,,,,,
2018,IND,Frank Reich,,,,,,,
2018,JAX,Doug Marrone,,,,,,,
2018,KC,Andy Reid,,,,,,,
2018,LA,Sean McVay,,,,,,,
2018,LAC,Anthony Lynn,,,,,,,
2018,LV,Jon Gruden,,,,,,,
2018,MIA,Adam Gase,,,,,,,
2018,MIN,Mike Zimmer,,,,,,,
2018,NE,Bill Belichick,,,,,,,
2018,NO,Sean Payton,,,,,,,
2018,NYG,Pat Shurmur,,,,,,,
2018,NYJ,Todd Bowles,,,,,,,
2018,PHI,Doug Pederson,,,,,,,
2018,PIT,Mike Tomlin,,,,,,,
2018,SEA,Pete Carroll,,,,,,,
2018,SF,Kyle Shanahan,,,,,,,
2018,TB,Dirk Koetter,,,,,,,
2018,TEN,Mike Vrabel,,,,,,,
2018,WAS,Jay Gruden,,,,,,,
2019,ARI,Kliff Kingsbury,,,,,,,
2019,ATL,Dan Quinn,,,,,,,
2019,BAL,John Harbaugh,,,,,,,
2019,BUF,Sean McDermott,,,,,,,
2019,CAR,Ron Rivera,,,,,,,
2019,CHI,Matt Nagy,,,,,,,
2019,CIN,Zac Taylor,,,,,,,
2019,CLE,Freddie Kitchens,,,,,,,
2019,DAL,Jason Garrett,,,,,,,
2019,DEN,Vic Fangio,,,,,,,
2019,DET,Matt Patricia,,,,,,,
2019,GB,Matt LaFleur,,,,,,,
2019,HOU,Bill O'Brien,,,,,,,
2019,IND,Frank Reich,,,,,,,
2019,JAX,Doug Marrone,,,,,,,
2019,KC,Andy Reid,,,,,,,
2019,LA,Sean McVay,,,,,,,
2019,LAC,Anthony Lynn,,,,,,,
2019,LV,Jon Gruden,,,,,,,
2019,MIA,Brian Flores,,,,,,,
2019,MIN,Mike Zimmer,,,,,,,
2019,NE,Bill Belichick,,,,,,,
2019,NO,Sean Payton,,,,,,,
2019,NYG,Pat Shurmur,,,,,,,
2019,NYJ,Adam Gase,,,,,,,
