rank_data,player_name,team,opponent,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Justin Herbert,LAC,ARI,23.782,17.839,24.444,32.972,0.62,8.0,1.0,0.0,4.221,28.75,1.0,1.0,0.0,0.0,ridge,7.0
2,Jalen Hurts,PHI,WAS,23.325,15.477,21.88,37.539,0.513,5.0,1.0,0.0,4.986,24.5,1.0,1.0,0.0,0.0,ridge,3.0
3,Matthew Stafford,LA,SF,21.797,14.349,21.872,32.292,0.501,16.0,1.0,0.0,2.583,26.0,1.0,1.0,0.0,0.0,ridge,13.0
4,Jared Goff,DET,NO,21.452,15.114,21.465,31.165,0.448,15.0,1.0,0.0,2.81,28.25,1.0,1.0,0.0,0.0,ridge,11.0
5,Caleb Williams,CHI,CAR,21.448,13.998,21.144,33.319,0.436,7.0,1.0,0.019,3.827,24.75,1.0,1.0,0.0,0.0,ridge,2.0
6,Josh Allen,BUF,HOU,21.051,13.289,20.103,33.875,0.412,1.0,1.0,0.0,4.691,21.5,1.0,1.0,0.0,0.0,ridge,-5.0
7,Lamar Jackson,BAL,IND,20.863,11.483,21.785,32.512,0.456,2.0,1.0,0.0,3.571,25.5,0.0,0.0,0.0,0.0,ridge,-5.0
8,Dak Prescott,DAL,NYG,20.814,12.442,20.527,33.501,0.428,10.0,1.0,0.0,3.199,25.75,1.0,1.0,0.0,0.0,ridge,2.0
9,Baker Mayfield,TB,CIN,20.467,13.155,19.335,32.918,0.399,19.0,1.0,0.0,3.113,23.5,1.0,1.0,0.0,0.0,ridge,10.0
10,Joe Burrow,CIN,TB,20.449,14.482,22.148,29.345,0.446,4.0,1.0,0.0,2.61,27.0,1.0,1.0,0.0,0.0,ridge,-6.0
11,Trevor Lawrence,JAX,CLE,20.251,14.151,20.147,31.807,0.338,9.0,1.0,0.0,4.048,24.5,1.0,1.0,0.0,0.0,ridge,-2.0
12,Bo Nix,DEN,KC,20.102,12.043,19.729,31.325,0.406,12.0,1.0,0.005,3.919,20.25,1.0,1.0,0.0,0.0,ridge,0.0
13,Daniel Jones,IND,BAL,19.94,12.214,19.402,32.243,0.39,24.0,1.0,0.0,2.668,22.0,1.0,1.0,0.0,0.0,ridge,11.0
14,Jaxson Dart,NYG,DAL,19.914,13.642,19.23,32.603,0.379,13.0,1.0,0.0,4.004,22.75,0.0,0.0,0.0,0.0,ridge,-1.0
15,Drake Maye,NE,SEA,19.381,12.246,19.689,31.352,0.362,3.0,1.0,0.006,4.27,20.5,1.0,1.0,0.0,0.0,ridge,-12.0
16,Patrick Mahomes,KC,DEN,19.378,12.328,19.78,30.709,0.384,14.0,1.0,0.006,3.447,23.25,1.0,1.0,0.0,0.0,ridge,-2.0
17,Kyler Murray,MIN,GB,19.316,9.575,20.319,30.186,0.444,17.0,1.0,0.0,2.665,24.0,1.0,1.0,1.0,0.0,ridge,0.0
18,C.J. Stroud,HOU,BUF,18.792,11.638,17.959,32.123,0.31,23.0,1.0,0.0,2.896,23.0,1.0,1.0,0.0,0.0,ridge,5.0
19,Sam Darnold,SEA,NE,18.702,11.272,18.564,30.179,0.325,22.0,1.0,0.0,2.731,24.0,1.0,1.0,0.0,0.0,ridge,3.0
20,Bryce Young,CAR,CHI,18.507,10.527,18.266,31.548,0.36,26.0,1.0,0.0,3.046,21.75,1.0,1.0,0.0,0.0,ridge,6.0
21,Jordan Love,GB,MIN,18.015,9.791,15.592,32.845,0.317,18.0,1.0,0.0,2.829,22.5,1.0,1.0,0.0,0.0,ridge,-3.0
22,Jayden Daniels,WAS,PHI,17.693,10.111,16.055,28.599,0.304,6.0,1.0,0.0,2.991,20.0,1.0,1.0,0.0,0.0,ridge,-16.0
23,Tyler Shough,NO,DET,17.467,9.986,16.876,29.41,0.302,20.0,1.0,0.0,2.816,21.25,1.0,1.0,0.0,0.0,ridge,-3.0
24,Aaron Rodgers,PIT,ATL,17.175,10.749,17.076,29.707,0.23,28.0,1.0,0.005,2.697,23.0,0.0,0.0,0.0,0.0,ridge,4.0
25,Jacoby Brissett,ARI,LAC,16.489,8.227,18.43,29.045,0.236,27.0,1.0,0.0,2.483,18.75,1.0,1.0,0.0,0.0,ridge,2.0
26,Cam Ward,TEN,NYJ,16.357,8.585,14.683,31.373,0.272,25.0,1.0,0.0,3.031,20.5,0.0,0.0,0.0,0.0,ridge,-1.0
27,Brock Purdy,SF,LA,16.082,9.363,15.653,29.628,0.295,11.0,1.0,0.0,2.585,22.5,1.0,1.0,0.0,0.0,ridge,-16.0
28,Kirk Cousins,LV,MIA,15.032,6.792,15.31,27.133,0.205,33.0,1.0,0.0,2.68,22.0,0.0,0.0,1.0,0.0,ridge,5.0
29,Geno Smith,NYJ,TEN,14.614,7.718,13.867,27.838,0.189,29.0,1.0,0.0,3.187,19.0,1.0,1.0,1.0,0.0,ridge,0.0
