rank_data,player_name,team,opponent,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Bijan Robinson,ATL,PIT,15.982,8.426,16.943,27.39,0.532,2.0,1.0,6.659,15.565,19.5,1.0,1.0,0.0,0.0,ridge,1.0
2,Jonathan Taylor,IND,BAL,15.789,8.527,17.377,24.929,0.54,4.0,1.0,3.736,17.48,22.0,1.0,1.0,0.0,0.0,ridge,2.0
3,Jahmyr Gibbs,DET,NO,15.759,8.466,16.212,26.089,0.489,1.0,1.0,5.417,15.547,28.25,1.0,1.0,0.0,0.0,ridge,-2.0
4,De'Von Achane,MIA,LV,15.639,8.134,15.988,26.895,0.483,7.0,1.0,5.875,14.383,18.5,0.0,0.0,0.0,0.0,ridge,3.0
5,Christian McCaffrey,SF,LA,14.631,7.137,16.604,25.251,0.498,3.0,1.0,8.102,16.66,22.5,1.0,1.0,0.0,0.0,ridge,-2.0
6,Ashton Jeanty,LV,MIA,13.971,8.217,13.535,23.906,0.384,11.0,1.0,4.711,19.147,22.0,0.0,0.0,0.0,0.0,ridge,5.0
7,Saquon Barkley,PHI,WAS,13.707,7.72,14.562,22.106,0.387,8.0,1.0,3.503,15.727,24.5,1.0,1.0,0.0,0.0,ridge,1.0
8,Derrick Henry,BAL,IND,13.666,7.878,13.976,24.381,0.39,12.0,1.0,2.125,17.079,25.5,0.0,0.0,0.0,0.0,ridge,4.0
9,James Cook,BUF,HOU,13.258,7.571,14.776,21.152,0.399,5.0,1.0,3.028,14.968,21.5,1.0,1.0,0.0,0.0,ridge,-4.0
10,Kyren Williams,LA,SF,13.142,7.061,15.144,21.598,0.384,15.0,1.0,3.124,14.445,26.0,1.0,1.0,0.0,0.0,ridge,5.0
11,Chase Brown,CIN,TB,13.068,7.413,14.257,23.071,0.307,6.0,1.0,5.019,15.497,27.0,1.0,1.0,0.0,0.0,ridge,-5.0
12,Javonte Williams,DAL,NYG,13.007,6.882,13.498,22.262,0.31,16.0,1.0,3.041,14.862,25.75,1.0,1.0,0.0,0.0,ridge,4.0
13,D'Andre Swift,CHI,CAR,12.883,6.898,13.451,21.289,0.368,18.0,1.0,3.175,12.206,24.75,1.0,1.0,0.0,0.0,ridge,5.0
14,Travis Etienne,NO,DET,12.537,6.367,13.664,20.074,0.318,17.0,1.0,3.741,13.375,21.25,1.0,1.0,1.0,0.0,ridge,3.0
15,Breece Hall,NYJ,TEN,11.852,7.122,11.648,20.174,0.285,13.0,1.0,3.303,14.647,19.0,1.0,1.0,0.0,0.0,ridge,-2.0
16,Omarion Hampton,LAC,ARI,11.766,5.939,11.452,21.6,0.244,9.0,1.0,2.524,7.452,28.75,1.0,1.0,0.0,0.0,ridge,-7.0
17,Tony Pollard,TEN,NYJ,10.798,5.786,11.622,17.633,0.197,28.0,1.0,2.738,17.178,20.5,0.0,0.0,0.0,0.0,ridge,11.0
18,Rhamondre Stevenson,NE,SEA,10.575,5.216,12.128,17.309,0.154,26.0,1.0,2.959,6.494,20.5,1.0,1.0,0.0,0.0,ridge,8.0
19,Kenneth Walker III,KC,DEN,10.385,4.971,9.925,19.87,0.176,10.0,1.0,2.973,11.141,23.25,1.0,1.0,1.0,0.0,ridge,-9.0
20,Quinshon Judkins,CLE,JAX,10.301,5.633,9.725,18.883,0.155,22.0,1.0,2.684,13.817,16.0,0.0,0.0,0.0,0.0,ridge,2.0
21,Bucky Irving,TB,CIN,10.29,4.923,9.199,19.357,0.175,19.0,1.0,2.555,9.753,23.5,1.0,1.0,0.0,0.0,ridge,-2.0
22,Cam Skattebo,NYG,DAL,9.974,4.55,10.796,17.373,0.128,20.0,1.0,2.501,5.623,22.75,0.0,0.0,0.0,0.0,ridge,-2.0
23,David Montgomery,HOU,BUF,9.924,4.465,10.903,16.978,0.123,21.0,1.0,2.323,9.451,23.0,1.0,1.0,1.0,0.0,ridge,-2.0
24,Jaylen Warren,PIT,ATL,9.821,5.257,9.432,16.785,0.138,27.0,1.0,2.952,13.917,23.0,0.0,0.0,0.0,0.0,ridge,3.0
25,Aaron Jones,MIN,GB,9.47,3.34,9.142,18.403,0.199,40.0,1.0,2.979,8.273,24.0,1.0,1.0,0.0,0.0,ridge,15.0
26,TreVeyon Henderson,NE,SEA,9.393,5.781,9.023,16.068,0.092,25.0,2.0,3.243,8.822,20.5,1.0,1.0,0.0,0.0,ridge,-1.0
27,Chuba Hubbard,CAR,CHI,9.16,2.45,8.655,18.778,0.169,33.0,1.0,2.89,7.643,21.75,1.0,1.0,0.0,0.0,ridge,6.0
28,Rico Dowdle,PIT,ATL,8.83,5.433,7.39,15.864,0.074,29.0,2.0,3.432,13.755,23.0,0.0,0.0,1.0,0.0,ridge,1.0
29,Jacory Croskey-Merritt,WAS,PHI,8.388,2.756,7.52,17.688,0.13,39.0,1.0,2.079,9.117,20.0,1.0,1.0,0.0,0.0,ridge,10.0
30,Alvin Kamara,NO,DET,8.335,2.46,10.208,15.099,0.066,52.0,2.0,2.747,7.706,21.25,1.0,1.0,0.0,0.0,ridge,22.0
31,Kenny Gainwell,TB,CIN,8.326,4.269,8.274,16.114,0.097,32.0,2.0,5.505,7.585,23.5,1.0,1.0,1.0,0.0,ridge,1.0
32,J.K. Dobbins,DEN,KC,8.146,3.2,7.655,17.324,0.124,34.0,1.0,2.074,8.462,20.25,1.0,1.0,0.0,0.0,ridge,2.0
33,RJ Harvey,DEN,KC,8.13,4.375,7.661,13.941,0.01,31.0,2.0,3.683,8.095,20.25,1.0,1.0,0.0,0.0,ridge,-2.0
34,Rachaad White,WAS,PHI,8.029,3.04,6.728,17.306,0.132,37.0,2.0,2.971,7.155,20.0,1.0,1.0,1.0,0.0,ridge,3.0
35,Jeremiyah Love,ARI,LAC,8.017,0.0,7.08,19.451,0.186,14.0,1.0,0.0,0.0,18.75,1.0,1.0,0.0,1.0,ridge,-21.0
36,Woody Marks,HOU,BUF,7.619,3.347,7.586,14.85,0.062,42.0,2.0,2.597,10.832,23.0,1.0,1.0,0.0,0.0,ridge,6.0
37,Kyle Monangai,CHI,CAR,7.35,3.489,7.214,14.295,0.046,41.0,2.0,2.333,9.333,24.75,1.0,1.0,0.0,0.0,ridge,4.0
38,Tyrone Tracy Jr.,NYG,DAL,7.278,2.841,6.032,15.215,0.084,54.0,2.0,3.321,9.329,22.75,0.0,0.0,0.0,0.0,ridge,16.0
39,Jadarian Price,SEA,NE,7.219,0.0,4.356,19.745,0.164,24.0,1.0,0.0,0.0,24.0,1.0,1.0,0.0,1.0,ridge,-15.0
40,Tyjae Spears,TEN,NYJ,6.798,2.297,5.678,14.469,0.052,44.0,2.0,3.188,5.58,20.5,0.0,0.0,0.0,0.0,ridge,4.0
41,Jordan Mason,MIN,GB,6.786,3.164,3.651,17.554,0.115,38.0,2.0,1.981,9.875,24.0,1.0,1.0,0.0,0.0,ridge,-3.0
42,Justice Hill,BAL,IND,6.701,2.292,5.014,16.341,0.102,65.0,2.0,2.379,3.541,25.5,0.0,0.0,0.0,0.0,ridge,23.0
43,Blake Corum,LA,SF,6.428,3.092,4.67,16.408,0.098,36.0,2.0,1.983,8.225,26.0,1.0,1.0,0.0,0.0,ridge,-7.0
44,Bhayshul Tuten,JAX,CLE,6.358,2.396,5.761,13.784,0.07,23.0,1.0,2.01,5.067,24.5,1.0,1.0,0.0,0.0,ridge,-21.0
45,Josh Jacobs,GB,MIN,5.994,0.0,3.372,14.597,0.08,47.0,4.0,3.231,12.439,22.5,1.0,1.0,0.0,0.0,ridge,2.0
46,Jonathon Brooks,CAR,CHI,5.925,0.0,4.054,17.903,0.141,30.0,2.0,0.0,0.0,21.75,1.0,1.0,0.0,0.0,ridge,-16.0
47,Dylan Sampson,CLE,JAX,5.773,1.682,5.717,13.771,0.056,46.0,2.0,2.88,4.445,16.0,0.0,0.0,0.0,0.0,ridge,-1.0
48,Kimani Vidal,LAC,ARI,5.456,0.0,5.177,12.848,0.03,60.0,3.0,2.068,9.176,28.75,1.0,1.0,0.0,0.0,ridge,12.0
49,Tyler Allgeier,ARI,LAC,5.346,1.608,3.587,12.445,0.003,43.0,2.0,2.293,6.714,18.75,1.0,1.0,1.0,0.0,ridge,-6.0
50,MarShawn Lloyd,GB,MIN,5.136,0.0,3.239,15.25,0.088,35.0,1.0,0.0,0.0,22.5,1.0,1.0,0.0,0.0,ridge,-15.0
51,Robbie Ouzts,SEA,NE,5.132,0.0,3.942,15.803,0.092,,2.0,2.921,10.83,24.0,1.0,1.0,0.0,0.0,ridge,
52,Max Bredeson,MIN,GB,4.946,0.0,2.622,16.398,0.102,,1.0,0.0,0.0,24.0,1.0,1.0,0.0,1.0,ridge,
53,Tank Bigsby,PHI,WAS,4.862,0.0,2.916,16.177,0.098,53.0,2.0,2.337,3.666,24.5,1.0,1.0,0.0,0.0,ridge,0.0
54,Jaylen Wright,MIA,LV,4.527,0.0,2.643,14.657,0.048,67.0,2.0,2.058,4.738,18.5,0.0,0.0,0.0,0.0,ridge,13.0
55,Samaje Perine,CIN,TB,4.486,2.419,3.707,11.857,0.031,77.0,2.0,2.006,5.956,27.0,1.0,1.0,0.0,0.0,ridge,22.0
56,Kaelon Black,SF,LA,4.189,0.0,3.305,12.055,0.03,64.0,2.0,0.0,0.0,22.5,1.0,1.0,0.0,1.0,ridge,8.0
57,Ray Davis,BUF,HOU,4.168,0.0,3.342,11.416,0.015,58.0,2.0,2.061,3.541,21.5,1.0,1.0,0.0,0.0,ridge,1.0
58,Brian Robinson,ATL,PIT,4.161,0.0,3.53,9.971,0.003,57.0,2.0,2.01,5.304,19.5,1.0,1.0,1.0,0.0,ridge,-1.0
59,Chris Rodriguez Jr.,JAX,CLE,4.158,0.0,3.503,11.368,0.02,45.0,2.0,2.457,6.559,24.5,1.0,1.0,1.0,0.0,ridge,-14.0
60,Bam Knight,ARI,LAC,4.086,0.0,2.119,11.187,0.003,101.0,3.0,2.492,5.21,18.75,1.0,1.0,0.0,0.0,ridge,41.0
