rank_data,player_name,team,opponent,proj,floor_q20,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,De'Von Achane,MIA,LV,21.142,9.508,26.753,0.534,7.0,1.0,5.875,14.383,18.5,0.0,0.0,0.0,0.0,gbm,6.0
2,Ashton Jeanty,LV,MIA,19.973,7.622,28.366,0.523,11.0,1.0,4.711,19.147,22.0,0.0,0.0,0.0,0.0,gbm,9.0
3,Christian McCaffrey,SF,LA,19.859,8.151,26.459,0.55,3.0,1.0,8.102,16.66,22.5,1.0,1.0,0.0,0.0,gbm,0.0
4,Bijan Robinson,ATL,PIT,19.82,9.563,28.324,0.6,2.0,1.0,6.659,15.565,19.5,1.0,1.0,0.0,0.0,gbm,-2.0
5,Jahmyr Gibbs,DET,NO,19.635,9.441,24.68,0.503,1.0,1.0,5.417,15.547,28.25,1.0,1.0,0.0,0.0,gbm,-4.0
6,Jonathan Taylor,IND,BAL,17.896,10.354,24.36,0.533,4.0,1.0,3.736,17.48,22.0,1.0,1.0,0.0,0.0,gbm,-2.0
7,Saquon Barkley,PHI,WAS,16.379,6.974,21.935,0.453,8.0,1.0,3.503,15.727,24.5,1.0,1.0,0.0,0.0,gbm,1.0
8,James Cook,BUF,HOU,16.206,8.083,20.847,0.384,5.0,1.0,3.028,14.968,21.5,1.0,1.0,0.0,0.0,gbm,-3.0
9,Bucky Irving,TB,CIN,15.571,7.557,20.838,0.341,19.0,1.0,2.555,9.753,23.5,1.0,1.0,0.0,0.0,gbm,10.0
10,Javonte Williams,DAL,NYG,15.404,8.116,24.934,0.382,16.0,1.0,3.041,14.862,25.75,1.0,1.0,0.0,0.0,gbm,6.0
11,Chase Brown,CIN,TB,15.055,7.733,22.716,0.438,6.0,1.0,5.019,15.497,27.0,1.0,1.0,0.0,0.0,gbm,-5.0
12,Kyren Williams,LA,SF,14.988,7.781,23.006,0.394,15.0,1.0,3.124,14.445,26.0,1.0,1.0,0.0,0.0,gbm,3.0
13,Travis Etienne,NO,DET,14.863,6.583,21.015,0.322,17.0,1.0,3.741,13.375,21.25,1.0,1.0,1.0,0.0,gbm,4.0
14,Derrick Henry,BAL,IND,14.34,7.894,24.141,0.394,12.0,1.0,2.125,17.079,25.5,0.0,0.0,0.0,0.0,gbm,-2.0
15,Breece Hall,NYJ,TEN,13.823,7.249,21.788,0.334,13.0,1.0,3.303,14.647,19.0,1.0,1.0,0.0,0.0,gbm,-2.0
16,D'Andre Swift,CHI,CAR,13.314,8.468,20.392,0.298,18.0,1.0,3.175,12.206,24.75,1.0,1.0,0.0,0.0,gbm,2.0
17,Omarion Hampton,LAC,ARI,12.623,6.744,22.259,0.351,9.0,1.0,2.524,7.452,28.75,1.0,1.0,0.0,0.0,gbm,-8.0
18,Cam Skattebo,NYG,DAL,12.561,5.804,19.833,0.316,20.0,1.0,2.501,5.623,22.75,0.0,0.0,0.0,0.0,gbm,2.0
19,Tony Pollard,TEN,NYJ,12.348,7.458,18.494,0.265,28.0,1.0,2.738,17.178,20.5,0.0,0.0,0.0,0.0,gbm,9.0
20,Kenneth Walker III,KC,DEN,12.193,6.698,19.265,0.174,10.0,1.0,2.973,11.141,23.25,1.0,1.0,1.0,0.0,gbm,-10.0
21,Quinshon Judkins,CLE,JAX,11.833,6.681,20.666,0.173,22.0,1.0,2.684,13.817,16.0,0.0,0.0,0.0,0.0,gbm,1.0
22,Alvin Kamara,NO,DET,11.43,3.415,15.682,0.045,52.0,2.0,2.747,7.706,21.25,1.0,1.0,0.0,0.0,gbm,30.0
23,Jaylen Warren,PIT,ATL,11.355,6.138,18.217,0.232,27.0,1.0,2.952,13.917,23.0,0.0,0.0,0.0,0.0,gbm,4.0
24,Aaron Jones,MIN,GB,11.233,4.288,16.87,0.158,40.0,1.0,2.979,8.273,24.0,1.0,1.0,0.0,0.0,gbm,16.0
25,Jeremiyah Love,ARI,LAC,11.197,0.0,20.489,0.211,14.0,1.0,0.0,0.0,18.75,1.0,1.0,0.0,1.0,gbm,-11.0
26,Chuba Hubbard,CAR,CHI,11.114,3.871,17.916,0.222,33.0,1.0,2.89,7.643,21.75,1.0,1.0,0.0,0.0,gbm,7.0
27,J.K. Dobbins,DEN,KC,10.757,4.822,20.359,0.152,34.0,1.0,2.074,8.462,20.25,1.0,1.0,0.0,0.0,gbm,7.0
28,Kenny Gainwell,TB,CIN,10.667,4.651,18.389,0.187,32.0,2.0,5.505,7.585,23.5,1.0,1.0,1.0,0.0,gbm,4.0
29,Rhamondre Stevenson,NE,SEA,10.658,5.991,16.474,0.096,26.0,1.0,2.959,6.494,20.5,1.0,1.0,0.0,0.0,gbm,-3.0
30,David Montgomery,HOU,BUF,10.396,5.711,16.984,0.102,21.0,1.0,2.323,9.451,23.0,1.0,1.0,1.0,0.0,gbm,-9.0
31,TreVeyon Henderson,NE,SEA,9.06,5.665,18.593,0.141,25.0,2.0,3.243,8.822,20.5,1.0,1.0,0.0,0.0,gbm,-6.0
32,Jacory Croskey-Merritt,WAS,PHI,8.635,2.583,15.862,0.078,39.0,1.0,2.079,9.117,20.0,1.0,1.0,0.0,0.0,gbm,7.0
33,RJ Harvey,DEN,KC,8.208,4.774,17.302,0.139,31.0,2.0,3.683,8.095,20.25,1.0,1.0,0.0,0.0,gbm,-2.0
34,Tyrone Tracy Jr.,NYG,DAL,7.955,3.277,16.187,0.072,54.0,2.0,3.321,9.329,22.75,0.0,0.0,0.0,0.0,gbm,20.0
35,Josh Jacobs,GB,MIN,7.917,0.0,17.06,0.108,47.0,4.0,3.231,12.439,22.5,1.0,1.0,0.0,0.0,gbm,12.0
36,Jadarian Price,SEA,NE,7.842,0.0,19.785,0.209,24.0,1.0,0.0,0.0,24.0,1.0,1.0,0.0,1.0,gbm,-12.0
37,Rico Dowdle,PIT,ATL,7.74,4.696,16.255,0.074,29.0,2.0,3.432,13.755,23.0,0.0,0.0,1.0,0.0,gbm,-8.0
38,Rachaad White,WAS,PHI,7.564,3.025,15.208,0.025,37.0,2.0,2.971,7.155,20.0,1.0,1.0,1.0,0.0,gbm,-1.0
39,Tyjae Spears,TEN,NYJ,7.292,2.349,15.229,0.032,44.0,2.0,3.188,5.58,20.5,0.0,0.0,0.0,0.0,gbm,5.0
40,Woody Marks,HOU,BUF,7.271,4.154,15.513,0.036,42.0,2.0,2.597,10.832,23.0,1.0,1.0,0.0,0.0,gbm,2.0
41,Dylan Sampson,CLE,JAX,7.0,2.477,13.268,0.002,46.0,2.0,2.88,4.445,16.0,0.0,0.0,0.0,0.0,gbm,5.0
42,Bhayshul Tuten,JAX,CLE,6.737,2.06,12.162,0.0,23.0,1.0,2.01,5.067,24.5,1.0,1.0,0.0,0.0,gbm,-19.0
43,Justice Hill,BAL,IND,6.583,2.391,12.705,0.0,65.0,2.0,2.379,3.541,25.5,0.0,0.0,0.0,0.0,gbm,22.0
44,Kyle Monangai,CHI,CAR,6.57,2.568,15.539,0.046,41.0,2.0,2.333,9.333,24.75,1.0,1.0,0.0,0.0,gbm,-3.0
45,Tyler Allgeier,ARI,LAC,6.343,1.665,12.981,0.004,43.0,2.0,2.293,6.714,18.75,1.0,1.0,1.0,0.0,gbm,-2.0
46,Blake Corum,LA,SF,6.042,2.091,15.982,0.072,36.0,2.0,1.983,8.225,26.0,1.0,1.0,0.0,0.0,gbm,-10.0
47,Jordan Mason,MIN,GB,5.783,2.098,14.676,0.018,38.0,2.0,1.981,9.875,24.0,1.0,1.0,0.0,0.0,gbm,-9.0
48,MarShawn Lloyd,GB,MIN,5.537,0.0,14.414,0.08,35.0,1.0,0.0,0.0,22.5,1.0,1.0,0.0,0.0,gbm,-13.0
49,Jonathon Brooks,CAR,CHI,5.457,0.0,15.578,0.07,30.0,2.0,0.0,0.0,21.75,1.0,1.0,0.0,0.0,gbm,-19.0
50,Tank Bigsby,PHI,WAS,5.377,0.0,15.218,0.083,53.0,2.0,2.337,3.666,24.5,1.0,1.0,0.0,0.0,gbm,3.0
51,Samaje Perine,CIN,TB,5.137,2.041,11.465,0.0,77.0,2.0,2.006,5.956,27.0,1.0,1.0,0.0,0.0,gbm,26.0
52,Ray Davis,BUF,HOU,4.987,0.0,10.404,0.0,58.0,2.0,2.061,3.541,21.5,1.0,1.0,0.0,0.0,gbm,6.0
53,Chris Rodriguez Jr.,JAX,CLE,4.804,1.626,12.956,0.0,45.0,2.0,2.457,6.559,24.5,1.0,1.0,1.0,0.0,gbm,-8.0
54,Bam Knight,ARI,LAC,4.794,0.0,12.01,0.046,101.0,3.0,2.492,5.21,18.75,1.0,1.0,0.0,0.0,gbm,47.0
55,Zach Charbonnet,SEA,NE,4.766,0.0,15.82,0.085,51.0,4.0,2.162,10.028,24.0,1.0,1.0,0.0,0.0,gbm,-4.0
56,Kimani Vidal,LAC,ARI,4.678,0.0,14.797,0.04,60.0,3.0,2.068,9.176,28.75,1.0,1.0,0.0,0.0,gbm,4.0
57,Max Bredeson,MIN,GB,4.641,0.0,16.118,0.096,,1.0,0.0,0.0,24.0,1.0,1.0,0.0,1.0,gbm,
58,Kaelon Black,SF,LA,4.607,0.0,12.146,0.008,64.0,2.0,0.0,0.0,22.5,1.0,1.0,0.0,1.0,gbm,6.0
59,James Conner,ARI,LAC,4.451,0.0,11.654,0.032,63.0,4.0,2.353,2.999,18.75,1.0,1.0,0.0,0.0,gbm,4.0
60,Kyle Juszczyk,SF,LA,4.437,0.0,10.403,0.0,94.0,1.0,2.295,7.673,22.5,1.0,1.0,0.0,0.0,gbm,34.0
