rank_data,player_name,team,opponent,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Trey McBride,ARI,LAC,8.643,3.491,9.007,16.152,0.516,1.0,1.0,9.579,0.005,18.75,1.0,1.0,0.0,0.0,ridge,0.0
2,Brock Bowers,LV,MIA,7.546,3.044,7.533,13.718,0.438,2.0,1.0,5.228,0.075,22.0,0.0,0.0,0.0,0.0,ridge,0.0
3,Kyle Pitts,ATL,PIT,7.201,2.805,7.508,13.585,0.358,7.0,1.0,6.926,0.007,19.5,1.0,1.0,0.0,0.0,ridge,4.0
4,Juwan Johnson,NO,DET,6.691,2.621,6.773,13.922,0.288,15.0,1.0,5.963,0.008,21.25,1.0,1.0,0.0,0.0,ridge,11.0
5,Tyler Warren,IND,BAL,6.639,2.076,7.074,12.356,0.352,4.0,1.0,6.739,0.135,22.0,1.0,1.0,0.0,0.0,ridge,-1.0
6,Hunter Henry,NE,SEA,6.593,2.46,7.086,11.602,0.373,20.0,1.0,5.868,0.009,20.5,1.0,1.0,0.0,0.0,ridge,14.0
7,Dallas Goedert,PHI,WAS,6.392,1.845,6.108,13.096,0.361,13.0,1.0,5.237,0.011,24.5,1.0,1.0,0.0,0.0,ridge,6.0
8,Colston Loveland,CHI,CAR,6.378,2.295,6.185,13.291,0.282,3.0,1.0,5.011,0.068,24.75,1.0,1.0,0.0,0.0,ridge,-5.0
9,Travis Kelce,KC,DEN,6.138,2.627,7.129,10.274,0.267,9.0,1.0,6.258,0.063,23.25,1.0,1.0,0.0,0.0,ridge,0.0
10,George Kittle,SF,LA,6.106,2.665,5.255,11.489,0.319,10.0,1.0,4.564,0.064,22.5,1.0,1.0,0.0,0.0,ridge,0.0
11,Dalton Schultz,HOU,BUF,6.091,2.492,6.42,11.711,0.239,17.0,1.0,6.128,0.008,23.0,1.0,1.0,0.0,0.0,ridge,6.0
12,Harold Fannin Jr.,CLE,JAX,5.917,2.038,6.139,12.841,0.217,5.0,1.0,6.41,0.175,16.0,0.0,0.0,0.0,0.0,ridge,-7.0
13,Sam LaPorta,DET,NO,5.733,2.475,5.272,11.127,0.24,8.0,1.0,3.628,0.017,28.25,1.0,1.0,0.0,0.0,ridge,-5.0
14,Cade Otton,TB,CIN,5.711,2.171,5.339,10.943,0.273,29.0,1.0,5.001,0.011,23.5,1.0,1.0,0.0,0.0,ridge,15.0
