rank_data,player_name,team,opponent,proj,floor_q20,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Trey McBride,ARI,LAC,12.553,3.472,15.936,0.435,1.0,1.0,8.951,0.005,18.75,1.0,1.0,0.0,0.0,ridge,0.0
2,Kyle Pitts,ATL,PIT,10.017,3.034,13.265,0.463,7.0,1.0,6.497,0.007,19.5,1.0,1.0,0.0,0.0,ridge,5.0
3,Brock Bowers,LV,MIA,9.952,3.781,14.823,0.504,2.0,1.0,5.019,0.075,22.0,0.0,0.0,0.0,0.0,ridge,-1.0
4,Juwan Johnson,NO,DET,8.892,3.094,14.545,0.332,15.0,1.0,5.712,0.008,21.25,1.0,1.0,0.0,0.0,ridge,11.0
5,Hunter Henry,NE,SEA,8.695,3.089,15.537,0.45,20.0,1.0,5.612,0.009,20.5,1.0,1.0,0.0,0.0,ridge,15.0
6,Travis Kelce,KC,DEN,8.443,2.792,12.41,0.365,9.0,1.0,5.945,0.063,23.25,1.0,1.0,0.0,0.0,ridge,3.0
7,Tyler Warren,IND,BAL,8.346,2.738,14.582,0.528,4.0,1.0,6.359,0.135,22.0,1.0,1.0,0.0,0.0,ridge,-3.0
8,George Kittle,SF,LA,8.314,2.524,14.065,0.283,10.0,1.0,4.556,0.064,22.5,1.0,1.0,0.0,0.0,ridge,2.0
9,Dalton Schultz,HOU,BUF,8.274,2.726,13.367,0.264,17.0,1.0,5.835,0.008,23.0,1.0,1.0,0.0,0.0,ridge,8.0
10,Colston Loveland,CHI,CAR,8.249,3.0,15.46,0.338,3.0,1.0,4.881,0.068,24.75,1.0,1.0,0.0,0.0,ridge,-7.0
11,Sam LaPorta,DET,NO,7.992,2.613,14.7,0.238,8.0,1.0,3.765,0.017,28.25,1.0,1.0,0.0,0.0,ridge,-3.0
12,Dallas Goedert,PHI,WAS,7.958,2.979,14.342,0.534,13.0,1.0,5.019,0.011,24.5,1.0,1.0,0.0,0.0,ridge,1.0
13,Jake Ferguson,DAL,NYG,7.71,3.211,12.141,0.19,14.0,1.0,5.266,0.068,25.75,1.0,1.0,0.0,0.0,ridge,1.0
14,T.J. Hockenson,MIN,GB,7.64,3.22,14.177,0.3,21.0,1.0,4.446,0.063,24.0,1.0,1.0,0.0,0.0,ridge,7.0
15,Cade Otton,TB,CIN,7.55,3.059,12.647,0.273,29.0,1.0,4.886,0.011,23.5,1.0,1.0,0.0,0.0,ridge,14.0
16,Harold Fannin Jr.,CLE,JAX,7.331,2.165,13.715,0.213,5.0,1.0,6.062,0.175,16.0,0.0,0.0,0.0,0.0,ridge,-11.0
17,Tucker Kraft,GB,MIN,7.187,1.907,13.967,0.209,6.0,1.0,3.947,0.064,22.5,1.0,1.0,0.0,0.0,ridge,-11.0
18,Pat Freiermuth,PIT,ATL,7.138,2.606,14.958,0.266,28.0,1.0,3.96,0.015,23.0,0.0,0.0,0.0,0.0,ridge,10.0
19,Mark Andrews,BAL,IND,7.136,2.332,12.154,0.177,16.0,1.0,4.683,0.263,25.5,0.0,0.0,0.0,0.0,ridge,-3.0
20,Theo Johnson,NYG,DAL,7.102,2.413,13.586,0.418,37.0,2.0,4.744,0.012,22.75,0.0,0.0,0.0,0.0,ridge,17.0
21,Dalton Kincaid,BUF,HOU,7.039,2.649,14.101,0.272,11.0,1.0,4.163,0.016,21.5,1.0,1.0,0.0,0.0,ridge,-10.0
22,Evan Engram,DEN,KC,6.948,3.211,13.14,0.308,30.0,1.0,4.792,0.062,20.25,1.0,1.0,0.0,0.0,ridge,8.0
23,David Njoku,LAC,ARI,6.644,2.398,11.199,0.147,31.0,2.0,4.005,0.017,28.75,1.0,1.0,1.0,0.0,ridge,8.0
24,Brenton Strange,JAX,CLE,6.189,2.135,13.412,0.216,18.0,1.0,4.316,0.014,24.5,1.0,1.0,0.0,0.0,ridge,-6.0
25,AJ Barner,SEA,NE,6.124,2.446,12.025,0.167,23.0,1.0,4.466,0.255,24.0,1.0,1.0,0.0,0.0,ridge,-2.0
26,Mason Taylor,NYJ,TEN,6.072,2.663,11.64,0.197,34.0,1.0,4.326,0.013,19.0,1.0,1.0,0.0,0.0,ridge,8.0
27,Chig Okonkwo,WAS,PHI,5.976,1.984,12.946,0.2,19.0,1.0,4.77,0.01,20.0,1.0,1.0,1.0,0.0,ridge,-8.0
28,Isaiah Likely,NYG,DAL,5.975,2.24,11.246,0.202,12.0,1.0,4.03,0.02,22.75,0.0,0.0,1.0,0.0,ridge,-16.0
29,Cole Kmet,CHI,CAR,5.958,2.071,9.093,0.023,46.0,2.0,3.974,0.017,24.75,1.0,1.0,0.0,0.0,ridge,17.0
30,Noah Fant,NO,DET,5.927,2.112,12.152,0.23,52.0,2.0,3.967,0.017,21.25,1.0,1.0,1.0,0.0,ridge,22.0
31,Mike Gesicki,CIN,TB,5.522,2.241,10.14,0.096,35.0,1.0,3.893,0.017,27.0,1.0,1.0,0.0,0.0,ridge,4.0
32,Colby Parkinson,LA,SF,5.446,0.0,10.597,0.12,32.0,1.0,4.099,0.014,26.0,1.0,1.0,0.0,0.0,ridge,0.0
33,Jonnu Smith,GB,MIN,5.344,1.421,11.302,0.136,54.0,2.0,4.003,0.255,22.5,1.0,1.0,1.0,0.0,ridge,21.0
34,Gunnar Helm,TEN,NYJ,5.343,2.07,10.401,0.145,25.0,1.0,3.982,0.015,20.5,0.0,0.0,0.0,0.0,ridge,-9.0
35,Greg Dulcich,MIA,LV,5.281,1.928,13.535,0.187,24.0,1.0,3.775,0.065,18.5,0.0,0.0,0.0,0.0,ridge,-11.0
36,Tommy Tremble,CAR,CHI,5.22,1.597,10.774,0.121,53.0,1.0,3.849,0.019,21.75,1.0,1.0,0.0,0.0,ridge,17.0
