rank_data,player_name,team,opponent,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Puka Nacua,LA,SF,14.597,5.807,14.404,25.5,0.45,2.0,1.0,9.593,0.328,26.0,1.0,1.0,0.0,0.0,ridge,1.0
2,Ja'Marr Chase,CIN,TB,14.345,6.669,13.462,23.599,0.445,1.0,1.0,10.342,0.081,27.0,1.0,1.0,0.0,0.0,ridge,-1.0
3,Amon-Ra St. Brown,DET,NO,13.07,7.372,11.839,23.208,0.35,4.0,1.0,9.735,0.082,28.25,1.0,1.0,0.0,0.0,ridge,1.0
4,Jaxon Smith-Njigba,SEA,NE,12.781,7.567,11.091,22.873,0.282,3.0,1.0,10.827,0.198,24.0,1.0,1.0,0.0,0.0,ridge,-1.0
5,Justin Jefferson,MIN,GB,12.114,5.907,11.91,20.074,0.294,5.0,1.0,9.353,0.053,24.0,1.0,1.0,0.0,0.0,ridge,0.0
6,Zay Flowers,BAL,IND,11.644,5.905,10.712,22.538,0.187,15.0,1.0,8.506,0.329,25.5,0.0,0.0,0.0,0.0,ridge,9.0
7,CeeDee Lamb,DAL,NYG,11.522,4.327,11.797,19.997,0.297,6.0,1.0,6.634,0.041,25.75,1.0,1.0,0.0,0.0,ridge,-1.0
8,Davante Adams,LA,SF,11.348,4.127,11.249,21.017,0.258,24.0,2.0,6.779,0.002,26.0,1.0,1.0,0.0,0.0,ridge,16.0
9,Ladd McConkey,LAC,ARI,11.317,4.069,10.456,22.199,0.252,18.0,1.0,6.646,0.003,28.75,1.0,1.0,0.0,0.0,ridge,9.0
10,Chris Olave,NO,DET,10.919,6.536,10.462,17.897,0.154,10.0,1.0,9.545,0.038,21.25,1.0,1.0,0.0,0.0,ridge,0.0
11,George Pickens,DAL,NYG,10.823,5.23,10.271,20.596,0.206,11.0,2.0,7.633,0.002,25.75,1.0,1.0,0.0,0.0,ridge,0.0
12,DeVonta Smith,PHI,WAS,10.713,5.007,10.385,19.377,0.206,12.0,1.0,7.597,0.002,24.5,1.0,1.0,0.0,0.0,ridge,0.0
13,Deebo Samuel Sr.,SF,LA,10.668,5.341,8.896,18.853,0.215,56.0,2.0,7.747,0.632,22.5,1.0,1.0,1.0,0.0,ridge,43.0
14,Quentin Johnston,LAC,ARI,10.492,4.148,9.056,20.357,0.236,42.0,2.0,5.522,0.054,28.75,1.0,1.0,0.0,0.0,ridge,28.0
