rank_data,player_name,team,opponent,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,implied_team_total,off_continuity,hc_continuity,changed_team,is_rookie,learner,delta_vs_consensus
1,Puka Nacua,LA,SF,18.08,7.922,18.175,31.959,0.464,2.0,1.0,9.593,0.328,26.0,1.0,1.0,0.0,0.0,ridge,1.0
2,Ja'Marr Chase,CIN,TB,17.169,9.48,16.012,29.591,0.446,1.0,1.0,10.342,0.081,27.0,1.0,1.0,0.0,0.0,ridge,-1.0
3,Amon-Ra St. Brown,DET,NO,15.787,8.581,14.484,27.63,0.355,4.0,1.0,9.735,0.082,28.25,1.0,1.0,0.0,0.0,ridge,1.0
4,Jaxon Smith-Njigba,SEA,NE,15.756,9.178,14.658,28.449,0.308,3.0,1.0,10.827,0.198,24.0,1.0,1.0,0.0,0.0,ridge,-1.0
5,Zay Flowers,BAL,IND,14.963,8.755,14.66,27.334,0.242,15.0,1.0,8.506,0.329,25.5,0.0,0.0,0.0,0.0,ridge,10.0
6,Justin Jefferson,MIN,GB,14.656,8.12,14.534,25.39,0.251,5.0,1.0,9.353,0.053,24.0,1.0,1.0,0.0,0.0,ridge,-1.0
7,Chris Olave,NO,DET,13.986,7.761,14.683,22.765,0.215,10.0,1.0,9.545,0.038,21.25,1.0,1.0,0.0,0.0,ridge,3.0
8,CeeDee Lamb,DAL,NYG,13.852,5.873,13.9,24.183,0.314,6.0,1.0,6.634,0.041,25.75,1.0,1.0,0.0,0.0,ridge,-2.0
9,Davante Adams,LA,SF,13.676,5.538,14.407,24.242,0.296,24.0,2.0,6.779,0.002,26.0,1.0,1.0,0.0,0.0,ridge,15.0
10,George Pickens,DAL,NYG,13.58,5.931,13.425,25.745,0.224,11.0,2.0,7.633,0.002,25.75,1.0,1.0,0.0,0.0,ridge,1.0
11,DeVonta Smith,PHI,WAS,13.44,6.216,12.612,25.192,0.245,12.0,1.0,7.597,0.002,24.5,1.0,1.0,0.0,0.0,ridge,1.0
12,Wan'Dale Robinson,TEN,NYJ,13.363,7.701,14.398,21.999,0.156,37.0,2.0,8.771,0.071,20.5,0.0,0.0,1.0,0.0,ridge,25.0
13,Deebo Samuel Sr.,SF,LA,13.283,7.385,13.182,21.91,0.199,56.0,2.0,7.747,0.632,22.5,1.0,1.0,1.0,0.0,ridge,43.0
14,Ladd McConkey,LAC,ARI,13.129,6.146,12.675,24.45,0.219,18.0,1.0,6.646,0.003,28.75,1.0,1.0,0.0,0.0,ridge,4.0
15,A.J. Brown,NE,SEA,12.686,7.273,11.666,23.218,0.156,8.0,1.0,8.896,0.002,20.5,1.0,1.0,1.0,0.0,ridge,-7.0
16,Jameson Williams,DET,NO,12.66,7.069,12.586,22.462,0.186,26.0,2.0,6.014,0.188,28.25,1.0,1.0,0.0,0.0,ridge,10.0
17,Courtland Sutton,DEN,KC,12.553,5.816,12.532,22.326,0.209,38.0,2.0,7.617,0.002,20.25,1.0,1.0,0.0,0.0,ridge,21.0
18,Quentin Johnston,LAC,ARI,12.548,5.588,11.68,23.764,0.236,42.0,2.0,5.522,0.054,28.75,1.0,1.0,0.0,0.0,ridge,24.0
19,Tetairoa McMillan,CAR,CHI,12.417,5.787,12.875,23.088,0.202,19.0,1.0,8.168,0.002,21.75,1.0,1.0,0.0,0.0,ridge,0.0
20,Emeka Egbuka,TB,CIN,12.386,5.297,12.514,22.341,0.179,21.0,1.0,7.898,0.052,23.5,1.0,1.0,0.0,0.0,ridge,1.0
