rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_snap_share,sd_target_share,b_targets,b_carries,b_snap_share,b_target_share,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0034857,Josh Allen,BUF,DET,1.0,23.459,15.005,24.123,36.736,0.583,1.0,0.0,4.864,0.063,0.567,28.952,223.203,0.0,0.92,1.0,0.0,6.0,1.0,0.0,0.0,6.5,0.96,0.0,27.75,0.006,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0033873,Patrick Mahomes,KC,IND,1.0,22.654,15.108,22.073,35.972,0.552,1.0,0.005,3.55,0.061,0.171,35.924,255.542,0.0,0.97,1.0,0.0,7.0,1.0,0.0,0.036,5.786,0.985,0.0,27.0,0.059,-0.089,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0034796,Lamar Jackson,BAL,NO,1.0,21.672,13.278,21.216,33.773,0.496,1.0,0.0,3.678,0.061,0.079,22.789,180.404,0.0,0.92,1.0,0.0,7.0,1.0,0.0,0.0,6.077,0.96,0.0,27.0,-0.015,-0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
4,00-0037834,Brock Purdy,SF,MIA,1.0,21.572,14.223,21.351,32.658,0.519,1.0,0.0,2.891,0.065,0.17,31.827,235.418,0.0,0.969,1.0,0.0,5.0,1.0,0.0,0.0,4.333,0.985,0.0,28.5,0.166,-0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
5,00-0039918,Caleb Williams,CHI,MIN,1.0,21.238,14.093,22.118,32.973,0.516,1.0,0.019,3.842,0.052,0.125,34.003,236.649,0.001,0.986,1.0,0.0,10.0,1.0,0.0,0.059,7.265,0.993,0.0,24.5,-0.12,-0.052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0033077,Dak Prescott,DAL,WAS,1.0,20.832,12.787,20.84,33.406,0.484,1.0,0.0,3.238,0.064,0.197,36.086,269.133,0.0,0.946,1.0,0.0,2.0,1.0,0.0,0.0,2.559,0.973,0.0,28.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0039851,Drake Maye,NE,PIT,1.0,20.771,13.029,22.184,32.948,0.472,1.0,0.006,4.574,0.054,0.164,28.606,241.035,0.0,0.955,1.0,0.0,7.0,1.0,0.0,0.029,6.529,0.978,0.0,24.0,0.045,-0.027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0036355,Justin Herbert,LAC,LV,1.0,20.428,12.201,20.455,33.637,0.432,1.0,0.0,4.17,0.058,0.235,32.44,233.996,0.0,0.965,1.0,0.0,5.0,1.0,0.0,0.0,5.094,0.982,0.0,25.5,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0026498,Matthew Stafford,LA,NYG,1.0,20.06,11.337,20.297,33.567,0.453,1.0,0.0,2.69,0.065,0.11,35.253,270.999,0.0,0.975,1.0,0.0,2.0,0.84,0.0,0.0,1.853,0.907,0.0,28.5,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0036389,Jalen Hurts,PHI,TEN,0.0,19.928,12.422,19.6,32.501,0.448,1.0,0.0,4.986,0.053,0.471,27.811,196.879,0.0,0.973,1.0,0.0,7.0,1.0,0.0,0.0,6.781,0.987,0.0,23.5,0.182,-0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
11,00-0039910,Jayden Daniels,WAS,DAL,0.0,19.825,12.597,20.122,30.62,0.432,1.0,0.0,2.991,0.053,0.138,26.143,179.415,0.0,0.901,1.0,0.0,5.0,1.0,0.0,0.0,6.643,0.951,0.0,23.5,0.243,0.047,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
