rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0038542,Bijan Robinson,ATL,CAR,1.0,18.782,11.88,18.065,29.656,0.58,2.0,1.0,6.618,15.694,0.51,0.628,0.0,0.0,0.186,0.776,1.0,10.0,21.0,0.0,0.77,0.526,8.029,18.941,0.0,0.773,0.356,20.5,0.119,0.003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0033280,Christian McCaffrey,SF,MIA,1.0,18.523,13.142,18.567,30.27,0.602,3.0,1.0,7.326,18.908,0.977,1.415,0.059,0.165,0.222,0.825,1.0,8.0,10.0,0.0,0.55,0.235,7.794,14.147,0.029,0.687,0.228,29.0,0.166,-0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0039139,Jahmyr Gibbs,DET,BUF,0.0,18.407,11.154,18.598,31.086,0.54,1.0,1.0,5.819,14.179,0.513,0.558,0.0,0.0,0.161,0.666,1.0,5.0,29.0,0.0,0.74,0.128,5.265,21.647,0.0,0.703,0.145,24.5,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
4,00-0040122,Ashton Jeanty,LV,LAC,0.0,16.897,9.888,16.451,28.8,0.476,13.0,1.0,5.021,17.552,0.362,1.018,0.0,0.0,0.139,0.773,1.0,6.0,23.0,0.0,0.74,0.207,5.147,19.324,0.0,0.756,0.173,18.25,-0.063,-0.106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
5,00-0038134,Kenneth Walker III,KC,IND,1.0,16.79,8.486,15.939,29.88,0.477,12.0,1.0,2.911,11.472,0.286,0.495,0.0,0.0,0.081,0.47,1.0,6.0,23.0,0.0,0.68,0.24,4.059,18.0,0.0,0.575,0.161,27.0,0.059,-0.089,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
6,00-0038597,Chase Brown,CIN,HOU,0.0,15.964,9.125,14.778,27.611,0.412,7.0,1.0,5.198,14.71,0.414,0.872,0.0,0.0,0.138,0.513,1.0,6.0,16.0,0.0,0.72,0.176,5.588,14.824,0.0,0.617,0.157,22.0,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0036223,Jonathan Taylor,IND,KC,0.0,15.675,10.166,14.735,26.949,0.391,4.0,1.0,3.801,17.014,0.226,0.859,0.0,0.0,0.101,0.82,1.0,4.0,19.0,0.0,0.89,0.138,3.618,19.0,0.0,0.855,0.119,20.5,0.029,-0.075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0037248,James Cook,BUF,DET,1.0,15.259,8.254,14.779,25.128,0.41,10.0,1.0,2.917,15.704,0.287,0.713,0.0,0.0,0.085,0.571,1.0,4.0,13.0,0.0,0.72,0.143,3.176,15.588,0.0,0.645,0.114,29.0,0.006,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0036997,Javonte Williams,DAL,WAS,1.0,15.045,8.529,14.587,25.106,0.39,11.0,1.0,3.032,14.922,0.416,1.176,0.0,0.0,0.085,0.686,1.0,5.0,12.0,0.0,0.71,0.167,4.094,13.875,0.0,0.698,0.126,27.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0032764,Derrick Henry,BAL,NO,1.0,14.94,8.236,15.329,25.57,0.395,9.0,1.0,2.055,17.719,0.303,1.415,0.058,0.161,0.066,0.545,1.0,1.0,24.0,0.0,0.54,0.042,1.118,21.029,0.029,0.542,0.054,27.5,-0.015,-0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
11,00-0039361,Bucky Irving,TB,CLE,1.0,14.863,7.703,14.694,26.284,0.402,19.0,1.0,2.369,10.717,0.271,0.655,0.0,0.0,0.071,0.612,1.0,7.0,8.0,0.0,0.61,0.259,5.25,12.65,0.0,0.611,0.165,24.5,-0.112,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
12,00-0038120,Breece Hall,NYJ,GB,1.0,14.417,7.17,13.684,26.355,0.393,17.0,1.0,3.366,14.307,0.357,0.411,0.062,0.294,0.099,0.64,1.0,2.0,22.0,0.0,0.58,0.087,2.5,18.594,0.031,0.61,0.093,20.0,0.091,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
13,00-0039040,De'Von Achane,MIA,SF,0.0,14.277,7.987,14.231,24.096,0.34,5.0,1.0,6.201,13.338,0.338,0.319,0.0,0.0,0.171,0.748,1.0,5.0,11.0,0.0,0.86,0.185,5.156,12.938,0.0,0.804,0.178,16.5,0.138,-0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
14,00-0034844,Saquon Barkley,PHI,TEN,0.0,14.122,8.341,13.787,23.757,0.374,6.0,1.0,3.448,16.037,0.387,0.668,0.0,0.0,0.104,0.777,1.0,2.0,15.0,0.0,0.71,0.091,2.562,16.25,0.0,0.744,0.097,23.25,0.182,-0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
15,00-0036875,Rhamondre Stevenson,NE,PIT,1.0,13.658,7.438,13.147,23.644,0.323,18.0,1.0,2.805,7.013,0.318,0.618,0.0,0.0,0.08,0.59,1.0,6.0,18.0,0.0,0.85,0.194,4.321,13.643,0.0,0.72,0.137,23.5,0.045,-0.027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
16,00-0037840,Kyren Williams,LA,NYG,1.0,13.361,6.225,12.579,24.892,0.327,15.0,1.0,3.058,14.866,0.377,0.954,0.0,0.0,0.086,0.679,1.0,3.0,11.0,0.0,0.64,0.111,2.971,13.118,0.0,0.659,0.099,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
17,00-0036973,Travis Etienne,NO,BAL,0.0,13.005,7.119,12.496,23.639,0.292,14.0,1.0,3.774,13.202,0.293,0.438,0.0,0.0,0.1,0.599,1.0,9.0,9.0,0.0,0.59,0.173,6.029,12.147,0.0,0.595,0.137,19.0,0.085,-0.062,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
18,00-0036275,D'Andre Swift,CHI,MIN,1.0,12.99,6.886,12.632,23.889,0.27,16.0,1.0,3.126,12.449,0.207,0.857,0.0,0.0,0.09,0.577,1.0,1.0,18.0,0.0,0.57,0.038,2.0,15.969,0.0,0.573,0.064,27.0,-0.12,-0.052,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
19,00-0040666,Omarion Hampton,LAC,LV,1.0,12.046,5.645,11.525,22.334,0.282,8.0,1.0,2.571,7.273,0.235,0.622,0.0,0.0,0.071,0.629,1.0,0.0,12.0,0.0,0.58,0.0,1.944,12.889,0.0,0.604,0.036,25.25,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
20,00-0040784,Quinshon Judkins,CLE,TB,0.0,11.771,5.762,11.613,20.883,0.235,24.0,1.0,2.684,13.817,0.14,0.49,0.0,0.0,0.074,0.505,1.0,2.0,12.0,0.0,0.65,0.091,2.286,14.214,0.0,0.578,0.083,16.0,0.08,-0.063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
21,00-0039811,MarShawn Lloyd,GB,NYJ,0.0,11.368,5.509,10.157,20.239,0.232,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,13.0,0.0,0.44,0.025,1.0,13.0,0.0,0.44,0.025,24.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
22,00-0035685,David Montgomery,HOU,CIN,1.0,11.316,6.51,10.7,20.191,0.171,21.0,1.0,2.309,9.53,0.235,0.939,0.119,0.34,0.064,0.376,1.0,3.0,20.0,0.0,0.49,0.081,2.353,14.647,0.059,0.433,0.072,24.5,0.18,0.059,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
