rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,sd_carry_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,b_carry_share,carries_per_game,targets_per_game,attempts_per_game,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0036963,Amon-Ra St. Brown,DET,BUF,0.0,14.151,7.581,13.512,26.044,0.406,3.0,1.0,10.458,0.074,1.271,0.097,0.0,0.0,0.289,0.709,1.0,14.0,0.0,0.0,0.9,0.359,0.0,12.059,0.088,0.0,0.805,0.324,0.001,0.176,10.118,0.0,24.5,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0038543,Jaxon Smith-Njigba,SEA,ARI,0.0,14.11,7.184,14.449,24.454,0.431,4.0,1.0,10.758,0.2,0.822,0.091,0.0,0.0,0.326,0.711,1.0,11.0,0.0,0.0,0.9,0.458,0.0,10.294,0.206,0.0,0.806,0.392,0.004,0.412,9.588,0.0,23.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0039075,Puka Nacua,LA,NYG,1.0,14.061,6.153,13.83,25.205,0.459,2.0,1.0,9.391,0.338,0.626,0.109,0.0,0.0,0.266,0.664,1.0,9.0,0.0,0.0,0.7,0.333,0.0,9.688,0.312,0.0,0.682,0.299,0.006,0.625,10.375,0.0,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
4,00-0036322,Justin Jefferson,MIN,CHI,0.0,12.375,6.114,11.557,23.76,0.295,7.0,1.0,9.754,0.05,0.723,0.085,0.0,0.0,0.275,0.714,1.0,9.0,0.0,0.0,0.92,0.391,0.0,8.647,0.059,0.0,0.817,0.333,0.001,0.118,8.294,0.0,21.5,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
5,00-0036358,CeeDee Lamb,DAL,WAS,1.0,11.765,5.151,11.019,22.845,0.306,5.0,1.0,6.614,0.041,0.632,0.106,0.0,0.0,0.185,0.645,1.0,8.0,1.0,0.0,0.81,0.267,0.056,8.5,0.538,0.0,0.727,0.226,0.029,0.077,9.0,0.0,27.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0034827,DJ Moore,BUF,DET,1.0,11.379,4.723,10.41,22.428,0.313,30.0,1.0,5.47,0.555,0.649,0.114,0.059,0.241,0.159,0.791,1.0,8.0,0.0,0.0,0.76,0.286,0.0,6.5,0.441,0.029,0.775,0.222,0.01,0.882,5.0,0.059,29.0,0.006,-0.029,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
7,00-0036554,Nico Collins,HOU,CIN,1.0,11.199,5.112,10.637,20.796,0.252,8.0,1.0,7.419,0.052,0.798,0.097,0.0,0.0,0.205,0.668,1.0,10.0,1.0,0.0,0.72,0.27,0.031,9.0,0.567,0.0,0.694,0.237,0.017,0.133,8.0,0.0,24.5,0.18,0.059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0037247,George Pickens,DAL,WAS,1.0,11.008,4.497,10.673,21.509,0.252,9.0,2.0,7.61,0.002,0.854,0.106,0.0,0.0,0.213,0.804,1.0,6.0,0.0,0.0,0.84,0.2,0.0,7.029,0.0,0.0,0.822,0.206,0.0,0.0,8.059,0.0,27.0,0.223,0.041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0040124,Tetairoa McMillan,CAR,ATL,0.0,10.935,5.023,10.598,20.781,0.243,18.0,1.0,7.894,0.002,0.662,0.091,0.0,0.0,0.234,0.862,1.0,8.0,0.0,0.0,0.82,0.235,0.0,7.588,0.0,0.0,0.841,0.235,0.0,0.0,7.176,0.0,23.0,0.004,0.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0037240,Jameson Williams,DET,BUF,0.0,10.775,4.456,10.075,21.733,0.24,23.0,2.0,6.461,0.172,0.394,0.097,0.0,0.0,0.179,0.773,1.0,9.0,0.0,0.0,0.84,0.231,0.0,7.5,0.176,0.0,0.807,0.205,0.003,0.353,6.0,0.0,24.5,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
11,00-0037239,Chris Olave,NO,BAL,0.0,10.692,6.167,10.088,18.52,0.214,6.0,1.0,9.629,0.037,0.741,0.075,0.063,0.193,0.256,0.663,1.0,13.0,0.0,0.0,0.86,0.25,0.0,11.375,0.031,0.031,0.761,0.253,0.001,0.062,9.75,0.062,19.0,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
12,00-0036912,DeVonta Smith,PHI,TEN,0.0,10.573,4.122,9.997,20.622,0.26,11.0,1.0,7.477,0.003,0.635,0.092,0.0,0.0,0.225,0.834,1.0,6.0,0.0,0.0,0.95,0.273,0.0,6.324,0.0,0.0,0.892,0.249,0.0,0.0,6.647,0.0,23.25,0.182,-0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
13,00-0040129,Emeka Egbuka,TB,CLE,1.0,10.566,4.702,9.857,19.662,0.235,22.0,1.0,7.321,0.057,0.674,0.091,0.0,0.0,0.22,0.669,1.0,6.0,0.0,0.0,0.86,0.222,0.0,6.735,0.059,0.0,0.765,0.221,0.001,0.118,7.471,0.0,24.5,-0.112,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
14,00-0039337,Malik Nabers,NYG,LA,0.0,10.495,4.436,9.718,20.946,0.23,20.0,1.0,3.975,0.007,0.297,0.082,0.0,0.0,0.11,0.773,1.0,9.0,0.0,0.0,0.52,0.31,0.0,8.875,0.0,0.0,0.647,0.21,0.0,0.0,8.75,0.0,20.75,-0.054,-0.057,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
15,00-0039915,Ladd McConkey,LAC,LV,1.0,10.46,4.611,9.62,19.442,0.233,16.0,1.0,6.769,0.003,0.668,0.1,0.0,0.0,0.187,0.768,1.0,7.0,0.0,0.0,0.49,0.259,0.0,6.812,0.0,0.0,0.629,0.223,0.0,0.0,6.625,0.0,25.25,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
16,00-0039064,Zay Flowers,BAL,NO,1.0,10.331,3.902,9.665,20.578,0.238,13.0,1.0,8.226,0.341,0.81,0.108,0.0,0.0,0.262,0.783,1.0,6.0,0.0,0.0,0.29,0.25,0.0,6.471,0.294,0.0,0.536,0.256,0.006,0.588,6.941,0.0,27.5,-0.015,-0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
17,00-0037238,Drake London,ATL,CAR,1.0,10.316,4.597,9.232,20.454,0.238,10.0,1.0,7.215,0.002,0.688,0.081,0.0,0.0,0.203,0.894,1.0,4.0,1.0,0.0,0.98,0.211,0.032,6.667,0.5,0.0,0.937,0.207,0.016,0.0,9.333,0.0,20.5,0.119,0.003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
18,00-0040667,Matthew Golden,GB,NYJ,0.0,10.171,4.286,9.602,19.742,0.219,51.0,3.0,3.982,0.328,0.267,0.097,0.0,0.0,0.12,0.566,1.0,12.0,0.0,0.0,0.82,0.3,0.0,7.571,0.357,0.0,0.693,0.21,0.006,0.714,3.143,0.0,24.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
19,00-0036900,Ja'Marr Chase,CIN,HOU,0.0,10.081,4.632,8.924,19.943,0.216,1.0,1.0,10.713,0.077,0.811,0.087,0.0,0.0,0.284,0.742,1.0,4.0,0.0,0.0,0.94,0.118,0.0,7.781,0.094,0.0,0.841,0.201,0.002,0.188,11.562,0.0,22.0,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
20,00-0037740,Garrett Wilson,NYJ,GB,1.0,9.78,4.397,8.953,18.421,0.19,14.0,1.0,4.613,0.005,0.301,0.079,0.0,0.0,0.136,0.85,1.0,7.0,0.0,0.0,0.75,0.304,0.0,7.714,0.0,0.0,0.8,0.22,0.0,0.0,8.429,0.0,20.0,0.091,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
21,00-0035640,DK Metcalf,PIT,NE,0.0,9.649,4.594,8.889,18.282,0.186,32.0,1.0,6.541,0.053,0.427,0.071,0.0,0.0,0.182,0.695,1.0,10.0,0.0,0.0,0.96,0.27,0.0,8.3,0.067,0.0,0.828,0.226,0.001,0.133,6.6,0.0,18.0,-0.038,-0.029,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
22,00-0037261,Khalil Shakir,BUF,DET,1.0,9.611,3.573,8.718,20.208,0.2,48.0,2.0,6.479,0.04,0.772,0.114,0.0,0.0,0.188,0.624,1.0,6.0,0.0,0.0,0.53,0.214,0.0,5.969,0.031,0.0,0.577,0.201,0.001,0.062,5.938,0.0,29.0,0.006,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
23,00-0031588,Stefon Diggs,WAS,DAL,0.0,9.514,4.131,8.692,19.607,0.179,46.0,2.0,6.955,0.003,0.599,0.093,0.0,0.0,0.199,0.542,1.0,9.0,0.0,0.0,0.63,0.31,0.0,7.5,0.0,0.0,0.586,0.255,0.0,0.0,6.0,0.0,23.5,0.243,0.047,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
24,00-0031381,Davante Adams,LA,NYG,1.0,9.49,3.919,9.195,18.777,0.168,21.0,2.0,6.636,0.002,1.075,0.109,0.0,0.0,0.188,0.71,1.0,6.0,0.0,0.0,0.54,0.222,0.0,7.071,0.0,0.0,0.625,0.205,0.0,0.0,8.143,0.0,27.75,0.06,0.145,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
25,00-0041523,Caleb Douglas,MIA,SF,0.0,9.351,4.604,8.96,16.189,0.126,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,7.0,0.0,0.0,0.91,0.259,0.0,7.0,0.0,0.0,0.91,0.259,0.0,,,,16.5,0.138,-0.01,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,ridge
26,00-0038117,Wan'Dale Robinson,TEN,PHI,1.0,9.32,4.089,8.499,17.853,0.196,37.0,2.0,9.238,0.066,0.465,0.064,0.0,0.0,0.256,0.729,1.0,6.0,0.0,0.0,0.82,0.214,0.0,7.375,0.094,0.0,0.775,0.235,0.001,0.188,8.75,0.0,16.25,-0.068,-0.061,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,ridge
27,00-0035719,Deebo Samuel Sr.,SF,MIA,1.0,9.243,2.743,8.588,20.677,0.193,56.0,2.0,7.006,0.717,0.981,0.069,0.0,0.0,0.212,0.629,1.0,7.0,1.0,0.0,0.42,0.206,0.033,6.594,1.031,0.0,0.524,0.209,0.029,1.062,6.188,0.0,29.0,0.166,-0.02,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
