rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,sd_carry_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,b_carry_share,carries_per_game,targets_per_game,attempts_per_game,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0034857,Josh Allen,BUF,LAC,1.0,21.25,15.848,21.826,28.857,0.698,1.0,1.0,0.0,5.018,0.065,0.588,28.952,223.203,0.0,0.92,2.0,0.0,10.0,30.0,1.0,0.0,0.337,0.0,9.0,29.583,0.973,0.0,0.284,7.0,0.0,28.75,28.75,-0.063,-0.106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0033873,Patrick Mahomes,KC,MIA,0.0,18.898,13.575,18.49,27.654,0.54,14.0,1.0,0.005,3.696,0.066,0.184,35.924,255.542,0.0,0.97,2.0,0.0,4.5,37.0,1.0,0.0,0.127,0.024,4.524,36.619,0.99,0.0,0.129,4.571,0.071,35.857,29.0,0.166,-0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
3,00-0034796,Lamar Jackson,BAL,DAL,0.0,18.338,11.224,18.09,28.984,0.498,2.0,1.0,0.0,3.557,0.063,0.081,22.789,180.404,0.0,0.92,2.0,0.0,5.5,28.0,1.0,0.0,0.186,0.0,5.385,26.41,0.973,0.0,0.166,5.154,0.0,23.231,27.75,0.243,0.047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
4,00-0040743,Tyler Shough,NO,LV,1.0,17.824,11.601,17.929,27.949,0.486,19.0,1.0,0.0,3.06,0.054,0.295,29.959,215.597,0.0,0.836,2.0,0.0,6.5,45.0,1.0,0.0,0.247,0.0,5.697,39.909,0.945,0.0,0.202,4.091,0.0,29.727,23.75,0.099,-0.042,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
5,00-0036389,Jalen Hurts,PHI,CHI,0.0,17.541,11.085,17.652,26.437,0.482,3.0,1.0,0.0,4.986,0.052,0.461,27.811,196.879,0.0,0.973,2.0,0.0,6.0,31.0,1.0,0.0,0.218,0.0,6.188,30.125,0.991,0.0,0.207,6.562,0.0,28.375,23.0,0.052,-0.009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0033106,Jared Goff,DET,NYJ,1.0,17.488,11.426,16.995,28.514,0.418,13.0,1.0,0.0,2.799,0.062,0.256,34.05,261.892,0.0,0.97,2.0,0.0,2.5,38.5,1.0,0.0,0.105,0.0,2.039,37.0,0.99,0.0,0.103,1.118,0.0,34.0,27.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0037834,Brock Purdy,SF,ARI,1.0,17.441,11.46,17.855,25.93,0.481,7.0,1.0,0.0,2.847,0.064,0.167,31.827,235.418,0.0,0.969,2.0,0.0,4.0,28.0,1.0,0.0,0.139,0.0,3.889,29.185,0.99,0.0,0.126,3.667,0.0,31.556,28.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0033077,Dak Prescott,DAL,BAL,1.0,17.406,10.612,18.13,27.238,0.47,5.0,1.0,0.0,3.045,0.056,0.174,36.086,269.133,0.0,0.946,2.0,0.0,3.0,32.5,1.0,0.0,0.151,0.0,3.039,33.431,0.982,0.0,0.139,3.118,0.0,35.294,24.75,0.085,-0.062,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
9,00-0033537,Deshaun Watson,CLE,CAR,1.0,16.577,10.654,16.168,25.817,0.389,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,6.5,26.0,1.0,0.0,0.289,0.0,6.5,26.0,1.0,0.0,0.289,,,,20.0,0.119,0.003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
10,00-0039851,Drake Maye,NE,JAX,0.0,16.236,10.263,15.16,26.481,0.377,11.0,1.0,0.006,4.289,0.048,0.145,28.606,241.035,0.0,0.955,2.0,0.0,5.5,27.5,1.0,0.0,0.184,0.02,5.686,27.98,0.985,0.0,0.182,6.059,0.059,28.941,21.25,-0.113,-0.085,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
11,00-0039732,Bo Nix,DEN,LA,1.0,15.999,9.592,14.835,25.746,0.365,18.0,1.0,0.005,3.936,0.042,0.078,36.509,239.41,0.0,0.992,2.0,0.0,4.0,29.5,1.0,0.0,0.189,0.02,4.294,31.667,0.997,0.0,0.178,4.882,0.059,36.0,21.5,-0.054,-0.057,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
12,00-0036264,Jordan Love,GB,ATL,1.0,15.843,9.994,16.865,23.822,0.384,16.0,1.0,0.0,3.001,0.057,0.235,28.639,214.974,0.0,0.938,2.0,0.0,0.5,35.5,1.0,0.0,0.024,0.0,1.378,33.422,0.979,0.0,0.052,3.133,0.0,29.267,25.25,0.004,0.016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
13,00-0026498,Matthew Stafford,LA,DEN,0.0,15.682,9.818,16.097,25.187,0.332,15.0,1.0,0.0,2.561,0.054,0.093,35.253,270.999,0.0,0.975,2.0,0.0,3.0,28.0,0.84,0.0,0.106,0.0,2.569,30.373,0.885,0.0,0.104,1.706,0.0,35.118,24.0,-0.081,-0.102,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
14,00-0036355,Justin Herbert,LAC,BUF,0.0,15.68,8.934,15.168,25.243,0.36,8.0,1.0,0.0,3.645,0.049,0.2,32.44,233.996,0.0,0.965,2.0,0.0,4.0,27.0,1.0,0.0,0.166,0.0,4.396,28.667,0.988,0.0,0.162,5.188,0.0,32.0,21.75,-0.068,0.063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
15,00-0030565,Geno Smith,NYJ,DET,0.0,15.577,8.167,15.01,26.517,0.382,26.0,1.0,0.0,3.064,0.048,0.125,29.403,200.785,0.0,0.958,2.0,0.0,5.5,32.5,1.0,0.0,0.17,0.0,4.578,31.622,0.986,0.0,0.151,2.733,0.0,29.867,21.0,0.006,-0.029,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
