rank_data,player_id,player_name,team,opponent,is_home,proj,floor_q20,median_q50,ceiling_q90,p_top12,consensus_rank,depth_rank,expected_targets,expected_carries,expected_rz_targets,expected_gl_carries,expected_pass_att,expected_pass_yards,target_share_eb,snap_share_eb,sd_games,sd_targets,sd_carries,sd_attempts,sd_snap_share,sd_target_share,sd_carry_share,b_targets,b_carries,b_attempts,b_snap_share,b_target_share,b_carry_share,carries_per_game,targets_per_game,attempts_per_game,implied_team_total,opp_prev_def_epa_pass,opp_prev_def_epa_rush,off_continuity,hc_continuity,hc_change,changed_team,is_rookie,is_out,is_questionable,practice_status,learner
1,00-0039139,Jahmyr Gibbs,DET,NYJ,1.0,17.45,10.625,16.326,29.392,0.546,1.0,1.0,5.435,15.488,0.576,0.627,0.0,0.0,0.161,0.666,2.0,6.5,22.5,0.0,0.74,0.169,0.839,6.176,19.765,0.0,0.715,0.167,0.742,14.294,5.529,0.0,27.5,0.287,-0.019,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
2,00-0038134,Kenneth Walker III,KC,MIA,0.0,16.611,10.435,16.231,27.611,0.504,5.0,1.0,2.823,11.944,0.308,0.532,0.0,0.0,0.081,0.47,2.0,8.0,23.5,0.0,0.68,0.236,0.716,6.039,20.0,0.0,0.61,0.185,0.623,13.0,2.118,0.0,29.0,0.166,-0.02,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,ridge
3,00-0040122,Ashton Jeanty,LV,NO,0.0,15.992,8.951,15.965,28.07,0.478,7.0,1.0,4.903,18.159,0.412,1.158,0.0,0.0,0.139,0.773,2.0,6.5,22.0,0.0,0.74,0.224,0.673,5.765,19.882,0.0,0.751,0.196,0.687,15.647,4.294,0.0,20.75,-0.015,-0.088,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
4,00-0037248,James Cook,BUF,LAC,1.0,15.473,8.382,15.115,27.12,0.453,8.0,1.0,2.871,16.011,0.284,0.707,0.0,0.0,0.085,0.571,2.0,3.5,17.0,0.0,0.72,0.125,0.601,3.118,17.392,0.0,0.67,0.112,0.588,18.176,2.353,0.0,28.75,-0.063,-0.106,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
5,00-0038542,Bijan Robinson,ATL,GB,0.0,15.207,8.926,14.727,26.101,0.426,2.0,1.0,6.76,15.242,0.479,0.59,0.0,0.0,0.186,0.776,2.0,7.0,18.5,0.0,0.77,0.328,0.589,6.686,17.961,0.0,0.772,0.281,0.592,16.882,6.059,0.0,19.25,0.091,-0.029,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
6,00-0038597,Chase Brown,CIN,PIT,0.0,15.031,9.025,14.49,25.042,0.423,12.0,1.0,5.019,15.497,0.433,0.912,0.0,0.0,0.138,0.513,2.0,5.5,18.0,0.0,0.72,0.169,0.731,5.392,16.549,0.0,0.651,0.158,0.689,13.647,5.176,0.0,23.0,0.045,-0.027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
7,00-0033280,Christian McCaffrey,SF,ARI,1.0,14.784,7.256,14.574,27.015,0.436,3.0,1.0,7.52,18.346,0.943,1.366,0.059,0.165,0.222,0.825,2.0,6.0,10.0,0.0,0.55,0.213,0.352,6.529,12.765,0.02,0.642,0.216,0.448,18.294,7.588,0.059,28.0,0.164,-0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
8,00-0032764,Derrick Henry,BAL,DAL,0.0,14.696,7.423,15.823,24.635,0.446,4.0,1.0,2.132,17.015,0.306,1.428,0.058,0.161,0.066,0.545,2.0,2.0,20.0,0.0,0.54,0.073,0.688,1.745,19.353,0.02,0.542,0.07,0.659,18.059,1.235,0.059,27.75,0.243,0.047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
9,00-0036223,Jonathan Taylor,IND,HOU,1.0,14.432,8.649,13.702,23.983,0.368,6.0,1.0,3.714,17.635,0.226,0.859,0.0,0.0,0.101,0.82,2.0,4.0,21.5,0.0,0.89,0.136,0.85,3.745,20.667,0.0,0.867,0.124,0.809,19.0,3.235,0.0,20.5,-0.131,-0.113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,ridge
10,00-0039040,De'Von Achane,MIA,KC,1.0,14.069,9.35,13.518,23.71,0.316,11.0,1.0,6.165,13.454,0.358,0.338,0.0,0.0,0.171,0.748,2.0,5.5,15.5,0.0,0.86,0.223,0.65,5.438,15.292,0.0,0.823,0.206,0.616,14.875,5.312,0.0,17.5,0.029,-0.075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,ridge
