pos,group,rho,delta
QB,(everything),0.8162253566418771,0.0
QB,without in-season role,0.8132614842459474,-0.0029638723959297675
QB,without efficiency,0.818395712088552,0.0021703554466748765
QB,without team,0.8144017805173506,-0.0018235761245265492
QB,without vegas,0.8075619040569971,-0.008663452584879994
QB,without opponent,0.8154637709193346,-0.0007615857225424794
QB,without situation,0.8160342454246344,-0.00019111121724268987
QB,without player,0.8145111333614518,-0.0017142232804253643
QB,+ matchup,0.8152172824552092,-0.0010080741866679288
RB,(everything),0.8446454864514347,0.0
RB,without in-season role,0.7731001340824377,-0.07154535236899695
RB,without efficiency,0.8436171942081508,-0.0010282922432838237
RB,without team,0.8434955945589919,-0.0011498918924427448
RB,without vegas,0.8429569276692483,-0.0016885587821863224
RB,without opponent,0.8450401770810371,0.0003946906296024011
RB,without situation,0.8440776583311999,-0.0005678281202348145
RB,without player,0.8440886391349918,-0.0005568473164428989
RB,+ matchup,0.8445739846714728,-7.15017799618467e-05
WR,(everything),0.8097865431207031,0.0
WR,without in-season role,0.7594240866402151,-0.05036245648048798
WR,without efficiency,0.8086110524114761,-0.0011754907092269562
WR,without team,0.809270247895648,-0.0005162952250550301
WR,without vegas,0.8093404873702439,-0.00044605575045919554
WR,without opponent,0.809586860333379,-0.00019968278732407363
WR,without situation,0.8096302464213234,-0.0001562966993796655
WR,without player,0.8088711917294734,-0.0009153513912296685
WR,+ matchup,0.8096189007176601,-0.00016764240304301126
TE,(everything),0.7900876440300982,0.0
TE,without in-season role,0.7369626516912691,-0.05312499233882917
TE,without efficiency,0.7915060100003722,0.0014183659702740048
TE,without team,0.7891307420605874,-0.000956901969510815
TE,without vegas,0.7880848036161804,-0.00200284041391785
TE,without opponent,0.7910159977776915,0.000928353747593258
TE,without situation,0.7892220445905368,-0.0008655994395614375
TE,without player,0.7858506754648152,-0.004236968565282995
TE,+ matchup,0.7881832367838805,-0.0019044072462177652
