pos,k_role,k_eff,rho
QB,0.5,2,0.8162253566418771
QB,0.5,8,0.8148210121033149
QB,0.5,32,0.8157277528009228
QB,0.5,256,0.8155101705616757
QB,1.0,2,0.8156064531344154
QB,1.0,8,0.815005004457272
QB,1.0,32,0.81444937765555
QB,1.0,256,0.8141743401869657
QB,2.0,2,0.8148593114480422
QB,2.0,8,0.8147724062018541
QB,2.0,32,0.814845994009247
QB,2.0,256,0.8150044933740295
QB,4.0,2,0.8142334826423062
QB,4.0,8,0.8150321794181414
QB,4.0,32,0.8150574614546089
QB,4.0,256,0.815264341840345
QB,8.0,2,0.8142753244546245
QB,8.0,8,0.8133093808826979
QB,8.0,32,0.8147897490935593
QB,8.0,256,0.8155470534100442
RB,0.5,2,0.8446454864514347
RB,0.5,8,0.8442775014777066
RB,0.5,32,0.8437045483610226
RB,0.5,256,0.8429283098947083
RB,1.0,2,0.8443975185437806
RB,1.0,8,0.8443313510535422
RB,1.0,32,0.8439824415405175
RB,1.0,256,0.8446152542438611
RB,2.0,2,0.8432606112206894
RB,2.0,8,0.8439554273202416
RB,2.0,32,0.8434991382739823
RB,2.0,256,0.8438479552583822
RB,4.0,2,0.8421672635525443
RB,4.0,8,0.8425795884723347
RB,4.0,32,0.8428886173801535
RB,4.0,256,0.8424830863350317
RB,8.0,2,0.8377123835195701
RB,8.0,8,0.8391996593158402
RB,8.0,32,0.8399644171781757
RB,8.0,256,0.8394465804972953
WR,0.5,2,0.8087555134583901
WR,0.5,8,0.8089859946927217
WR,0.5,32,0.8084202458453893
WR,0.5,256,0.8078809522676665
WR,1.0,2,0.8086017274480943
WR,1.0,8,0.8097865431207031
WR,1.0,32,0.8088081293022888
WR,1.0,256,0.8079249413965988
WR,2.0,2,0.8081881427227349
WR,2.0,8,0.8093690862640053
WR,2.0,32,0.8086572344082817
WR,2.0,256,0.8076311789557822
WR,4.0,2,0.8069786171763031
WR,4.0,8,0.8078426130780775
WR,4.0,32,0.8065559902247086
WR,4.0,256,0.8063113126989273
WR,8.0,2,0.8054712782077563
WR,8.0,8,0.8051961050194247
WR,8.0,32,0.8046517792468724
WR,8.0,256,0.8039061870680887
TE,0.5,2,0.7869865937721137
TE,0.5,8,0.7850718704878578
TE,0.5,32,0.7871467030957955
TE,0.5,256,0.7875698682697555
TE,1.0,2,0.7874054462191286
TE,1.0,8,0.7889428468623385
TE,1.0,32,0.7882446264604062
TE,1.0,256,0.7877798990511623
TE,2.0,2,0.78764638036378
TE,2.0,8,0.7884626280630873
TE,2.0,32,0.7895330247351444
TE,2.0,256,0.7876465744458871
TE,4.0,2,0.789098145144448
TE,4.0,8,0.789629806035433
TE,4.0,32,0.7895664456177094
TE,4.0,256,0.7900876440300982
TE,8.0,2,0.7888466276553789
TE,8.0,8,0.7887030553409502
TE,8.0,32,0.7892544934105323
TE,8.0,256,0.7881672550292473
