pos,feature,worst_defences,best_defences,spread,n_per_bucket
QB,points allowed to the position,-0.1309596601297015,-1.207286541689412,1.0763268815597105,479
QB,pass matchup,-1.132306300002806,-1.1225098493791437,-0.0097964506236623,479
QB,rush matchup,-0.4785531390974935,-0.86969883724623,0.3911456981487365,479
RB,points allowed to the position,0.4607530147637832,-0.3934329044083818,0.854185919172165,925
RB,pass matchup,-0.2382487694263156,0.08292120340403426,-0.32116997283034987,925
RB,rush matchup,-0.04705476325445168,0.03492416466917501,-0.08197892792362668,925
WR,points allowed to the position,-0.19507309674335171,-0.3423744535164836,0.1473013567731319,1300
WR,pass matchup,-0.5608849923529788,-0.2757438326420138,-0.28514115971096504,1300
WR,rush matchup,-0.2160465679248235,-0.20577801759171202,-0.01026855033311147,1300
TE,points allowed to the position,-0.1673732104762769,-0.9230228073088405,0.7556495968325636,741
TE,pass matchup,-0.15003389562631758,-0.5650908621184981,0.41505696649218055,741
TE,rush matchup,-0.23018853608336148,-0.1268668045370033,-0.10332173154635818,741
