position,season,source,rho
QB,2022,model,0.8428743111470007
QB,2022,season to date ppg,0.7338340757458633
QB,2022,last season ppg,0.5290897538338593
QB,2023,model,0.8057867991231151
QB,2023,season to date ppg,0.6980858439437853
QB,2023,last season ppg,0.4498648263026997
QB,2024,model,0.8241781444103731
QB,2024,season to date ppg,0.7106675937556837
QB,2024,last season ppg,0.382398742036738
QB,2025,model,0.7986766480630019
QB,2025,season to date ppg,0.7001911134426744
QB,2025,last season ppg,0.4587387160795611
RB,2022,model,0.8444006838916659
RB,2022,season to date ppg,0.6898614590918777
RB,2022,last season ppg,0.5005504554961451
RB,2023,model,0.8547501843209572
RB,2023,season to date ppg,0.738098044709821
RB,2023,last season ppg,0.44909278143241105
RB,2024,model,0.8417501346086194
RB,2024,season to date ppg,0.7340108694632197
RB,2024,last season ppg,0.5753542357387059
RB,2025,model,0.8520049066197116
RB,2025,season to date ppg,0.763320102049279
RB,2025,last season ppg,0.5769788999168292
WR,2022,model,0.8076130076589478
WR,2022,season to date ppg,0.6876098664483996
WR,2022,last season ppg,0.4755151947148632
WR,2023,model,0.8115965966822218
WR,2023,season to date ppg,0.6797604084111375
WR,2023,last season ppg,0.5666584316434944
WR,2024,model,0.8172641307063637
WR,2024,season to date ppg,0.6909752821428521
WR,2024,last season ppg,0.46477817526176807
WR,2025,model,0.8062417063100639
WR,2025,season to date ppg,0.6637585699704155
WR,2025,last season ppg,0.5156783803729947
TE,2022,model,0.7834428539551798
TE,2022,season to date ppg,0.6076102353679329
TE,2022,last season ppg,0.4710862633794868
TE,2023,model,0.796467605056345
TE,2023,season to date ppg,0.6465826279759812
TE,2023,last season ppg,0.4689530973227149
TE,2024,model,0.7912680398178442
TE,2024,season to date ppg,0.6516970241660208
TE,2024,last season ppg,0.4442428258512125
TE,2025,model,0.819279018536691
TE,2025,season to date ppg,0.6421808993321018
TE,2025,last season ppg,0.48417253744360106
