n,spearman,kendall,ndcg@12,top12_overlap,regret@12,mae,rmse,crps,brier_top12,position,scoring,season,learner,n_train,consensus_spearman,consensus_regret@12,consensus_top12_overlap,prior_ppg_spearman,prior_ppg_regret@12,prior_ppg_top12_overlap,model_common_spearman,model_common_regret@12,model_common_top12_overlap
71,0.6924000221072156,0.490291636896471,0.57996190219954,0.3333333333333333,11.773333333333332,4.488937825696623,6.833349157366947,3.147330470596941,0.10304538908450704,QB,qb_4pt,2019,gbm,141,,,,,,,,,
71,0.832939461369505,0.6420626203624928,0.7629952689632259,0.4166666666666667,6.238333333333334,3.1460070293929325,4.793537290881595,2.258068455893759,0.10930679577464789,QB,qb_4pt,2020,ridge,212,,,,,,,,,
79,0.8272566570788971,0.6350961047885355,0.7709235621349699,0.5,4.3833333333333355,4.0220866854680235,5.797776037604515,2.625911003872066,0.09068037341772153,QB,qb_4pt,2021,gbm,283,0.8292727298736279,5.344999999999999,0.5833333333333334,0.487735109908589,7.675000000000002,0.5,0.8185717149249417,4.3833333333333355,0.5
72,0.8408357039683645,0.6516964704168072,0.8379593441437514,0.6666666666666666,2.569999999999998,2.6575765934420925,4.6723848556589616,2.192248576866575,0.10227858506944444,QB,qb_4pt,2022,ridge,362,0.8239427929577232,4.766666666666663,0.5833333333333334,0.5682663607167211,6.771666666666664,0.5833333333333334,0.8531298283678457,2.569999999999998,0.6666666666666666
80,0.7609158455198364,0.5601478740370309,0.5285302652395214,0.25,8.885000000000003,3.2146394217455123,5.608862188119109,2.136859382010349,0.10503402343749998,QB,qb_4pt,2023,ridge,434,0.7530324203125426,5.918333333333334,0.4166666666666667,0.5322053925790741,7.883333333333337,0.25,0.7574638908265944,8.406666666666668,0.3333333333333333
80,0.8407450083117676,0.657550382513186,0.6880113049216926,0.5833333333333334,4.561666666666663,2.8328932707329626,4.613466500603077,1.9461665429612627,0.08695003125,QB,qb_4pt,2024,gbm,514,0.838929087875929,5.146666666666666,0.5833333333333334,0.5999510773893212,7.503333333333335,0.5,0.8464376700304959,3.476666666666669,0.5833333333333334
90,0.5334636323594062,0.41127541158987585,0.6615827219343294,0.5,8.086666666666666,4.908712180062847,8.29424290393645,4.081595033064365,0.09337724444444445,QB,qb_4pt,2025,ridge,594,0.8437131814479184,6.991666666666663,0.5,0.6565979749184637,11.50666666666666,0.4166666666666667,0.5522710309798221,7.911666666666664,0.5833333333333334
71,0.6898897891839307,0.49119874445779654,0.5547863139481001,0.3333333333333333,14.963333333333338,5.615693818659032,8.693067486989792,3.915896583824217,0.10630759507042253,QB,qb_6pt,2019,gbm,141,,,,,,,,,
71,0.8384520596665306,0.6479582138570844,0.7788946132420057,0.4166666666666667,6.573333333333328,3.7312983003329894,5.7656150321055915,2.674300531762151,0.10821589436619718,QB,qb_6pt,2020,ridge,212,,,,,,,,,
79,0.8391114871984505,0.6518926500671964,0.721870228254689,0.5,7.931666666666662,4.62734313871732,7.253250140045756,3.3793067622075905,0.08961483860759493,QB,qb_6pt,2021,ridge,283,0.8311370181922144,7.011666666666666,0.5833333333333334,0.4939991186590395,10.008333333333331,0.5,0.8192774663265249,7.931666666666662,0.5
72,0.8444106576040341,0.659279936483763,0.8512323898370654,0.6666666666666666,2.853333333333339,3.1245745028200673,5.760427880849977,2.662032986119841,0.10163936631944444,QB,qb_6pt,2022,ridge,362,0.8309071516490498,6.050000000000002,0.5833333333333334,0.5823680770271035,8.221666666666666,0.5833333333333334,0.857517694067642,2.853333333333339,0.6666666666666666
80,0.7637510578016813,0.561928730747408,0.5149420121908819,0.25,11.051666666666668,3.9281936265830266,6.84335678976535,2.573052971518682,0.1033224484375,QB,qb_6pt,2023,ridge,434,0.7546785257680698,8.084999999999999,0.4166666666666667,0.5349500810438013,10.050000000000002,0.25,0.7603541202023454,10.74,0.3333333333333333
80,0.8321882290404727,0.6448115147038137,0.6699837930899136,0.5,7.2133333333333285,3.502818104768225,5.619913475062674,2.3691744443295693,0.085888596875,QB,qb_6pt,2024,gbm,514,0.8376968485243524,6.936666666666663,0.5,0.5909558159681553,9.459999999999999,0.5,0.8330474635314085,6.418333333333332,0.5
90,0.5268040280223634,0.4080113210217022,0.6373667518574531,0.5,9.086666666666664,5.710289037769332,9.632408918520019,4.644627711983677,0.09499411527777776,QB,qb_6pt,2025,ridge,594,0.8463008673971962,7.50833333333333,0.5,0.6633040906180001,12.689999999999992,0.3333333333333333,0.5429981323019453,8.761666666666661,0.5
162,0.6645174141807633,0.5069637723239387,0.6071073502092985,0.4166666666666667,9.274999999999999,4.329089108641796,6.110428784940415,2.928188555493436,0.05350990432098766,RB,ppr,2019,gbm,321,,,,,,,,,
161,0.7699417014379285,0.5779248783308201,0.6579225669245508,0.3333333333333333,10.308333333333339,3.5677585934910714,5.462417425044512,2.601791022325572,0.05716401863354036,RB,ppr,2020,ridge,483,,,,,,,,,
174,0.661900350862092,0.5114876521593978,0.714168726117436,0.4166666666666667,6.008333333333333,3.2705857168697694,4.649030538065896,2.269758532677447,0.0507672183908046,RB,ppr,2021,ridge,644,0.6982549859001939,6.283333333333331,0.5,0.5903522376101287,4.75,0.5833333333333334,0.6932984106837494,5.899999999999999,0.5
169,0.763582700807633,0.5922455369163407,0.7224633628302463,0.3333333333333333,5.4249999999999945,3.335989080705863,4.670269471395409,2.270296064857066,0.05507515532544379,RB,ppr,2022,gbm,818,0.7801297881107813,6.533333333333329,0.3333333333333333,0.7194386456506426,7.549999999999993,0.25,0.808211859989949,5.4249999999999945,0.3333333333333333
159,0.7321616942164867,0.5624859689290165,0.5998139334085292,0.3333333333333333,8.808333333333332,3.0618795121572053,4.712025412858291,2.246385030477028,0.05627923820754716,RB,ppr,2023,ridge,987,0.7310295598541546,4.283333333333329,0.5833333333333334,0.5815137052234917,4.2,0.5833333333333334,0.7313815607522732,8.158333333333331,0.3333333333333333
153,0.7667119486486752,0.6083956662529387,0.5633952935874984,0.3333333333333333,5.808333333333333,3.0368152492309575,5.10268464590424,2.2610319303895223,0.06816879901960785,RB,ppr,2024,ridge,1146,0.7541904013970325,7.8833333333333355,0.16666666666666666,0.6291959182042719,6.550000000000002,0.3333333333333333,0.7835025833026692,5.808333333333333,0.3333333333333333
194,0.5743199477086045,0.44412163919828745,0.803684210514934,0.5833333333333334,2.7916666666666643,2.39297123618688,3.6807193570019607,1.7089626121656734,0.0431667293814433,RB,ppr,2025,gbm,1299,0.8228104428174499,2.6583333333333314,0.4166666666666667,0.67996333509613,4.674999999999997,0.4166666666666667,0.6270447415223095,2.658333333333329,0.5833333333333334
162,0.6545593342531565,0.4989300318732024,0.6555454776661769,0.5,7.308333333333333,3.9601624073684727,5.67460954187692,2.679901652977868,0.05715758179012345,RB,half_ppr,2019,gbm,321,,,,,,,,,
161,0.7726295409249117,0.5830410572133488,0.6799494680727274,0.3333333333333333,8.750000000000005,3.3321840282257513,5.0256781241934325,2.3717724995232845,0.05513199145962732,RB,half_ppr,2020,ridge,483,,,,,,,,,
174,0.6743104700093365,0.5207874740595423,0.7202361644783182,0.5,5.45,2.9622128129324325,4.290413521845832,2.0426012632955772,0.0523224058908046,RB,half_ppr,2021,ridge,644,0.7045144814360167,5.775000000000001,0.4166666666666667,0.5944987102060632,4.36666666666667,0.5,0.7068140753381646,5.25,0.5
169,0.7625735157244469,0.5902237484068955,0.6381469431112554,0.25,7.916666666666667,2.9594256358916917,4.362063325066654,2.035000266844487,0.052079443786982246,RB,half_ppr,2022,ridge,818,0.7814911537773803,6.283333333333334,0.3333333333333333,0.7242491446612235,7.174999999999997,0.25,0.8120361930991485,7.916666666666667,0.25
159,0.7332603030728636,0.5622728606893033,0.5554921026759101,0.3333333333333333,8.524999999999997,2.7300946689031793,4.328763176641107,2.037880780550681,0.056890119496855344,RB,half_ppr,2023,ridge,987,0.728965454917786,4.658333333333329,0.5,0.577589878470622,4.533333333333331,0.5,0.7334407654412568,8.199999999999996,0.3333333333333333
153,0.767150342252834,0.6087872392621505,0.5344356444766853,0.3333333333333333,6.375000000000003,2.8124914380633377,4.715740894654404,2.0329045791856113,0.06167519281045752,RB,half_ppr,2024,ridge,1146,0.7542277147122628,7.508333333333333,0.16666666666666666,0.6281182202531976,6.550000000000002,0.3333333333333333,0.7831477260939226,6.375000000000003,0.3333333333333333
194,0.548740991617305,0.4243939430701932,0.8282288899099048,0.5833333333333334,2.041666666666669,2.170333219328093,3.4486450721944086,1.5177418000405567,0.037860856314433,RB,half_ppr,2025,ridge,1299,0.820942843658987,2.741666666666665,0.4166666666666667,0.6772436221809719,4.466666666666664,0.4166666666666667,0.6070049362333466,2.041666666666669,0.5833333333333334
219,0.6926299973528873,0.5208460027678938,0.3755067642138554,0.08333333333333333,17.53333333333334,4.6142540370346286,7.138917051770955,3.477207139512138,0.0523904794520548,WR,ppr,2019,gbm,408,,,,,,,,,
243,0.761471696225853,0.5897112424733423,0.5293026050734271,0.25,10.649999999999999,3.276893827067513,5.285232968581539,2.4098593340611476,0.04648913786008231,WR,ppr,2020,gbm,627,,,,,,,,,
216,0.7274089637855633,0.557435806283681,0.5740947599838756,0.3333333333333333,10.658333333333333,4.1230629954734574,5.894776061986465,2.965152161527559,0.04289952893518519,WR,ppr,2021,ridge,870,0.636480175149899,10.905000000000001,0.16666666666666666,0.5342049472648555,9.813333333333338,0.3333333333333333,0.7242926292224934,10.658333333333333,0.3333333333333333
228,0.7035399768162741,0.5253489150643119,0.7835744904673052,0.4166666666666667,6.666666666666662,3.804158397153757,5.469109032852514,2.81164633555775,0.04393815296052632,WR,ppr,2022,ridge,1086,0.6933879508317184,3.183333333333328,0.5833333333333334,0.5064008363109248,6.391666666666661,0.4166666666666667,0.7020585062825931,6.37499999999999,0.4166666666666667
213,0.6550389890629301,0.49696771040947785,0.6179019736167772,0.4166666666666667,8.250000000000007,3.98667280762214,5.786294897486017,2.8175652215347866,0.04796793661971831,WR,ppr,2023,gbm,1314,0.7114618441426522,6.341666666666669,0.4166666666666667,0.6341150755066984,8.366666666666674,0.3333333333333333,0.6856361443309253,7.975000000000006,0.4166666666666667
217,0.7460037497542235,0.5614772244104412,0.6004883118282507,0.3333333333333333,10.541666666666664,3.5805327571238843,5.221717917884022,2.4096992267660324,0.04689262096774193,WR,ppr,2024,ridge,1527,0.7624799857850199,10.491666666666667,0.25,0.6239686464006289,11.083333333333334,0.3333333333333333,0.7643040723025503,10.283333333333333,0.3333333333333333
273,0.5105951084892627,0.38244052384237814,0.46773706196559733,0.16666666666666666,10.908333333333337,3.661234984493325,5.446220840314315,2.685307014982701,0.04329053571428571,WR,ppr,2025,ridge,1744,0.7287399018472703,9.991666666666669,0.16666666666666666,0.5804761863471376,11.783333333333337,0.08333333333333333,0.5101851613883075,10.450000000000003,0.16666666666666666
219,0.6839387519567719,0.5121190175389684,0.3383967940119971,0.08333333333333333,16.55,4.04604173951347,6.370724000481927,3.006061471306835,0.05494432591324201,WR,half_ppr,2019,gbm,408,,,,,,,,,
243,0.7520334835742212,0.579508778221209,0.4434820663247576,0.25,10.59166666666667,2.919850418178575,4.650463319978739,2.065140171286522,0.0446570859053498,WR,half_ppr,2020,gbm,627,,,,,,,,,
216,0.7505857204228144,0.5788609231857198,0.5975509037662553,0.3333333333333333,8.816666666666668,3.4706550464264136,5.099414478690405,2.515478869033022,0.04355640914351852,WR,half_ppr,2021,ridge,870,0.6275549602182889,10.355000000000002,0.25,0.5211202172239578,9.09666666666667,0.3333333333333333,0.7381750536957173,8.816666666666668,0.3333333333333333
228,0.7011278073497654,0.523499233511181,0.7638440938104281,0.4166666666666667,5.499999999999997,3.2882814451427897,4.726377938507918,2.328837245201036,0.04282640679824562,WR,half_ppr,2022,ridge,1086,0.6871603751393153,2.9833333333333343,0.5833333333333334,0.5001109746536895,5.733333333333334,0.4166666666666667,0.69730675777817,5.18333333333333,0.4166666666666667
213,0.653654781184456,0.49510772535122155,0.6547082736871082,0.5,6.4333333333333345,3.2567954056498363,4.808912771412716,2.3363340397719954,0.045889660798122074,WR,half_ppr,2023,gbm,1314,0.697790266018725,6.008333333333333,0.4166666666666667,0.6218725127786465,7.783333333333336,0.3333333333333333,0.6852127862834393,6.291666666666669,0.5
217,0.7299808201990059,0.5511159594062368,0.5384578400973535,0.25,10.225000000000001,3.24161721938392,4.746556230629643,2.144592214453054,0.04717023041474654,WR,half_ppr,2024,gbm,1527,0.7570875166319055,10.04166666666667,0.25,0.6164312802282862,10.133333333333335,0.25,0.7564838728092319,9.808333333333335,0.25
273,0.5222476910132982,0.3911343902236586,0.4289000973739948,0.16666666666666666,9.691666666666668,3.060554646625702,4.644375472173035,2.247860741291497,0.042515817765567766,WR,half_ppr,2025,ridge,1744,0.7199370465365401,8.891666666666667,0.08333333333333333,0.5694669875380528,10.350000000000001,0.08333333333333333,0.5112088674265796,9.141666666666667,0.16666666666666666
115,0.5995338348048943,0.4565732683656297,0.42450227066076357,0.3333333333333333,10.075000000000001,2.95283498829183,5.216674186136949,2.2925917233474604,0.0820053347826087,TE,ppr,2019,ridge,239,,,,,,,,,
130,0.7209929735123923,0.5555211882761711,0.6000826004758656,0.4166666666666667,5.491666666666668,2.487279181819686,3.79663447917301,1.6919745491706748,0.06582082403846154,TE,ppr,2020,ridge,354,,,,,,,,,
128,0.6483564880582032,0.5106403581031747,0.7649726929599492,0.5833333333333334,4.19166666666667,2.59833413048886,4.792223489997629,1.9674703084708547,0.06379162792968751,TE,ppr,2021,ridge,484,0.6069893497111148,4.158333333333334,0.6666666666666666,0.44140723687602623,4.99166666666667,0.5833333333333334,0.562120419471578,4.183333333333337,0.5833333333333334
126,0.6059317239966722,0.45821524366405747,0.5616468256998867,0.3333333333333333,5.975000000000001,3.0056001040943077,5.404399216110322,1.826968656625624,0.07227442261904762,TE,ppr,2022,ridge,612,0.6360505864419721,4.0583333333333345,0.5833333333333334,0.4250490380577641,4.966666666666669,0.4166666666666667,0.5908065085034705,5.625000000000001,0.4166666666666667
125,0.6079182138432214,0.4571570632293046,0.5429180479979646,0.3333333333333333,3.5750000000000015,2.2793530192967943,3.2077359833806245,1.5262481154181233,0.07973043399999999,TE,ppr,2023,ridge,738,0.5672551121181003,4.775000000000001,0.25,0.5244414915860326,4.616666666666667,0.3333333333333333,0.6034071530362233,3.508333333333333,0.4166666666666667
124,0.704909368219347,0.5324101095777984,0.4104047647826393,0.4166666666666667,5.241666666666667,2.0846811717398586,3.3748704894528387,1.3317644964869366,0.06966085987903224,TE,ppr,2024,ridge,863,0.6364693218219433,4.2749999999999995,0.5833333333333334,0.46945412759296234,6.066666666666667,0.3333333333333333,0.6836680679780758,4.816666666666667,0.4166666666666667
141,0.409402534338159,0.3149890563026901,0.7215262567461784,0.4166666666666667,4.416666666666667,2.4545838212918256,3.6319286066437724,1.9023872935123827,0.06451940336879432,TE,ppr,2025,ridge,987,0.7036955154294281,3.5666666666666678,0.5,0.5692460130342181,3.5916666666666663,0.5833333333333334,0.38731021068815136,4.016666666666666,0.5
115,0.5786460202029056,0.4417562397757786,0.3505249666744262,0.25,9.433333333333334,2.4454410191248286,4.398551233336651,1.896535681765513,0.08369060108695653,TE,half_ppr,2019,gbm,239,,,,,,,,,
130,0.65768861317465,0.5004953624384877,0.5588533406136105,0.3333333333333333,5.391666666666668,2.1054755895845068,3.3303451771265995,1.4148716202066902,0.06894968557692309,TE,half_ppr,2020,ridge,354,,,,,,,,,
128,0.6583080155226966,0.5062917952552324,0.6552530929621622,0.5833333333333334,4.183333333333334,2.3795569378751846,3.907681834128364,1.6101410915732555,0.0622543525390625,TE,half_ppr,2021,gbm,484,0.6029024644057214,3.8416666666666663,0.6666666666666666,0.43933977490632464,4.466666666666666,0.5833333333333334,0.5053928366922789,4.183333333333334,0.5833333333333334
126,0.5615805445272523,0.4281419522694238,0.40069548215937345,0.4166666666666667,5.041666666666668,2.344824995542122,3.556936005965669,1.5491285445561684,0.07246613591269842,TE,half_ppr,2022,gbm,612,0.6269254518794857,3.85,0.5833333333333334,0.41763771447342496,4.716666666666669,0.4166666666666667,0.5516691574506206,5.041666666666668,0.4166666666666667
125,0.6147100695425551,0.46439313281970956,0.432703103276589,0.4166666666666667,3.7333333333333343,1.8116873170078869,2.645645001775106,1.1783892002383183,0.07915759599999998,TE,half_ppr,2023,ridge,738,0.5636530158657163,4.000000000000001,0.4166666666666667,0.5180989266215862,4.133333333333334,0.3333333333333333,0.6001078524862686,3.7166666666666672,0.4166666666666667
124,0.7303983298312567,0.5553566962605397,0.38961132246759483,0.4166666666666667,4.416666666666668,1.689011502454712,2.7661347137580883,1.0260801345929353,0.06977349193548386,TE,half_ppr,2024,ridge,863,0.6364256455045293,3.8583333333333343,0.5,0.469581770049772,5.316666666666667,0.3333333333333333,0.7177738543716425,4.108333333333334,0.4166666666666667
141,0.45511954025316403,0.3413072988691926,0.7141126397463216,0.4166666666666667,3.725,1.944845028125087,2.941457497342689,1.526007783022881,0.06794968085106382,TE,half_ppr,2025,ridge,987,0.7015385223153752,2.9833333333333343,0.5,0.566952120819899,3.0499999999999994,0.5833333333333334,0.42662683193498907,3.475,0.5
