position,scoring,source,spearman,ndcg@12,top12_overlap,regret@12
QB,qb_4pt,consensus,0.497,0.788,0.533,5.37
QB,qb_4pt,model,0.483,0.717,0.533,5.736
QB,qb_4pt,prior_ppg,0.259,0.707,0.5,6.846
QB,qb_6pt,consensus,0.515,0.77,0.533,6.761
QB,qb_6pt,model,0.469,0.701,0.483,7.281
QB,qb_6pt,prior_ppg,0.266,0.68,0.467,8.605
RB,half_ppr,consensus,0.596,0.713,0.367,4.928
RB,half_ppr,model,0.522,0.678,0.428,5.316
RB,half_ppr,prior_ppg,0.492,0.698,0.4,4.963
RB,ppr,consensus,0.6,0.735,0.417,5.052
RB,ppr,model,0.542,0.706,0.467,5.089
RB,ppr,prior_ppg,0.499,0.716,0.45,5.096
TE,half_ppr,consensus,0.427,0.628,0.583,3.36
TE,half_ppr,model,0.332,0.548,0.528,3.864
TE,half_ppr,prior_ppg,0.316,0.577,0.539,3.727
TE,ppr,consensus,0.435,0.644,0.55,3.992
TE,ppr,model,0.326,0.572,0.472,4.679
TE,ppr,prior_ppg,0.323,0.597,0.533,4.392
WR,half_ppr,consensus,0.426,0.619,0.322,7.462
WR,half_ppr,model,0.368,0.592,0.311,8.255
WR,half_ppr,prior_ppg,0.332,0.549,0.3,8.363
WR,ppr,consensus,0.438,0.647,0.322,7.985
WR,ppr,model,0.387,0.619,0.317,8.974
WR,ppr,prior_ppg,0.347,0.574,0.3,9.212
