seed,position,scoring,season,source,captured_top12,captured_top24_in_top24,set_overlap_topN,pts_top12,regret_per_starter,median_true_finish_of_top12,busts_in_top12,spearman_shared,n_shared
17,QB,qb_4pt,2021,model,7.0,17.0,33.0,268.90000000000003,5.074999999999998,9.5,1.0,0.725359813453714,48
17,QB,qb_4pt,2021,consensus,7.0,16.0,33.0,265.66,5.344999999999999,8.5,1.0,0.6598002795174865,46
17,QB,qb_4pt,2021,prior_ppg,6.0,14.0,25.0,237.7,7.675000000000002,16.0,2.0,0.20283945765947978,43
17,QB,qb_4pt,2022,model,8.0,19.0,33.0,264.38,1.3866666666666656,7.5,0.0,0.7817506124904621,46
17,QB,qb_4pt,2022,consensus,7.0,17.0,31.0,223.82000000000002,4.766666666666663,10.0,1.0,0.7052377704803849,46
17,QB,qb_4pt,2022,prior_ppg,8.0,14.0,26.0,218.84000000000003,5.181666666666662,9.5,2.0,0.3565449719641621,44
17,QB,qb_4pt,2023,model,4.0,17.0,32.0,133.52,8.745000000000003,20.5,3.0,0.508201311739991,44
17,QB,qb_4pt,2023,consensus,5.0,19.0,32.0,162.54000000000002,6.326666666666668,17.5,2.0,0.5632475754155316,44
17,QB,qb_4pt,2023,prior_ppg,3.0,15.0,26.0,138.95999999999998,8.291666666666671,20.5,3.0,0.15260846551751733,41
17,QB,qb_4pt,2024,model,7.0,19.0,33.0,223.88,3.3916666666666706,9.5,0.0,0.8599081932233357,50
17,QB,qb_4pt,2024,consensus,8.0,19.0,33.0,221.20000000000005,3.6149999999999998,10.5,0.0,0.8097477015678513,50
17,QB,qb_4pt,2024,prior_ppg,6.0,18.0,24.0,176.04000000000002,7.378333333333335,13.0,2.0,0.4124487740076096,44
17,QB,qb_4pt,2025,model,6.0,13.0,27.0,228.57999999999998,7.953333333333333,12.0,0.0,0.3969127439749554,46
17,QB,qb_4pt,2025,consensus,5.0,15.0,35.0,238.02,7.166666666666664,13.5,0.0,0.7354855455594159,45
17,QB,qb_4pt,2025,prior_ppg,4.0,14.0,30.0,183.84000000000003,11.681666666666663,21.5,2.0,0.2426923264650963,40
17,QB,qb_6pt,2021,model,6.0,16.0,33.0,319.35999999999996,7.203333333333333,11.5,1.0,0.7053747418093251,48
17,QB,qb_6pt,2021,consensus,7.0,16.0,33.0,321.65999999999997,7.011666666666666,8.5,1.0,0.6679711808118208,46
17,QB,qb_6pt,2021,prior_ppg,6.0,14.0,25.0,285.7,10.008333333333331,16.0,2.0,0.21700167204561457,43
17,QB,qb_6pt,2022,model,7.0,20.0,33.0,273.32,5.425000000000002,9.0,2.0,0.7723182802026148,46
17,QB,qb_6pt,2022,consensus,7.0,18.0,31.0,265.82,6.050000000000002,9.5,1.0,0.7258056933786318,46
17,QB,qb_6pt,2022,prior_ppg,8.0,14.0,26.0,262.84000000000003,6.298333333333332,9.0,2.0,0.38640308826682435,44
17,QB,qb_6pt,2023,model,5.0,17.0,32.0,175.98000000000002,9.206666666666669,17.0,2.0,0.5515312246794192,45
17,QB,qb_6pt,2023,consensus,5.0,19.0,32.0,186.54000000000002,8.326666666666668,17.0,2.0,0.5986837193493466,45
17,QB,qb_6pt,2023,prior_ppg,3.0,15.0,26.0,162.95999999999998,10.291666666666671,19.5,3.0,0.20029249821122053,42
17,QB,qb_6pt,2024,model,6.0,19.0,33.0,241.54000000000002,5.543333333333332,12.5,0.0,0.8394505809403146,50
17,QB,qb_6pt,2024,consensus,7.0,19.0,33.0,249.20000000000005,4.904999999999997,9.5,0.0,0.8141736273021586,50
17,QB,qb_6pt,2024,prior_ppg,6.0,17.0,24.0,204.04000000000002,8.668333333333331,12.5,2.0,0.3992181996670587,44
17,QB,qb_6pt,2025,model,5.0,15.0,27.0,226.54000000000002,11.62333333333333,19.5,0.0,0.3718906639765343,46
17,QB,qb_6pt,2025,consensus,5.0,17.0,35.0,272.02,7.833333333333333,13.5,0.0,0.739619734482778,45
17,QB,qb_6pt,2025,prior_ppg,4.0,14.0,30.0,209.84000000000003,13.014999999999995,19.5,2.0,0.2731352283434606,40
17,RB,half_ppr,2021,model,5.0,14.0,26.0,152.10000000000002,6.5,14.5,2.0,0.5660975526956418,49
17,RB,half_ppr,2021,consensus,4.0,14.0,24.0,140.8,7.441666666666667,22.0,3.0,0.5382680463006757,47
17,RB,half_ppr,2021,prior_ppg,6.0,14.0,24.0,165.2,5.408333333333336,13.0,2.0,0.4605397990692521,45
17,RB,half_ppr,2022,model,4.0,13.0,25.0,165.1,7.349999999999999,18.5,0.0,0.49786782613746566,48
17,RB,half_ppr,2022,consensus,4.0,11.0,23.0,181.79999999999998,5.958333333333333,19.0,0.0,0.4040264473361289,47
