dim,cont_intercept,cont_team_lag,cont_r2,cont_n,chg_intercept,chg_team_lag,chg_caller_prior,chg_r2,chg_n
plays_per_game,0.009991785519153707,0.3736089030410159,0.1288693279345402,474,-0.006233172995945312,0.34060657476147166,0.5585612499078997,0.2764005205782091,37.0
sec_per_play,0.022009706431246577,0.6105821409315141,0.3950700698629491,474,0.017186841919402812,0.2984775378928834,0.2841858330656093,0.16000807586904753,37.0
proe,0.04291547134624301,0.5008479375569038,0.267136244588833,474,-0.16961966130438172,0.31369105213895976,0.3764157638450567,0.11592203607380147,37.0
neutral_pass_rate,0.03885384882222827,0.43992785970562076,0.20348813008759614,474,-0.2023838873163782,0.27149405393116377,0.7851855127796004,0.22853240427295674,37.0
early_down_pass_rate,0.03839490572217148,0.46556649285920093,0.22238779818189014,474,-0.20474681796268468,0.2386958735116772,0.8053445165628007,0.3020019146283218,37.0
shotgun_rate,0.01646248851840116,0.7151726693848889,0.501939604273099,474,0.04898511103753195,0.33445926985219726,0.3472991064861413,0.14268437087184627,37.0
no_huddle_rate,-0.0008411546299259413,0.6655961223567165,0.44591173071748924,474,0.09925862058706164,0.004893597076912393,0.5690896942204686,0.22001103482122164,37.0
adot,0.002583448353729684,0.40119075297543616,0.17195433706377405,474,0.057155280945127285,0.49154921960352294,0.06941588871020905,0.1421555533516935,37.0
deep_rate,-0.006576045640842082,0.36608821366266237,0.13813936310629915,474,0.18010356680482084,0.47886059569518175,-0.05476803271959561,0.09326805963870055,37.0
short_rate,-0.012456752863029642,0.458269807600338,0.2315260788124227,474,0.14255475624336725,0.38528990965418997,0.12048185662421702,0.12227192296358358,37.0
rb_target_share,-0.017758530112177814,0.5060976886380271,0.2543735961435204,415,0.1850689464222673,0.4688332610404109,0.4493610475266401,0.3609485686945363,35.0
te_target_share,0.027331647096802393,0.5061735865711725,0.2720391009259616,415,-0.2755082640286711,0.3832412779831867,0.11969797016381944,0.2065164297960551,35.0
wr_target_share,-0.006287925900836504,0.49073270710704764,0.24472929045401426,415,0.06391490891553508,0.36249744732971834,0.11289825096515506,0.2047210340563097,35.0
rz_pass_rate,0.014051690031801789,0.4275892519824253,0.1795691793813664,474,-0.13071364459392035,0.31942543352208796,0.31900223148082446,0.07955271512728301,37.0
gl_rush_rate,-0.007327521044677227,0.34088559339880764,0.11092143985648739,474,-0.04404257109819821,-0.04583109515500955,0.29944662050220927,0.06029517344464341,37.0
qb_designed_run_rate,-0.026829756024450178,0.6666350919276396,0.46025225190129926,474,0.39374947322243126,1.201450527695129,-0.003000410431562247,0.3912505524662889,37.0
sack_rate,-0.010924787641554108,0.3812371704115396,0.13771711024677924,474,0.329681710060682,0.3383723527072465,-0.07608036332707173,0.14155669763387435,37.0
pa_rate,0.0013450071859640615,0.46391235231978234,0.21967974077427244,76,,,,,
motion_rate,-0.04792401369253374,0.7523080019485985,0.563281497512756,76,,,,,
screen_rate,0.10621612401318875,0.25442511609532836,0.062304729474333076,76,,,,,
rpo_rate,-0.02159368456581763,0.4289520224573246,0.2295722795127375,76,,,,,
heavy_backfield_rate,0.01366103292995845,0.6819622208986058,0.4576671196876767,76,,,,,
