qb_id,player_name,seasons,n_quadrants,first_q,last_q
00-0019596,Tom Brady,6,2,2. Efficient + no legs,4. Inefficient + no legs
00-0020531,Drew Brees,4,1,2. Efficient + no legs,2. Efficient + no legs
00-0022924,Ben Roethlisberger,4,2,2. Efficient + no legs,4. Inefficient + no legs
00-0022942,Philip Rivers,4,1,2. Efficient + no legs,2. Efficient + no legs
00-0023459,Aaron Rodgers,7,3,1. Efficient + legs,4. Inefficient + no legs
00-0026143,Matt Ryan,6,2,2. Efficient + no legs,4. Inefficient + no legs
00-0026498,Matthew Stafford,7,2,4. Inefficient + no legs,2. Efficient + no legs
00-0027939,Cam Newton,3,2,3. Inefficient + legs,3. Inefficient + legs
00-0027973,Andy Dalton,4,1,4. Inefficient + no legs,4. Inefficient + no legs
00-0029263,Russell Wilson,8,3,3. Inefficient + legs,3. Inefficient + legs
00-0029604,Kirk Cousins,7,2,4. Inefficient + no legs,4. Inefficient + no legs
00-0029701,Ryan Tannehill,5,4,4. Inefficient + no legs,2. Efficient + no legs
00-0030565,Geno Smith,4,3,3. Inefficient + legs,4. Inefficient + no legs
00-0031280,Derek Carr,8,2,4. Inefficient + no legs,2. Efficient + no legs
00-0031345,Jimmy Garoppolo,3,1,2. Efficient + no legs,2. Efficient + no legs
00-0031503,Jameis Winston,3,2,2. Efficient + no legs,1. Efficient + legs
00-0032268,Marcus Mariota,3,1,3. Inefficient + legs,3. Inefficient + legs
00-0032950,Carson Wentz,5,4,1. Efficient + legs,4. Inefficient + no legs
00-0033077,Dak Prescott,7,3,3. Inefficient + legs,2. Efficient + no legs
00-0033106,Jared Goff,9,2,2. Efficient + no legs,2. Efficient + no legs
00-0033119,Jacoby Brissett,4,3,3. Inefficient + legs,4. Inefficient + no legs
00-0033537,Deshaun Watson,3,1,1. Efficient + legs,1. Efficient + legs
00-0033869,Mitchell Trubisky,3,3,3. Inefficient + legs,4. Inefficient + no legs
00-0033873,Patrick Mahomes,8,1,1. Efficient + legs,1. Efficient + legs
00-0034796,Lamar Jackson,7,2,1. Efficient + legs,3. Inefficient + legs
00-0034855,Baker Mayfield,8,4,4. Inefficient + no legs,3. Inefficient + legs
00-0034857,Josh Allen,8,2,3. Inefficient + legs,1. Efficient + legs
00-0034869,Sam Darnold,6,3,4. Inefficient + no legs,2. Efficient + no legs
00-0035228,Kyler Murray,5,2,3. Inefficient + legs,1. Efficient + legs
00-0035710,Daniel Jones,6,2,3. Inefficient + legs,2. Efficient + no legs
00-0036212,Tua Tagovailoa,5,2,4. Inefficient + no legs,4. Inefficient + no legs
00-0036264,Jordan Love,3,2,1. Efficient + legs,2. Efficient + no legs
00-0036355,Justin Herbert,6,3,1. Efficient + legs,3. Inefficient + legs
00-0036389,Jalen Hurts,5,1,1. Efficient + legs,1. Efficient + legs
00-0036442,Joe Burrow,4,2,1. Efficient + legs,2. Efficient + no legs
00-0036945,Justin Fields,3,1,3. Inefficient + legs,3. Inefficient + legs
00-0036971,Trevor Lawrence,4,2,3. Inefficient + legs,1. Efficient + legs
00-0036972,Mac Jones,3,2,2. Efficient + no legs,4. Inefficient + no legs
00-0039150,Bryce Young,3,1,3. Inefficient + legs,3. Inefficient + legs
00-0039163,C.J. Stroud,3,3,2. Efficient + no legs,1. Efficient + legs
