qb_id,player_name,rd,pk,seasons,rush,designed,scramble,epa,fpg,qb1,best,y0,y1,career_q,quadrant
00-0034857,Josh Allen,1,7,8,35.5625,11.96875,24.909926470588236,0.16717103930519206,23.23533088235294,7,1,2018,2025,1,EFFICIENT + RUSHING
00-0020245,Mike Vick,1,1,2,51.46474358974359,9.166666666666668,42.29807692307692,0.15668138992622205,21.95673076923077,2,1,2010,2011,1,EFFICIENT + RUSHING
00-0036389,Jalen Hurts,2,53,5,43.266666666666666,18.933333333333334,21.4,0.09525927701942519,21.048235294117646,5,2,2021,2025,1,EFFICIENT + RUSHING
00-0039910,Jayden Daniels,1,2,1,53.05882352941177,19.11764705882353,33.94117647058823,0.17752486210077809,20.99529411764706,1,5,2024,2024,1,EFFICIENT + RUSHING
00-0033873,Patrick Mahomes,1,10,8,21.598039215686278,0.9096638655462186,20.582720588235293,0.2481674523097213,20.97840336134454,8,1,2018,2025,1,EFFICIENT + RUSHING
00-0033537,Deshaun Watson,1,12,3,28.375,8.133333333333333,24.6875,0.15258642180498214,20.965333333333334,3,4,2018,2020,1,EFFICIENT + RUSHING
00-0036442,Joe Burrow,1,1,4,13.535294117647059,2.96875,10.179411764705883,0.15715587090354155,20.84264705882353,3,2,2020,2024,1,EFFICIENT + RUSHING
00-0034796,Lamar Jackson,1,32,7,64.33333333333333,32.0,24.176470588235293,0.10375037403751193,20.7575,4,1,2019,2025,1,EFFICIENT + RUSHING
00-0029668,Andrew Luck,1,1,5,17.8125,0.8125,17.6875,0.12154039336614111,20.5075,5,2,2012,2018,1,EFFICIENT + RUSHING
00-0023459,Aaron Rodgers,1,24,15,17.125,0.5,12.6875,0.19716600682325133,20.378666666666668,12,1,2008,2025,1,EFFICIENT + RUSHING
00-0027939,Cam Newton,1,1,9,40.13333333333333,24.857142857142858,13.857142857142858,0.0692171237007925,18.861250000000002,6,1,2011,2020,1,EFFICIENT + RUSHING
00-0029665,Robert Griffin III,1,2,2,46.42307692307692,25.387179487179488,21.03589743589744,0.1154912728180513,18.82128205128205,1,5,2012,2013,1,EFFICIENT + RUSHING
00-0033077,Dak Prescott,4,135,8,16.927083333333332,6.15625,10.705882352941178,0.17283602212631255,18.291617647058825,7,2,2016,2025,1,EFFICIENT + RUSHING
00-0035228,Kyler Murray,1,1,5,34.875,19.636363636363637,18.818181818181817,0.0774802105308468,18.274545454545454,4,4,2019,2024,1,EFFICIENT + RUSHING
00-0039732,Bo Nix,1,12,2,24.147058823529413,4.5,19.647058823529413,0.08852159644696617,18.186470588235295,2,7,2024,2025,1,EFFICIENT + RUSHING
00-0037834,Brock Purdy,7,262,2,15.777083333333334,1.4645833333333333,14.3125,0.24777181530868403,18.183875,1,6,2023,2024,1,EFFICIENT + RUSHING
00-0028118,Tyrod Taylor,6,180,3,39.06666666666667,13.428571428571429,23.733333333333334,0.10948389686445269,18.101333333333333,1,8,2015,2017,1,EFFICIENT + RUSHING
