qb_id,player_name,rd,pk,seasons,rush,designed,scramble,epa,fpg,qb1,best,y0,y1,career_q,quadrant
00-0034857,Josh Allen,1,7,8,35.5625,11.96875,24.909926470588236,0.16717103930519206,23.23533088235294,7,1,2018,2025,1,EFFICIENT + RUSHING
00-0036389,Jalen Hurts,2,53,5,43.266666666666666,18.933333333333334,21.4,0.09525927701942519,21.048235294117646,5,2,2021,2025,1,EFFICIENT + RUSHING
00-0039910,Jayden Daniels,1,2,1,53.05882352941177,19.11764705882353,33.94117647058823,0.17752486210077809,20.99529411764706,1,5,2024,2024,1,EFFICIENT + RUSHING
00-0033873,Patrick Mahomes,1,10,8,21.598039215686278,0.9096638655462186,20.582720588235293,0.2481674523097213,20.97840336134454,8,1,2018,2025,1,EFFICIENT + RUSHING
00-0033537,Deshaun Watson,1,12,3,28.375,8.133333333333333,24.6875,0.15258642180498214,20.965333333333334,3,4,2018,2020,1,EFFICIENT + RUSHING
00-0034796,Lamar Jackson,1,32,7,64.33333333333333,32.0,24.176470588235293,0.10375037403751193,20.7575,4,1,2019,2025,1,EFFICIENT + RUSHING
00-0033077,Dak Prescott,4,135,7,15.916666666666666,7.5625,10.352941176470589,0.17229255703438032,18.52823529411765,6,2,2017,2025,1,EFFICIENT + RUSHING
00-0035228,Kyler Murray,1,1,5,34.875,19.636363636363637,18.818181818181817,0.0774802105308468,18.274545454545454,4,4,2019,2024,1,EFFICIENT + RUSHING
00-0039732,Bo Nix,1,12,2,24.147058823529413,4.5,19.647058823529413,0.08852159644696617,18.186470588235295,2,7,2024,2025,1,EFFICIENT + RUSHING
00-0037834,Brock Purdy,7,262,2,15.777083333333334,1.4645833333333333,14.3125,0.24777181530868403,18.183875,1,6,2023,2024,1,EFFICIENT + RUSHING
00-0036355,Justin Herbert,1,6,6,18.64932126696833,1.9411764705882353,17.352941176470587,0.09459193945590894,17.993269230769233,5,2,2020,2025,1,EFFICIENT + RUSHING
00-0031503,Jameis Winston,1,1,3,16.375,0.875,15.5,0.08429810988730611,17.834545454545456,1,5,2017,2019,1,EFFICIENT + RUSHING
00-0039851,Drake Maye,1,3,2,30.29864253393665,2.0271493212669682,28.271493212669682,0.1617019264752221,17.21665158371041,1,2,2024,2025,1,EFFICIENT + RUSHING
00-0023436,Alex Smith,1,1,2,19.78333333333333,3.6333333333333337,16.15,0.08125016596650488,16.694333333333333,1,4,2017,2018,1,EFFICIENT + RUSHING
00-0029701,Ryan Tannehill,1,8,5,16.41176470588235,5.352941176470588,9.25,0.06782510540559913,15.838823529411764,2,7,2018,2022,1,EFFICIENT + RUSHING
00-0039163,C.J. Stroud,1,2,3,14.294117647058824,0.9333333333333333,13.857142857142858,0.10817651520978626,14.93142857142857,1,10,2023,2025,1,EFFICIENT + RUSHING
00-0036442,Joe Burrow,1,1,4,13.535294117647059,2.96875,10.179411764705883,0.15715587090354155,20.84264705882353,3,2,2020,2024,2,EFFICIENT + NOT RUSHING
00-0029668,Andrew Luck,1,1,1,10.25,0.25,10.0,0.14166830830534044,20.5075,1,5,2018,2018,2,EFFICIENT + NOT RUSHING
00-0020531,Drew Brees,2,32,4,1.4166666666666667,0.6666666666666667,0.75,0.19773724970689965,18.967666666666666,2,8,2017,2020,2,EFFICIENT + NOT RUSHING
00-0019596,Tom Brady,6,199,6,2.5625,0.71875,1.8125,0.16816870972330322,18.04625,5,3,2017,2022,2,EFFICIENT + NOT RUSHING
00-0022924,Ben Roethlisberger,1,11,4,3.1,0.33333333333333337,2.7666666666666666,0.11325573047642815,17.726,2,3,2017,2021,2,EFFICIENT + NOT RUSHING
00-0023459,Aaron Rodgers,1,24,7,7.125,0.1875,6.9375,0.0977446843176728,17.517500000000002,4,2,2018,2025,2,EFFICIENT + NOT RUSHING
00-0033106,Jared Goff,1,1,9,4.333333333333333,0.4,4.0588235294117645,0.1567114119763031,17.110666666666663,6,6,2017,2025,2,EFFICIENT + NOT RUSHING
00-0026498,Matthew Stafford,1,1,7,5.0,0.13333333333333333,4.5625,0.09247190039502409,16.32875,3,3,2017,2025,2,EFFICIENT + NOT RUSHING
00-0022942,Philip Rivers,1,4,4,0.84375,-0.09375,0.9375,0.17514720795808175,16.039375,2,8,2017,2020,2,EFFICIENT + NOT RUSHING
00-0026143,Matt Ryan,1,3,6,7.333333333333334,0.29375,7.083333333333334,0.07110121717421164,16.010625,3,2,2017,2022,2,EFFICIENT + NOT RUSHING
00-0036212,Tua Tagovailoa,1,5,5,4.9411764705882355,0.07692307692307693,5.181818181818182,0.17426852545210683,15.962352941176471,1,11,2021,2025,2,EFFICIENT + NOT RUSHING
00-0036264,Jordan Love,1,26,3,14.066666666666666,1.8666666666666667,11.941176470588236,0.13702603519863527,15.756,1,5,2023,2025,2,EFFICIENT + NOT RUSHING
00-0031237,Teddy Bridgewater,1,32,2,13.533333333333333,0.930952380952381,12.602380952380951,0.107379852043201,15.323999999999998,0,18,2020,2021,2,EFFICIENT + NOT RUSHING
00-0031345,Jimmy Garoppolo,2,62,3,3.933333333333333,2.4545454545454546,1.4666666666666666,0.16124944891403964,15.22,0,13,2019,2022,2,EFFICIENT + NOT RUSHING
00-0027939,Cam Newton,1,1,3,40.13333333333333,27.8,13.857142857142858,0.01898496666807003,18.861250000000002,2,2,2017,2020,3,NOT EFFICIENT + RUSHING
00-0029263,Russell Wilson,3,75,8,23.12291666666667,4.41875,17.833333333333336,0.04912615570218279,18.109375,4,1,2017,2024,3,NOT EFFICIENT + RUSHING
00-0036945,Justin Fields,1,11,3,51.15384615384615,23.46153846153846,30.583333333333332,-0.07221411123662345,17.767692307692307,1,6,2021,2023,3,NOT EFFICIENT + RUSHING
00-0032950,Carson Wentz,1,2,5,15.75,4.75,11.0,0.03749765765881938,17.2975,2,5,2017,2021,3,NOT EFFICIENT + RUSHING
00-0040691,Jaxson Dart,1,25,1,35.142857142857146,14.428571428571429,20.714285714285715,0.0498201439273581,17.291428571428572,0,13,2025,2025,3,NOT EFFICIENT + RUSHING
00-0036971,Trevor Lawrence,1,1,4,20.941176470588236,4.117647058823529,16.0,0.03478906066475219,16.903676470588234,3,4,2021,2025,3,NOT EFFICIENT + RUSHING
00-0039918,Caleb Williams,1,1,2,26.323529411764707,4.147058823529411,22.176470588235293,0.029260533179363207,16.61235294117647,1,6,2024,2025,3,NOT EFFICIENT + RUSHING
00-0023682,Ryan Fitzpatrick,7,250,1,17.266666666666666,-0.5333333333333333,17.8,0.04219947665981985,16.204,0,17,2019,2019,3,NOT EFFICIENT + RUSHING
00-0035710,Daniel Jones,1,6,6,27.654545454545456,16.61038961038961,12.987012987012987,-0.03839492841008221,15.821118881118881,1,9,2019,2025,3,NOT EFFICIENT + RUSHING
00-0033949,Joshua Dobbs,4,135,1,32.76923076923077,11.153846153846153,21.615384615384617,-0.11528223059781652,15.473846153846154,0,20,2023,2023,3,NOT EFFICIENT + RUSHING
