qb_id,player_name,rd,pk,draft_day,seasons,med_rush_pg,med_designed_pg,med_scramble_pg,med_epa_db,med_fp_pg,qb1_seasons,best_rank,first_season,last_season,quadrant
00-0005106,Brett Favre,2,33,Day 2,3,1.2307692307692308,0.5625,1.0769230769230769,0.014523311484424697,11.9925,1,3,2008,2010,4. Inefficient + no legs
00-0007091,Matt Hasselbeck,6,187,Day 3,3,5.0,1.4285714285714286,3.5714285714285716,-0.055712146130389134,11.518571428571429,0,19,2009,2011,4. Inefficient + no legs
00-0010346,Peyton Manning,1,1,Round 1,6,0.9375,-0.09375,0.34375,0.242267334358868,18.758125,6,1,2008,2014,2. Efficient + no legs
00-0011022,Donovan McNabb,1,2,Round 1,3,11.071428571428571,1.0769230769230769,9.25,0.09468710669087531,15.26,2,8,2008,2010,1. Efficient + legs
00-0019596,Tom Brady,6,199,Day 3,14,2.78125,0.8541666666666667,2.0625,0.18751660862753455,18.661875000000002,11,2,2009,2022,2. Efficient + no legs
00-0020531,Drew Brees,2,32,Day 2,13,2.0,0.2727272727272727,1.5,0.15458604801520753,20.378666666666668,11,1,2008,2020,2. Efficient + no legs
00-0021231,David Garrard,4,108,Day 3,3,20.625,5.625,15.375,0.02581920826942006,13.86125,1,10,2008,2010,3. Inefficient + legs
00-0021429,Carson Palmer,1,1,Round 1,7,2.6,0.06666666666666667,2.5,0.03663375033693263,13.97125,1,5,2009,2016,4. Inefficient + no legs
00-0021678,Tony Romo,,,Undrafted,6,4.334134615384615,0.0625,4.185096153846153,0.1346124802894211,17.382333333333335,6,6,2008,2014,2. Efficient + no legs
00-0022787,Matt Schaub,3,90,Day 2,5,2.25,0.3125,1.75,0.14828571203321522,15.876,2,4,2008,2012,2. Efficient + no legs
00-0022803,Eli Manning,1,1,Round 1,11,2.375,0.0,2.5625,0.06934371907332858,14.548750000000002,5,6,2008,2018,2. Efficient + no legs
00-0022924,Ben Roethlisberger,1,11,Round 1,13,5.4,0.4,5.0,0.14772362520491547,17.53066666666667,5,3,2008,2021,2. Efficient + no legs
00-0022942,Philip Rivers,1,4,Round 1,13,2.5625,-0.0625,2.875,0.17465491136768532,16.86,9,3,2008,2020,2. Efficient + no legs
00-0023436,Alex Smith,1,1,Round 1,9,17.2,2.3636363636363638,13.1,0.05940094472999595,14.693333333333333,1,4,2009,2018,3. Inefficient + legs
00-0023459,Aaron Rodgers,1,24,Round 1,15,17.125,0.5,12.6875,0.19716600682325133,20.378666666666668,12,1,2008,2025,1. Efficient + legs
00-0023460,Jason Campbell,1,25,Round 1,3,17.0625,1.3076923076923077,14.875,0.0255910918564301,12.568750000000001,0,13,2008,2010,3. Inefficient + legs
00-0023541,Kyle Orton,4,106,Day 3,4,4.375,0.5360576923076923,3.63125,0.01629266994953469,14.120000000000001,0,16,2008,2014,4. Inefficient + no legs
