qb_id,player_name,rd,pk,draft_day,seasons,med_rush_pg,med_designed_pg,med_scramble_pg,med_epa_db,med_fp_pg,qb1_seasons,best_rank,first_season,last_season,quadrant
00-0019596,Tom Brady,6,199,Day 3,6,2.5625,0.71875,1.8125,0.16816870972330322,18.04625,5,3,2017,2022,2. Efficient + no legs
00-0020531,Drew Brees,2,32,Day 2,4,1.4166666666666667,0.6666666666666667,0.75,0.19773724970689965,18.967666666666666,2,8,2017,2020,2. Efficient + no legs
00-0022924,Ben Roethlisberger,1,11,Round 1,4,3.1,0.33333333333333337,2.7666666666666666,0.11325573047642815,17.726,2,3,2017,2021,2. Efficient + no legs
00-0022942,Philip Rivers,1,4,Round 1,4,0.84375,-0.09375,0.9375,0.17514720795808175,16.039375,2,8,2017,2020,2. Efficient + no legs
00-0023459,Aaron Rodgers,1,24,Round 1,7,7.125,0.1875,6.9375,0.0977446843176728,17.517500000000002,4,2,2018,2025,2. Efficient + no legs
00-0026143,Matt Ryan,1,3,Round 1,6,7.333333333333334,0.29375,7.083333333333334,0.07110121717421164,16.010625,3,2,2017,2022,2. Efficient + no legs
00-0026498,Matthew Stafford,1,1,Round 1,7,5.0,0.13333333333333333,4.5625,0.09247190039502409,16.32875,3,3,2017,2025,2. Efficient + no legs
00-0027939,Cam Newton,1,1,Round 1,3,40.13333333333333,27.8,13.857142857142858,0.01898496666807003,18.861250000000002,2,2,2017,2020,3. Inefficient + legs
00-0027973,Andy Dalton,2,35,Day 2,4,6.925480769230769,1.3660714285714286,4.9110576923076925,-0.006792839224878852,14.496778846153845,0,17,2017,2022,4. Inefficient + no legs
00-0029263,Russell Wilson,3,75,Day 2,8,23.12291666666667,4.41875,17.833333333333336,0.04912615570218279,18.109375,4,1,2017,2024,3. Inefficient + legs
00-0029604,Kirk Cousins,4,102,Day 3,7,8.0625,1.4,6.411764705882353,0.04081990758390521,17.41375,4,6,2017,2024,4. Inefficient + no legs
00-0029701,Ryan Tannehill,1,8,Round 1,5,16.41176470588235,5.352941176470588,9.25,0.06782510540559913,15.838823529411764,2,7,2018,2022,1. Efficient + legs
00-0030565,Geno Smith,2,39,Day 2,4,13.87843137254902,1.115686274509804,12.762745098039215,0.03538697119922989,15.443372549019607,1,5,2022,2025,4. Inefficient + no legs
00-0031280,Derek Carr,2,36,Day 2,8,6.251838235294118,0.6568627450980392,5.033333333333333,0.045400644786455065,14.871000000000002,0,13,2017,2024,4. Inefficient + no legs
00-0031345,Jimmy Garoppolo,2,62,Day 2,3,3.933333333333333,2.4545454545454546,1.4666666666666666,0.16124944891403964,15.22,0,13,2019,2022,2. Efficient + no legs
00-0031503,Jameis Winston,1,1,Round 1,3,16.375,0.875,15.5,0.08429810988730611,17.834545454545456,1,5,2017,2019,1. Efficient + legs
00-0032268,Marcus Mariota,1,2,Round 1,3,26.0,11.933333333333334,15.384615384615385,0.0022173279311197046,14.118666666666666,0,18,2017,2022,3. Inefficient + legs
00-0032950,Carson Wentz,1,2,Round 1,5,15.75,4.75,11.0,0.03749765765881938,17.2975,2,5,2017,2021,3. Inefficient + legs
00-0033077,Dak Prescott,4,135,Day 3,7,15.916666666666666,7.5625,10.352941176470589,0.17229255703438032,18.52823529411765,6,2,2017,2025,1. Efficient + legs
00-0033106,Jared Goff,1,1,Round 1,9,4.333333333333333,0.4,4.0588235294117645,0.1567114119763031,17.110666666666663,6,6,2017,2025,2. Efficient + no legs
00-0033119,Jacoby Brissett,3,91,Day 2,4,16.3375,1.9142857142857141,13.807142857142857,0.008256116657256828,13.712250000000001,0,17,2017,2025,3. Inefficient + legs
00-0033537,Deshaun Watson,1,12,Round 1,3,28.375,8.133333333333333,24.6875,0.15258642180498214,20.965333333333334,3,4,2018,2020,1. Efficient + legs
00-0033869,Mitchell Trubisky,1,2,Round 1,3,21.25,5.2,17.833333333333332,-0.054553795695570284,13.561333333333332,0,15,2017,2019,3. Inefficient + legs
00-0033873,Patrick Mahomes,1,10,Round 1,8,21.598039215686278,0.9096638655462186,20.582720588235293,0.2481674523097213,20.97840336134454,8,1,2018,2025,1. Efficient + legs
00-0034796,Lamar Jackson,1,32,Round 1,7,64.33333333333333,32.0,24.176470588235293,0.10375037403751193,20.7575,4,1,2019,2025,1. Efficient + legs
00-0034855,Baker Mayfield,1,1,Round 1,8,10.489495798319329,0.8928571428571428,9.808823529411764,0.05772719195738914,15.790367647058822,3,4,2018,2025,4. Inefficient + no legs
00-0034857,Josh Allen,1,7,Round 1,8,35.5625,11.96875,24.909926470588236,0.16717103930519206,23.23533088235294,7,1,2018,2025,1. Efficient + legs
00-0034869,Sam Darnold,1,3,Round 1,6,12.54524886877828,1.1838235294117647,10.952488687782806,-0.03466020856900731,13.6203431372549,1,9,2018,2025,4. Inefficient + no legs
00-0035228,Kyler Murray,1,1,Round 1,5,34.875,19.636363636363637,18.818181818181817,0.0774802105308468,18.274545454545454,4,4,2019,2024,1. Efficient + legs
00-0035710,Daniel Jones,1,6,Round 1,6,27.654545454545456,16.61038961038961,12.987012987012987,-0.03839492841008221,15.821118881118881,1,9,2019,2025,3. Inefficient + legs
00-0036212,Tua Tagovailoa,1,5,Round 1,5,4.9411764705882355,0.07692307692307693,5.181818181818182,0.17426852545210683,15.962352941176471,1,11,2021,2025,2. Efficient + no legs
00-0036264,Jordan Love,1,26,Round 1,3,14.066666666666666,1.8666666666666667,11.941176470588236,0.13702603519863527,15.756,1,5,2023,2025,2. Efficient + no legs
00-0036355,Justin Herbert,1,6,Round 1,6,18.64932126696833,1.9411764705882353,17.352941176470587,0.09459193945590894,17.993269230769233,5,2,2020,2025,1. Efficient + legs
00-0036389,Jalen Hurts,2,53,Day 2,5,43.266666666666666,18.933333333333334,21.4,0.09525927701942519,21.048235294117646,5,2,2021,2025,1. Efficient + legs
00-0036442,Joe Burrow,1,1,Round 1,4,13.535294117647059,2.96875,10.179411764705883,0.15715587090354155,20.84264705882353,3,2,2020,2024,2. Efficient + no legs
00-0036945,Justin Fields,1,11,Round 1,3,51.15384615384615,23.46153846153846,30.583333333333332,-0.07221411123662345,17.767692307692307,1,6,2021,2023,3. Inefficient + legs
00-0036971,Trevor Lawrence,1,1,Round 1,4,20.941176470588236,4.117647058823529,16.0,0.03478906066475219,16.903676470588234,3,4,2021,2025,3. Inefficient + legs
00-0036972,Mac Jones,1,15,Round 1,3,9.272727272727273,1.5454545454545454,7.7272727272727275,-0.06900820933366349,12.362857142857141,0,18,2021,2023,4. Inefficient + no legs
00-0039150,Bryce Young,1,1,Round 1,3,16.0625,-0.125,16.1875,-0.027280650718350456,13.74,0,19,2023,2025,3. Inefficient + legs
00-0039163,C.J. Stroud,1,2,Round 1,3,14.294117647058824,0.9333333333333333,13.857142857142858,0.10817651520978626,14.93142857142857,1,10,2023,2025,1. Efficient + legs
