player,gsis_id,team,injury_date,injury_year,injury_nfl_season,mechanism,confidence,date_basis,note,last_game,last_game_sw,career_games_pre,age_at_injury,returned,return_date,return_season,return_week,return_team,days_to_return,games_missed,days_to_10carry_game,pre_games,pre_carries_pg,pre_targets_pg,pre_touches_pg,pre_opp_pg,pre_rush_yds_pg,pre_scrim_yds_pg,pre_rush_share,pre_tgt_share,pre_ypc,pre_yds_per_touch,pre_epa_per_rush,pre_success_rate,pre_explosive_rate,pre_stuff_rate,pre_rush_fd_rate,pre_catch_rate,pre_yds_per_tgt,pre_epa_per_tgt,pre_ppr_pg,pre_carries_tot,pre_touches_tot,pre_scrim_yds_tot,pre_snaps_pg,pre_snap_pct,y1_games,y1_carries_pg,y1_targets_pg,y1_touches_pg,y1_opp_pg,y1_rush_yds_pg,y1_scrim_yds_pg,y1_rush_share,y1_tgt_share,y1_ypc,y1_yds_per_touch,y1_epa_per_rush,y1_success_rate,y1_explosive_rate,y1_stuff_rate,y1_rush_fd_rate,y1_catch_rate,y1_yds_per_tgt,y1_epa_per_tgt,y1_ppr_pg,y1_carries_tot,y1_touches_tot,y1_scrim_yds_tot,y1_snaps_pg,y1_snap_pct,y1_team_games,y2_games,y2_carries_pg,y2_targets_pg,y2_touches_pg,y2_opp_pg,y2_rush_yds_pg,y2_scrim_yds_pg,y2_rush_share,y2_tgt_share,y2_ypc,y2_yds_per_touch,y2_epa_per_rush,y2_success_rate,y2_explosive_rate,y2_stuff_rate,y2_rush_fd_rate,y2_catch_rate,y2_yds_per_tgt,y2_epa_per_tgt,y2_ppr_pg,y2_carries_tot,y2_touches_tot,y2_scrim_yds_tot,y2_snaps_pg,y2_snap_pct,y2_ngs_ryoe_att,y2_ngs_efficiency,y2_ngs_8plus_box,y2_ngs_att,y1_ngs_ryoe_att,y1_ngs_efficiency,y1_ngs_8plus_box,y1_ngs_att,pre_ngs_ryoe_att,pre_ngs_efficiency,pre_ngs_8plus_box,pre_ngs_att,baseline_ok
Terrell Davis,00-0004054,DEN,1999-10-03,1999,1999,game,high,reported,ACL+MCL wk4 vs NYJ tackling after INT,1999-10-03,1999w4,4,26.9,True,2000-09-04,2000.0,1.0,DEN,337.0,12.0,399.0,3,19.666666666666668,1.0,20.666666666666668,20.666666666666668,64.33333333333333,73.0,0.8194444444444444,0.031578947368421054,3.2711864406779663,3.532258064516129,-0.23568559907921846,0.2711864406779661,0.05084745762711865,0.13559322033898305,0.15254237288135594,1.0,8.666666666666666,1.0211852748179808,10.3,59,62.0,219.0,,,5.0,15.6,0.4,16.0,16.0,56.4,57.2,0.5531914893617021,0.011363636363636364,3.6153846153846154,3.575,-0.04290909055655772,0.34615384615384615,0.0641025641025641,0.19230769230769232,0.19230769230769232,1.0,2.0,-0.34977992228232324,8.52,78.0,80.0,286.0,,,16.0,8.0,20.875,2.625,22.375,23.5,87.625,96.25,0.6816326530612244,0.08171206225680934,4.197604790419161,4.301675977653631,-0.04391728546256163,0.40718562874251496,0.11377245508982035,0.20359281437125748,0.23353293413173654,0.5714285714285714,3.2857142857142856,-0.6891044136113387,11.875,167.0,179.0,770.0,,,,,,,,,,,,,,,False
Jamal Anderson,00-0000316,ATL,1999-09-20,1999,1999,game,high,lastgame,torn knee ligaments game 2 of 1999,1999-09-20,1999w2,2,27.0,True,2000-09-03,2000.0,1.0,ATL,349.0,14.0,349.0,1,16.0,2.0,18.0,18.0,50.0,84.0,0.6956521739130435,0.06451612903225806,3.125,4.666666666666667,-0.28912986594514223,0.25,0.0625,0.3125,0.0625,1.0,17.0,-0.12372858231537975,10.4,16,18.0,84.0,,,16.0,17.625,3.625,20.25,21.25,64.0,87.875,0.8057142857142857,0.11646586345381527,3.631205673758865,4.339506172839506,-0.1683254277944106,0.34397163120567376,0.0851063829787234,0.22695035460992907,0.1879432624113475,0.7241379310344828,6.586206896551724,-0.1230611551894305,14.4125,282.0,324.0,1406.0,,,16.0,3.0,18.333333333333332,1.3333333333333333,19.333333333333332,19.666666666666668,63.333333333333336,100.33333333333333,0.5913978494623656,0.0625,3.4545454545454546,5.189655172413793,-0.18760076195473588,0.3090909090909091,0.12727272727272726,0.12727272727272726,0.14545454545454545,0.75,27.75,1.8482191149960272,15.033333333333333,55.0,58.0,301.0,,,,,,,,,,,,,,,False
Olandis Gary,00-0005816,DEN,2000-09-04,2000,2000,game,high,reported,ACL right knee 2000 opener vs STL,2000-09-04,2000w1,13,25.3,True,2001-09-23,2001.0,2.0,DEN,384.0,16.0,384.0,8,22.625,2.625,24.375,25.25,100.25,110.75,0.793859649122807,0.07749077490774908,4.430939226519337,4.543589743589743,-0.04341103666115352,0.3701657458563536,0.12154696132596685,0.2154696132596685,0.2265193370165746,0.6666666666666666,4.0,-0.10499239053071466,17.325000000000003,181,195.0,886.0,,,8.0,7.125,0.625,7.625,7.75,28.5,32.125,0.24152542372881355,0.020833333333333332,4.0,4.213114754098361,0.056073966903791746,0.3508771929824561,0.03508771929824561,0.14035087719298245,0.22807017543859648,0.8,5.8,0.2168028902382634,4.4625,57.0,61.0,257.0,,,16.0,9.0,4.111111111111111,2.2222222222222223,6.111111111111111,6.333333333333333,16.333333333333332,32.77777777777778,0.1522633744855967,0.06666666666666667,3.972972972972973,5.363636363636363,-0.12867216403218706,0.2702702702702703,0.10810810810810811,0.13513513513513514,0.1891891891891892,0.9,7.4,0.28480854410938916,5.944444444444445,37.0,55.0,295.0,,,,,,,,,,,,,,,True
Edgerrin James,00-0008241,IND,2001-10-25,2001,2001,game,high,lastgame,ACL wk7 vs KC,2001-10-25,2001w7,38,23.2,True,2002-09-08,2002.0,1.0,IND,318.0,10.0,318.0,8,26.125,5.5,30.5,31.625,113.875,153.25,0.8672199170124482,0.16666666666666666,4.358851674641149,5.024590163934426,-0.02836512075761278,0.430622009569378,0.11004784688995216,0.20574162679425836,0.2631578947368421,0.7954545454545454,7.159090909090909,0.1310415881768976,24.950000000000003,209,244.0,1226.0,,,14.0,19.785714285714285,5.714285714285714,24.142857142857142,25.5,70.64285714285714,95.92857142857143,0.7289473684210527,0.1553398058252427,3.5703971119133575,3.973372781065089,-0.11830586735575087,0.38267148014440433,0.07220216606498195,0.22743682310469315,0.20216606498194944,0.7625,4.425,-0.19244507384619064,15.235714285714286,277.0,338.0,1343.0,,,16.0,13.0,23.76923076923077,3.923076923076923,27.692307692307693,27.692307692307693,96.6923076923077,119.15384615384616,0.8262032085561497,0.16831683168316833,4.067961165048544,4.302777777777778,-0.027734896763940687,0.42394822006472493,0.11650485436893204,0.18122977346278318,0.2750809061488673,1.0,5.7254901960784315,0.11885989535440078,20.915384615384614,309.0,360.0,1549.0,,,,,,,,,,,,,,,True
Jamal Anderson,00-0000316,ATL,2001-09-30,2001,2001,game,high,lastgame,second ACL; career ending,2001-09-30,2001w3,21,29.0,False,,,,,,,,8,20.375,3.125,22.75,23.5,76.0,111.375,0.806930693069307,0.11904761904761904,3.7300613496932513,4.895604395604396,-0.12407045190080467,0.3067484662576687,0.10429447852760736,0.1656441717791411,0.1901840490797546,0.76,11.32,0.06639429996641034,17.262500000000003,163,182.0,891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Jamal Lewis,00-0019693,BAL,2001-08-15,2001,2000,camp,medium,approx,ACL in 2001 camp; missed entire season,2000-12-24,2000w17,16,22.0,True,2002-09-08,2002.0,1.0,BAL,389.0,16.0,389.0,8,25.25,2.75,27.375,28.0,115.875,141.125,0.7087719298245614,0.10476190476190476,4.589108910891089,5.155251141552512,0.055226456380292624,0.43564356435643564,0.1188118811881188,0.15841584158415842,0.2376237623762376,0.7727272727272727,9.181818181818182,0.1321950122584482,19.9875,202,219.0,1129.0,,,16.0,19.25,3.75,22.1875,23.0,82.9375,110.5625,0.7213114754098361,0.12738853503184713,4.308441558441558,4.983098591549296,-0.09168125070778442,0.4025974025974026,0.09090909090909091,0.17857142857142858,0.21103896103896103,0.7833333333333333,7.366666666666666,0.17888742247213907,16.99375,308.0,355.0,1769.0,,,16.0,16.0,24.25,1.625,25.875,25.875,128.9375,141.75,0.7028985507246377,0.11981566820276497,5.31701030927835,5.478260869565218,-0.009207385660711734,0.39690721649484534,0.13917525773195877,0.16494845360824742,0.22164948453608246,1.0,7.884615384615385,0.4171912948767404,21.425,388.0,414.0,2268.0,,,,,,,,,,,,,,,True
Correll Buckhalter,00-0020270,PHI,2002-04-26,2002,2001,practice,high,reported,ACL left knee in minicamp,2002-01-06,2001w17,14,23.6,True,2003-09-08,2003.0,1.0,PHI,500.0,16.0,520.0,8,6.0,1.25,6.875,7.25,28.0,37.0,0.22857142857142856,0.0390625,4.666666666666667,5.381818181818182,0.0074833412472798955,0.4791666666666667,0.1875,0.25,0.2916666666666667,0.7,7.2,0.1331624537182506,5.325,48,55.0,296.0,,,15.0,8.4,0.6666666666666666,9.066666666666666,9.066666666666666,36.13333333333333,45.0,0.31738035264483627,0.03802281368821293,4.301587301587301,4.963235294117647,-0.0189816165641608,0.42063492063492064,0.10317460317460317,0.21428571428571427,0.24603174603174602,1.0,13.3,0.8239439773780759,8.766666666666667,126.0,136.0,675.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Deuce McAllister,00-0020527,NO,2005-10-09,2005,2005,game,high,lastgame,ACL right knee; IR 2005-10-10,2005-10-09,2005w5,62,26.8,True,2006-09-10,2006.0,1.0,NO,336.0,11.0,336.0,8,24.25,2.5,26.75,26.75,93.0,111.0,0.749034749034749,0.15384615384615385,3.8350515463917527,4.149532710280374,-0.09752851916732819,0.30927835051546393,0.09278350515463918,0.15979381443298968,0.17010309278350516,1.0,7.2,0.08402384494430208,18.1,194,214.0,888.0,,,15.0,16.333333333333332,2.0,18.333333333333332,18.333333333333332,70.73333333333333,83.93333333333334,0.539647577092511,0.08498583569405099,4.330612244897959,4.578181818181818,0.0032090000505209182,0.40816326530612246,0.07755102040816327,0.14285714285714285,0.22448979591836735,1.0,6.6,0.2839810526099881,14.793333333333333,245.0,275.0,1259.0,,,16.0,3.0,8.0,1.3333333333333333,9.333333333333334,9.333333333333334,30.666666666666668,35.666666666666664,0.35294117647058826,0.047619047619047616,3.8333333333333335,3.8214285714285716,-0.3545040544607521,0.2916666666666667,0.08333333333333333,0.16666666666666666,0.125,1.0,3.75,-0.10804106993600726,4.9,24.0,28.0,107.0,,,,,,,,,,,,,,,True
Ronnie Brown,00-0023437,MIA,2007-10-21,2007,2007,game,high,lastgame,ACL wk7 vs NE,2007-10-21,2007w7,35,25.9,True,2008-09-07,2008.0,1.0,MIA,322.0,9.0,329.0,8,17.625,4.75,22.375,22.375,93.875,141.5,0.7747252747252747,0.2375,5.326241134751773,6.324022346368715,0.17983952530096356,0.48226950354609927,0.1702127659574468,0.1276595744680851,0.3191489361702128,1.0,10.026315789473685,0.545347098706866,22.65,141,179.0,1132.0,,,16.0,13.375,2.0625,15.4375,15.4375,57.25,73.125,0.47555555555555556,0.1,4.280373831775701,4.7368421052631575,-0.02916224088825677,0.397196261682243,0.09813084112149532,0.17757009345794392,0.22897196261682243,1.0,7.696969696969697,0.3334708626780687,13.125,214.0,247.0,1170.0,,,16.0,9.0,16.333333333333332,2.2222222222222223,17.88888888888889,18.555555555555557,72.0,82.88888888888889,0.48514851485148514,0.07575757575757576,4.408163265306122,4.633540372670807,0.04879687546419862,0.42857142857142855,0.08843537414965986,0.16326530612244897,0.21768707482993196,0.7,4.9,-0.07714168556593333,15.17777777777778,147.0,161.0,746.0,,,,,,,,,,,,,,,True
Deuce McAllister,00-0020527,NO,2007-09-24,2007,2007,game,high,reported,ACL left knee vs TEN,2007-09-24,2007w3,80,28.7,True,2008-09-14,2008.0,2.0,NO,356.0,14.0,370.0,8,17.375,1.875,19.25,19.25,75.125,87.75,0.547244094488189,0.07894736842105263,4.323741007194244,4.558441558441558,-0.026172000672851747,0.37410071942446044,0.08633093525179857,0.1079136690647482,0.19424460431654678,1.0,6.733333333333333,0.33786869534912206,13.65,139,154.0,702.0,,,13.0,8.23076923076923,1.3846153846153846,9.615384615384615,9.615384615384615,32.15384615384615,42.0,0.34076433121019106,0.05504587155963303,3.9065420560747666,4.368,-0.017639636543991102,0.4485981308411215,0.056074766355140186,0.11214953271028037,0.22429906542056074,1.0,7.111111111111111,0.43728216469106784,8.353846153846153,107.0,125.0,546.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
