player,injury_year,age_at_injury,days_to_return,games_missed,return_season,y1_games,pre_touches_pg,y1_touches_pg,pre_ypc,y1_ypc,pre_epa_per_rush,y1_epa_per_rush,pre_success_rate,y1_success_rate,pre_ppr_pg,y1_ppr_pg,tch_%,ypc_%
Olandis Gary,2000,25.3,384.0,16.0,2001.0,8.0,24.375,7.625,4.430939226519337,4.0,-0.04341103666115352,0.056073966903791746,0.3701657458563536,0.3508771929824561,17.325000000000003,4.4625,-69.0,-10.0
Edgerrin James,2001,23.2,318.0,10.0,2002.0,14.0,30.5,24.142857142857142,4.358851674641149,3.5703971119133575,-0.02836512075761278,-0.11830586735575087,0.430622009569378,0.38267148014440433,24.950000000000003,15.235714285714286,-21.0,-18.0
Jamal Lewis,2001,22.0,389.0,16.0,2002.0,16.0,27.375,22.1875,4.589108910891089,4.308441558441558,0.055226456380292624,-0.09168125070778442,0.43564356435643564,0.4025974025974026,19.9875,16.99375,-19.0,-6.0
Correll Buckhalter,2002,23.6,500.0,16.0,2003.0,15.0,6.875,9.066666666666666,4.666666666666667,4.301587301587301,0.0074833412472798955,-0.0189816165641608,0.4791666666666667,0.42063492063492064,5.325,8.766666666666667,32.0,-8.0
Deuce McAllister,2005,26.8,336.0,11.0,2006.0,15.0,26.75,18.333333333333332,3.8350515463917527,4.330612244897959,-0.09752851916732819,0.0032090000505209182,0.30927835051546393,0.40816326530612246,18.1,14.793333333333333,-31.0,13.0
Ronnie Brown,2007,25.9,322.0,9.0,2008.0,16.0,22.375,15.4375,5.326241134751773,4.280373831775701,0.17983952530096356,-0.02916224088825677,0.48226950354609927,0.397196261682243,22.65,13.125,-31.0,-20.0
Deuce McAllister,2007,28.7,356.0,14.0,2008.0,13.0,19.25,9.615384615384615,4.323741007194244,3.9065420560747666,-0.026172000672851747,-0.017639636543991102,0.37410071942446044,0.4485981308411215,13.65,8.353846153846153,-50.0,-10.0
Kevin Smith,2009,23.0,294.0,6.0,2010.0,6.0,18.0,7.333333333333333,3.639344262295082,3.787878787878788,-0.20554411188449087,-0.21958001396006038,0.3442622950819672,0.2727272727272727,13.4125,5.966666666666666,-59.0,4.0
Jerious Norwood,2010,27.1,357.0,15.0,2011.0,6.0,10.875,4.0,3.2739726027397262,2.5416666666666665,-0.17152884025413748,-0.34997849078730825,0.3424657534246575,0.16666666666666666,7.2,1.0166666666666668,-63.0,-22.0
Kevin Smith,2010,23.9,364.0,15.0,2011.0,7.0,12.25,14.0,3.573170731707317,4.918918918918919,-0.12391850473393332,0.025846530945273116,0.4268292682926829,0.35135135135135137,8.6125,18.37142857142857,14.0,38.0
Jamaal Charles,2011,24.7,357.0,14.0,2012.0,16.0,17.125,20.0,6.752212389380531,5.294736842105263,0.21647980656403742,-0.011226480402387691,0.45132743362831856,0.3929824561403509,19.025,15.34375,17.0,-22.0
Tim Hightower,2011,25.4,1477.0,66.0,2015.0,8.0,15.5,13.5,3.962962962962963,3.90625,-0.11589564134219135,-0.060076900396570286,0.3425925925925926,0.4166666666666667,12.325,10.8,-13.0,-1.0
Knowshon Moreno,2011,24.3,301.0,7.0,2012.0,8.0,7.375,19.875,4.065217391304348,3.8043478260869565,-0.3063913459108849,-0.03747026331242066,0.21739130434782608,0.427536231884058,6.275,14.275,169.0,-6.0
Adrian Peterson,2011,26.8,260.0,1.0,2012.0,16.0,18.25,24.25,4.608695652173913,6.025862068965517,0.039613822413493704,0.06886130441073156,0.39855072463768115,0.40804597701149425,16.6875,21.8375,33.0,31.0
Rashard Mendenhall,2012,24.5,280.0,3.0,2012.0,6.0,17.125,10.0,4.277777777777778,3.5686274509803924,-0.007854473534814407,-0.23194044974162334,0.3888888888888889,0.29411764705882354,14.125,6.566666666666667,-42.0,-17.0
Bernard Scott,2012,28.7,441.0,25.0,2013.0,2.0,6.875,3.0,3.04,3.5,-0.07352524894056842,-0.32589604053646326,0.36,0.0,4.3375,2.2,-56.0,15.0
Stevan Ridley,2014,25.7,396.0,18.0,2015.0,8.0,15.25,5.0,4.025210084033613,2.5,-0.024761602603413542,-0.2755984083519757,0.4117647058823529,0.2222222222222222,8.037500000000001,1.6,-67.0,-38.0
Jamaal Charles,2015,28.8,357.0,14.0,2016.0,3.0,16.625,4.666666666666667,5.165048543689321,3.3333333333333335,0.010578805632161393,0.06488029234363542,0.39805825242718446,0.3333333333333333,19.25,4.466666666666667,-72.0,-35.0
Dion Lewis,2015,25.1,378.0,17.0,2016.0,7.0,10.125,11.571428571428571,5.142857142857143,4.421875,0.21996140460993455,0.03192835017163691,0.4897959183673469,0.46875,15.2625,7.814285714285715,14.0,-14.0
Danny Woodhead,2016,31.6,357.0,14.0,2017.0,8.0,12.0,5.875,3.482142857142857,4.0,-0.13431601938698026,-0.19756759304259167,0.3392857142857143,0.35714285714285715,15.25,7.325,-51.0,15.0
Giovani Bernard,2016,25.0,294.0,6.0,2017.0,16.0,13.875,9.25,3.6835443037974684,4.3619047619047615,-0.11684874807708437,-0.09343634922656098,0.379746835443038,0.37142857142857144,13.525,9.43125,-33.0,18.0
Jerick McKinnon,2018,26.3,743.0,32.0,2020.0,16.0,13.0,7.125,3.493827160493827,3.9382716049382718,-0.17921640709511952,-0.12888513144535405,0.35802469135802467,0.35802469135802467,9.8875,7.8875,-45.0,13.0
Jay Ajayi,2018,25.3,413.0,21.0,2019.0,3.0,13.125,3.3333333333333335,4.293478260869565,3.0,-0.07677333968074732,-0.1931449855910614,0.3695652173913043,0.3,11.5125,1.0,-75.0,-30.0
Lamar Miller,2019,28.3,457.0,25.0,2020.0,1.0,16.125,2.0,5.234782608695652,,-0.0022984229576333594,,0.3565217391304348,,13.3375,2.6,-88.0,
Rashaad Penny,2019,23.8,378.0,16.0,2020.0,3.0,8.25,3.6666666666666665,5.966101694915254,3.090909090909091,0.10145172033995642,-0.16050796744159676,0.4406779661016949,0.36363636363636365,9.1125,1.1333333333333335,-56.0,-48.0
Saquon Barkley,2020,23.6,357.0,14.0,2021.0,13.0,21.75,15.615384615384615,4.222222222222222,3.6604938271604937,-0.1680957979653991,-0.12561640458865206,0.3611111111111111,0.36419753086419754,18.475,11.584615384615386,-28.0,-13.0
J.K. Dobbins,2021,22.7,393.0,19.0,2022.0,8.0,12.5,12.375,5.723404255319149,5.6521739130434785,0.22376572998043398,0.09886143122490602,0.4148936170212766,0.532608695652174,13.2,10.15,-1.0,-1.0
Gus Edwards,2021,26.4,410.0,23.0,2022.0,9.0,9.5,9.666666666666666,5.72463768115942,4.977011494252873,0.2951872036564569,-0.00034417044879847216,0.5797101449275363,0.4367816091954023,9.537500000000001,6.811111111111112,2.0,-13.0
Javonte Williams,2022,22.4,343.0,13.0,2023.0,16.0,15.625,16.5,4.09,3.5668202764976957,-0.08863568660861347,-0.17467328971879395,0.41,0.3456221198156682,12.037500000000001,11.075,6.0,-13.0
Breece Hall,2022,21.4,323.0,10.0,2023.0,17.0,15.833333333333334,17.58823529411765,5.144736842105263,4.457399103139013,0.12178120300277921,-0.09757748987914468,0.42105263157894735,0.34080717488789236,17.316666666666666,16.970588235294116,11.0,-13.0
Nick Chubb,2023,27.7,398.0,21.0,2024.0,8.0,20.125,13.375,4.8493150684931505,3.2549019607843137,0.018768251101703267,-0.20171155185760165,0.4246575342465753,0.3431372549019608,13.775,8.162500000000001,-34.0,-33.0
Keaton Mitchell,2023,21.9,326.0,12.0,2024.0,5.0,6.428571428571429,3.2,8.5,2.0,0.36139746534785155,-0.34755263396849234,0.47368421052631576,0.2,8.442857142857143,1.36,-50.0,-76.0
